arm	t	n	cols	x sd	z sd	nn h	nn 3d	jointed	joint y	rigid y	delta y
r36-s1	5000	307	99/100	6.10	1.69	0.27	1.14	169	-16.10	-20.58	4.48
r36-s1	15000	576	98/100	6.73	1.94	0.19	0.92	141	-17.96	-17.99	0.03
r36-s1	30000	1154	100/100	7.28	1.81	0.13	0.66	75	-21.28	-17.00	-4.28
r36-s2	5000	1100	100/100	7.49	2.01	0.14	0.70	101	-17.02	-17.43	0.41
r36-s2	15000	1535	100/100	7.38	2.22	~0.13	~0.61	9	-10.96	-18.64	7.68
r36-s2	30000	1623	100/100	6.90	2.01	~0.11	~0.57	5	-22.90	-20.21	-2.69
r36-s3	5000	786	100/100	10.24	2.06	0.17	0.82	130	-17.17	-16.82	-0.35
r36-s3	15000	1209	100/100	9.81	1.83	~0.14	~0.68	13	-24.92	-17.82	-7.10
r36-s3	30000	1342	100/100	7.28	1.81	~0.12	~0.63	2	-3.75	-19.78	16.03
r36-s4	5000	1352	100/100	8.21	1.89	~0.13	~0.73	51	-15.54	-22.63	7.09
r36-s4	15000	1388	100/100	9.35	2.08	~0.12	~0.66	0	-	-22.32	-
r36-s4	30000	1329	100/100	7.28	2.14	~0.13	~0.70	0	-	-21.13	-
r36-s5	5000	577	98/100	6.78	2.16	0.18	0.97	79	-17.07	-18.06	0.99
r36-s5	15000	1388	100/100	6.93	2.21	~0.12	~0.60	12	-13.81	-18.25	4.44
r36-s5	30000	1650	100/100	8.72	1.79	~0.11	~0.59	0	-	-21.87	-
