arm r36-s1 | run 2026-09-11-071830-55a61291 | box 20 x 5 m, 60 m deep, 4 patch(es)
columns of 1 m: 100 | lineage.jsonl: 17455 births, 111 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     41    34/100    5.43    1.31     0.67     2.28     31   -17.48      5   -20.61      0        -      3   -19.62      2   -18.77         2       20   -18.15   -18.02
    200.0     60    38/100    5.29    1.55     0.53     1.69     55   -11.14      3   -11.23      0        -      1    -9.00      1   -19.03         6       31    -8.32   -14.36
    300.0     68    46/100    7.47    1.51     0.53     1.57     64    -9.75      3    -5.34      0        -      1    -4.56      0        -         4       37    -7.23   -12.18
    400.0     92    59/100    6.19    1.45     0.48     1.23     86    -9.51      5    -7.86      0        -      1    -0.25      0        -        11       58    -8.78   -10.23
    500.0    107    58/100    4.77    2.07     0.36     1.25    100    -9.97      6    -8.82      0        -      1    -2.07      0        -        21       69   -10.05    -9.44
    600.0    111    56/100    4.32    2.34     0.35     1.25    102    -9.91      8   -10.45      0        -      1    -5.01      0        -        21       74   -10.21    -9.29
    700.0    130    65/100    4.78    1.78     0.43     1.22    118   -10.32     11   -11.44      0        -      1    -0.53      0        -        27       90   -10.61    -9.72
    800.0    141    74/100    5.63    2.05     0.38     1.44    125   -11.26     15   -14.02      0        -      1    -5.34      0        -        23       92   -11.39   -11.74
    900.0    148    75/100    5.94    1.66     0.38     1.34    130   -11.97     17   -14.46      0        -      1   -12.99      0        -        24       96   -11.99   -12.76
   1000.0    155    77/100    5.50    1.80     0.34     1.37    136   -12.26     18   -13.69      0        -      1   -17.48      0        -        17      105   -12.67   -12.03
   1100.0    173    79/100    6.17    2.22     0.37     1.35    152   -13.58     21   -14.87      0        -      0        -      0        -        29      108   -13.09   -14.81
   1200.0    182    81/100    9.05    1.97     0.34     1.34    160   -14.25     22   -14.21      0        -      0        -      0        -        22      115   -13.69   -15.20
   1300.0    175    83/100    6.84    1.86     0.34     1.33    143   -13.87     32   -17.81      0        -      0        -      0        -        16      106   -13.34   -16.52
   1400.0    173    80/100    6.36    1.84     0.34     1.37    131   -13.21     42   -19.71      0        -      0        -      0        -        13       93   -11.69   -18.38
   1500.0    175    82/100    8.77    1.94     0.32     1.38    118   -12.12     57   -22.10      0        -      0        -      0        -        10       82   -10.16   -19.96
   1600.0    177    82/100    7.69    1.98     0.34     1.22    110   -11.30     67   -22.24      0        -      0        -      0        -        17       77    -9.72   -19.84
   1700.0    194    85/100    7.33    2.00     0.34     1.28    125   -13.82     69   -21.87      0        -      0        -      0        -         8       77   -10.79   -20.56
   1800.0    208    84/100    6.86    1.61     0.31     1.32    124   -14.58     84   -21.66      0        -      0        -      0        -        27       76   -11.21   -21.03
   1900.0    220    87/100    8.21    1.73     0.33     1.34    114   -14.11    106   -22.53      0        -      0        -      0        -        24       74   -11.20   -21.70
   2000.0    226    89/100    6.98    1.99     0.31     1.31    108   -13.89    118   -23.22      0        -      0        -      0        -        26       76   -11.67   -22.35
   2100.0    237    90/100    6.86    1.67     0.31     1.23    107   -14.34    130   -23.54      0        -      0        -      0        -        20       83   -13.33   -22.65
   2200.0    237    92/100    8.45    1.88     0.32     1.39    120   -15.97    117   -22.23      0        -      0        -      0        -        21      102   -15.41   -21.81
   2300.0    241    87/100    8.96    1.77     0.27     1.46    127   -16.59    114   -21.25      0        -      0        -      0        -        19      109   -15.76   -21.30
   2400.0    232    91/100    6.66    1.86     0.31     1.38    127   -16.38    104   -19.22      0        -      1   -36.94      0        -        16      107   -15.16   -19.96
   2500.0    233    89/100    7.25    1.83     0.31     1.35    138   -17.08     95   -18.03      0        -      0        -      0        -        32      117   -15.95   -19.00
   2600.0    246    92/100    7.77    1.81     0.32     1.32    140   -17.06    106   -17.91      0        -      0        -      0        -        26      128   -16.71   -18.20
   2700.0    252    89/100    7.35    1.87     0.28     1.22    133   -16.64    119   -18.39      0        -      0        -      0        -        25      134   -17.15   -17.83
   2800.0    257    91/100    7.89    1.87     0.31     1.22    138   -17.50    119   -16.69      0        -      0        -      0        -        33      150   -17.47   -16.64
   2900.0    261    93/100    7.25    2.01     0.28     1.21    149   -18.12    112   -16.75      0        -      0        -      0        -        42      152   -17.99   -16.89
   3000.0    260    91/100    7.06    1.90     0.29     1.25    147   -18.76    113   -17.50      0        -      0        -      0        -        32      146   -18.49   -17.85
   3100.0    269    94/100    7.22    1.86     0.28     1.23    136   -18.20    133   -17.50      0        -      0        -      0        -        28      148   -17.50   -18.29
   3200.0    271    91/100    8.22    1.65     0.27     1.17    128   -16.84    143   -18.22      0        -      0        -      0        -        38      145   -16.79   -18.47
   3300.0    281    94/100    7.60    1.77     0.28     1.19    127   -17.03    154   -18.71      0        -      0        -      0        -        41      145   -16.65   -19.34
   3400.0    291    92/100    7.65    1.81     0.25     1.23    126   -17.01    165   -18.97      0        -      0        -      0        -        52      139   -16.18   -19.90
   3500.0    291    93/100    8.31    1.68     0.26     1.31    127   -16.51    164   -18.58      0        -      0        -      0        -        43      146   -15.30   -20.06
   3600.0    284    96/100    7.10    1.78     0.29     1.14    129   -16.18    155   -18.60      0        -      0        -      0        -        50      155   -15.09   -20.41
   3700.0    280    88/100    6.96    1.90     0.29     1.08    131   -16.21    149   -18.60      0        -      0        -      0        -        54      147   -14.79   -20.46
   3800.0    303    95/100    8.12    1.72     0.28     1.23    149   -16.99    154   -18.63      0        -      0        -      0        -        50      160   -15.37   -20.57
   3900.0    321    93/100    8.19    1.53     0.27     1.12    171   -17.80    150   -17.71      0        -      0        -      0        -        55      163   -15.12   -20.47
   4000.0    302    93/100    8.33    1.88     0.27     1.15    167   -17.60    135   -17.43      0        -      0        -      0        -        48      164   -15.81   -19.56
   4100.0    300    94/100    7.77    1.59     0.28     1.19    168   -17.57    132   -18.22      0        -      0        -      0        -        41      167   -16.56   -19.48
   4200.0    296    93/100    6.92    1.76     0.27     1.17    167   -16.77    129   -18.21      0        -      0        -      0        -        55      159   -15.67   -19.39
   4300.0    300    96/100    7.19    1.94     0.27     1.22    168   -16.63    132   -18.33      0        -      0        -      0        -        38      154   -15.22   -19.66
   4400.0    303    97/100    6.60    2.00     0.28     1.13    166   -16.00    137   -18.53      0        -      0        -      0        -        55      152   -15.00   -19.30
   4500.0    305    97/100    7.18    2.00     0.28     1.13    149   -14.69    156   -19.99      0        -      0        -      0        -        51      150   -14.30   -20.39
   4600.0    298    95/100    7.98    1.83     0.27     1.17    161   -15.64    136   -19.60      0        -      1   -26.98      0        -        39      158   -15.45   -19.79
   4700.0    290    92/100    7.50    2.10     0.25     1.21    160   -14.83    130   -19.51      0        -      0        -      0        -        41      166   -15.35   -19.04
   4800.0    291    94/100    7.27    1.96     0.27     1.15    160   -14.86    131   -19.39      0        -      0        -      0        -        51      167   -15.27   -19.09
   4900.0    304    95/100    7.16    2.01     0.23     1.12    166   -15.85    138   -19.37      0        -      0        -      0        -        48      159   -14.98   -20.14
   5000.0    307    99/100    6.10    1.69     0.27     1.14    157   -15.91    150   -20.43      0        -      0        -      0        -        53      169   -16.10   -20.58
   5100.0    287    95/100    6.47    2.10     0.28     1.21    144   -15.16    143   -19.89      0        -      0        -      0        -        51      169   -16.15   -19.46
   5200.0    298    95/100    7.10    1.89     0.30     1.19    163   -16.91    135   -19.25      0        -      0        -      0        -        48      170   -16.31   -20.16
   5300.0    306    98/100    8.72    2.34     0.26     1.16    162   -17.10    144   -19.49      0        -      0        -      0        -        52      168   -16.28   -20.59
   5400.0    312    98/100    7.94    1.84     0.26     1.16    163   -16.82    149   -19.92      0        -      0        -      0        -        61      172   -16.45   -20.57
   5500.0    301    96/100    7.57    1.86     0.28     1.08    157   -15.92    144   -18.92      0        -      0        -      0        -        49      170   -16.03   -19.07
   5600.0    302    91/100    6.02    1.94     0.25     1.18    169   -16.03    133   -18.01      0        -      0        -      0        -        55      177   -16.47   -17.52
   5700.0    303    94/100    6.25    2.40     0.26     1.16    174   -16.45    129   -17.75      0        -      0        -      0        -        36      165   -16.29   -17.85
   5800.0    286    93/100    6.61    1.60     0.27     1.16    160   -14.52    126   -16.63      0        -      0        -      0        -        42      135   -13.18   -17.47
   5900.0    308    95/100    6.33    2.09     0.24     1.04    182   -15.36    126   -17.00      0        -      0        -      0        -        76      131   -13.16   -18.15
   6000.0    310    93/100    6.60    1.80     0.25     1.05    181   -15.56    129   -16.83      0        -      0        -      0        -        62      153   -14.72   -17.42
   6100.0    308    97/100    7.21    1.83     0.27     1.13    184   -14.95    124   -16.97      0        -      0        -      0        -        50      169   -15.43   -16.18
   6200.0    320    96/100    6.55    2.00     0.25     1.07    207   -15.83    113   -17.11      0        -      0        -      0        -        71      181   -16.17   -16.42
   6300.0    307    96/100    6.44    2.02     0.27     1.06    196   -15.22    111   -17.75      0        -      0        -      0        -        55      150   -13.76   -18.41
   6400.0    308    93/100    6.48    1.81     0.27     1.03    201   -15.48    107   -17.40      0        -      0        -      0        -        51      141   -13.54   -18.34
   6500.0    297    93/100    5.60    1.77     0.28     1.12    190   -14.96    107   -17.93      0        -      0        -      0        -        53      154   -15.30   -16.81
   6600.0    308    91/100    5.77    1.92     0.25     1.01    200   -15.03    108   -17.56      0        -      0        -      0        -        49      151   -14.96   -16.84
   6700.0    314    89/100    5.96    2.10     0.24     0.97    204   -15.21    110   -18.26      0        -      0        -      0        -        85      147   -15.23   -17.20
   6800.0    322    96/100    6.02    1.87     0.24     1.07    212   -15.24    110   -17.78      0        -      0        -      0        -        59      141   -15.05   -16.92
   6900.0    316    94/100    6.38    1.96     0.26     1.10    210   -15.52    106   -17.59      0        -      0        -      0        -        65      142   -15.62   -16.70
