arm	t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	dep jnt	dep rig
r34-s1	1000	129	78	72	0	0.08123	0.07384	-10.59	-10.05
r34-s1	5000	464	73	73	1	0.08807	0.0831	-15.31	-17.35
r34-s1	10000	663	49	45	3	0.07657	0.07535	-17.4	-17.72
r34-s1	15000	764	11	9	3	0.07561	0.08357	-12.02	-19.39
r34-s1	20000	975	9	1	3	0.08061	0.08569	-18.5	-19.33
r34-s1	25000	1131	1	0	3	0.11115	0.07873	-5.34	-20.19
r34-s1	30000	1305	0	0	3	--	0.0851	--	-19.24
r34-s2	1000	194	64	58	0	0.10626	0.06996	-10.91	-13.66
r34-s2	5000	1073	64	58	15	0.10706	0.08835	-14.25	-18.07
r34-s2	10000	1478	16	15	24	0.09228	0.08373	-12.96	-19.85
r34-s2	15000	1534	2	2	27	0.07291	0.07954	-16.05	-19.01
r34-s2	20000	1627	0	0	27	--	0.08655	--	-19.93
r34-s2	25000	1560	0	0	27	--	0.08066	--	-21.36
r34-s2	30000	1593	0	0	27	--	0.08498	--	-20.6
r34-s3	1000	231	94	84	0	0.0831	0.07533	-14.35	-12.14
r34-s3	5000	896	26	17	0	0.08885	0.08027	-15.17	-16.65
r34-s3	10000	1302	0	0	0	--	0.07967	--	-20.59
r34-s3	15000	1453	1	0	0	0.09653	0.0856	-41.05	-20.47
r34-s3	20000	1548	0	0	0	0.53442	0.08815	--	-20.99
r34-s3	25000	1527	0	0	0	0.07495	0.07777	--	-21.53
r34-s3	30000	1557	0	0	0	--	0.08654	--	-21.06
r34-s4	1000	358	50	46	0	0.10589	0.07711	-9.8	-11.58
r34-s4	5000	1422	36	34	1	0.12703	0.08185	-15.38	-21.15
r34-s4	10000	1533	1	1	2	0.10242	0.08687	-2.23	-23.05
r34-s4	15000	1750	0	0	2	--	0.0827	--	-22.92
r34-s4	20000	1771	0	0	2	--	0.08534	--	-21.93
r34-s4	25000	1759	0	0	2	--	0.08446	--	-24.46
r34-s4	30000	1766	0	0	2	--	0.08792	--	-23.2
r34-s5	1000	191	143	140	1	0.09112	0.07241	-11.96	-11.89
r34-s5	5000	551	54	49	12	0.10026	0.08246	-14.74	-19.52
r34-s5	10000	1047	7	7	15	0.11571	0.07616	-10.57	-19.65
r34-s5	15000	1229	0	0	16	0.02513	0.07953	--	-18.53
r34-s5	20000	1237	1	0	16	0.12902	0.08961	-40.16	-20.24
r34-s5	25000	1251	1	0	16	0.15285	0.07827	-37.32	-19.49
r34-s5	30000	1281	0	0	17	--	0.08035	--	-19.84
