arm	snap	genomes	active_joint_node	reachable_from_root	unreachable	root_cell_photo(of reachable)	root_cell_link	root_cell_abs	median_scaleprod_to_joint
r36-s1	005000	307	216	175	41	104	0	71	1.0000
r36-s1	030000	1154	136	90	46	0	0	90	1.0222
r36-s2	005000	1100	1029	314	715	300	0	14	0.9440
r36-s2	030000	1624	1547	716	831	694	1	21	0.8264
r36-s3	005000	787	786	576	210	549	1	26	0.2859
r36-s3	030000	1342	1334	987	347	970	0	17	0.3691
r36-s4	005000	1352	373	67	306	65	0	2	1.0000
r36-s4	030000	1329	1054	73	981	72	0	1	0.4805
r36-s5	005000	577	141	82	59	82	0	0	1.0000
r36-s5	030000	1650	24	0	24	0	0	0	0.0000
