arm	snapshot	genomes	active_joint_genomes	share	joint_cell:link	photo	absorptive	other	jnt_flag_1(lineage)	of_which_joint_cell_link
r36-s1	5000	307	216	0.704	216	0	0	0	169	169
r36-s1	30000	1154	136	0.118	136	0	0	0	75	75
r36-s2	5000	1100	1029	0.935	1029	0	0	0	101	101
r36-s2	30000	1624	1547	0.953	1547	0	0	0	5	5
r36-s3	5000	787	786	0.999	786	0	0	0	130	130
r36-s3	30000	1342	1334	0.994	1334	0	0	0	2	2
r36-s4	5000	1352	373	0.276	373	0	0	0	51	51
r36-s4	30000	1329	1054	0.793	1054	0	0	0	0	0
r36-s5	5000	577	141	0.244	141	0	0	0	79	79
r36-s5	30000	1650	24	0.015	24	0	0	0	0	0
