== r36-s1  (**Ended:** budget reached.)
  t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
  100	41	20	2	0	0.07237	0.05583	82.55	7	5	0	33/100	5.43	43
  200	60	31	19	0	0.08196	0.06615	205.99	34	3	0	38/100	5.29	68
  300	68	37	27	0	0.07983	0.06409	263.8	49	3	1	46/100	7.47	68
  400	93	59	50	0	0.08229	0.06263	349.67	74	5	3	59/100	6.19	124
  500	107	69	60	0	0.07979	0.0706	373.26	87	6	4	58/100	4.77	130
  600	111	74	67	0	0.07949	0.07555	394.77	90	8	6	56/100	4.32	137
  700	130	90	84	0	0.07875	0.07165	465.16	108	11	9	62/100	4.78	203
  800	141	92	86	0	0.08219	0.07798	487.47	115	15	13	74/100	5.63	179
  900	148	96	90	0	0.07518	0.07221	482.27	120	17	15	75/100	5.94	200
  1000	155	105	99	0	0.07236	0.07317	560.79	128	18	16	76/100	5.50	148
  1100	173	108	103	0	0.07766	0.06903	696.71	144	21	19	79/100	6.17	243
  1200	182	115	110	0	0.08135	0.07227	649.62	152	22	20	82/100	9.06	244
  1300	175	106	101	0	0.08155	0.07384	543.42	135	32	30	84/100	6.84	242
  1400	173	93	88	0	0.08236	0.07573	401.94	123	42	40	80/100	6.36	242
  1500	175	82	77	0	0.07871	0.07133	319.39	111	57	55	82/100	8.76	260
  1600	177	77	72	0	0.07764	0.07324	393.46	103	67	65	80/100	7.69	204
  1700	194	77	72	0	0.08543	0.07359	341.77	118	69	67	84/100	7.33	229
  1800	209	76	71	0	0.08267	0.07695	329.62	117	85	83	86/100	6.86	227
  1900	220	74	69	0	0.0757	0.07602	319.29	107	106	104	86/100	8.21	238
  2000	226	76	71	0	0.08468	0.07679	299.84	101	118	116	89/100	6.98	282
  2100	237	83	78	0	0.07734	0.07601	339.25	100	130	128	90/100	6.86	319
  2200	237	102	98	0	0.07505	0.07263	371.31	113	117	116	93/100	8.46	269
  2300	241	109	105	0	0.07832	0.07257	434.24	120	114	114	87/100	8.96	255
  2400	232	107	103	0	0.07854	0.07572	432.96	120	104	104	92/100	6.66	268
  2500	233	117	113	0	0.08191	0.07571	481.42	131	95	95	89/100	7.25	332
  2600	246	128	125	0	0.08279	0.07805	548.36	135	106	106	92/100	7.77	338
  2700	252	134	132	0	0.07901	0.07576	415.7	129	119	119	89/100	7.35	353
  2800	258	151	149	0	0.07639	0.07284	570.95	135	119	119	90/100	7.89	321
  2900	261	152	150	0	0.07833	0.07177	781.5	146	112	112	93/100	7.25	324
  3000	260	146	144	0	0.08052	0.07549	508.3	144	113	113	91/100	7.06	365
  3100	270	149	147	0	0.08503	0.07285	566.84	134	133	133	93/100	7.22	357
  3200	271	145	143	1	0.08567	0.07848	482.65	125	143	143	91/100	8.22	360
  3300	281	145	143	1	0.08196	0.0772	440.15	124	154	154	94/100	7.60	438
  3400	291	139	137	1	0.08824	0.07815	412.34	123	165	165	93/100	7.65	376
  3500	291	146	144	1	0.08043	0.07452	431.52	125	164	164	93/100	8.31	352
  3600	284	155	152	1	0.08133	0.0761	420.53	127	155	155	95/100	7.10	368
  3700	280	147	143	1	0.08633	0.0808	450.96	129	149	149	88/100	6.96	354
  3800	303	160	158	2	0.0859	0.07927	501.82	148	154	154	95/100	8.12	389
  3900	321	163	160	2	0.08178	0.07577	551.78	170	150	150	93/100	8.19	396
  4000	302	164	162	2	0.08073	0.0787	556.56	166	135	135	93/100	8.33	411
  4100	301	167	166	2	0.07988	0.07728	703.27	168	132	132	93/100	7.77	356
  4200	297	159	158	2	0.08378	0.07526	601.24	167	129	129	92/100	6.92	402
  4300	300	154	152	2	0.0812	0.07203	515.77	167	132	132	97/100	7.19	366
