== r36-s1  (**Ended:** budget reached.)
  t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
  100	41	20	2	0	0.07237	0.05583	82.55	7	5	0	33/100	5.43	43
  1100	173	108	103	0	0.07766	0.06903	696.71	144	21	19	79/100	6.17	243
  2100	237	83	78	0	0.07734	0.07601	339.25	100	130	128	90/100	6.86	319
  3100	270	149	147	0	0.08503	0.07285	566.84	134	133	133	93/100	7.22	357
  4100	301	167	166	2	0.07988	0.07728	703.27	168	132	132	93/100	7.77	356
  5100	287	169	167	3	0.0778	0.07647	650.73	144	143	143	95/100	6.47	417
  6100	308	169	164	4	0.08192	0.07656	496.53	184	124	124	97/100	7.21	402
  7100	302	146	141	4	0.08172	0.07745	420.73	197	105	104	95/100	9.51	311
  8100	332	188	186	7	0.08339	0.07407	517.81	206	126	126	95/100	6.79	473
  9100	377	170	167	7	0.08064	0.07628	275.97	227	150	149	98/100	5.83	402
  10100	401	127	127	9	0.07755	0.07443	188.29	299	102	100	97/100	6.30	415
  11100	413	146	146	12	0.08286	0.077	158.99	279	134	133	98/100	6.56	527
  12100	428	163	163	13	0.0828	0.08198	215.34	296	132	131	98/100	7.61	489
  13100	473	153	153	16	0.0807	0.07515	264.11	338	137	136	98/100	7.51	560
  14100	512	142	141	17	0.08148	0.07712	44.05	362	152	152	99/100	7.40	582
  15100	569	131	130	18	0.08771	0.08275	20.77	393	176	176	99/100	6.89	639
  16100	579	133	131	21	0.08331	0.07974	32.74	422	157	157	98/100	7.54	633
  17100	633	144	140	22	0.08093	0.07497	55.16	472	161	161	99/100	7.17	730
  18100	668	145	144	24	0.08199	0.07766	74.74	499	168	168	100/100	8.28	761
  19100	713	131	129	24	0.08591	0.0791	23.64	539	174	174	100/100	7.51	720
  20100	768	122	120	29	0.08672	0.07905	121.25	612	156	156	100/100	7.80	992
  21100	844	122	118	30	0.08465	0.0797	27.84	675	169	169	99/100	5.70	968
  22100	849	97	93	30	0.08151	0.08063	56.59	707	141	141	100/100	7.69	854
  23100	883	94	93	31	0.08011	0.07957	4.65	739	143	143	99/100	6.44	939
  24100	896	99	98	31	0.08284	0.07855	65.68	753	143	142	100/100	8.93	944
  25100	978	88	87	31	0.08331	0.07742	157.35	841	137	136	100/100	6.80	940
  26100	980	82	81	32	0.08702	0.07839	55.85	852	128	127	100/100	8.19	1294
  27100	1023	89	88	32	0.08472	0.08303	12.21	878	144	143	100/100	7.91	992
  28100	1051	83	83	33	0.08516	0.08192	23.11	916	133	132	100/100	7.92	1042
  29100	1108	75	72	33	0.07373	0.07711	5.92	977	127	127	100/100	7.28	1188
  30000	1154	75	73	33	0.08336	0.08158	0.25	1021	128	128	100/100	7.28	1143
== r36-s2  (**Ended:** budget reached.)
  t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
  100	40	18	4	0	0.06145	0.06079	63.09	11	6	0	32/100	5.08	29
  1100	264	127	121	4	0.11287	0.07281	1367.13	249	5	3	92/100	6.27	493
  2100	504	168	159	15	0.11292	0.08094	1647.76	477	21	20	98/100	6.86	779
  3100	750	155	144	21	0.10318	0.08051	1557.52	723	23	21	99/100	7.60	943
  4100	960	117	111	29	0.10702	0.08025	1148.27	902	55	54	100/100	7.51	1157
  5100	1113	91	81	32	0.11416	0.08544	832.22	1055	57	56	100/100	7.11	1391
  6100	1212	70	67	38	0.10429	0.08679	692.84	1172	39	36	100/100	7.26	1579
  7100	1325	56	49	43	0.09864	0.07956	532.68	1240	84	81	100/100	8.60	1320
  8100	1408	50	41	45	0.10229	0.0861	512.64	1317	91	88	100/100	7.09	1767
  9100	1461	41	32	48	0.10902	0.08416	359.17	1325	136	134	100/100	7.18	1756
  10100	1447	47	40	49	0.09417	0.07924	432.7	1306	140	139	100/100	7.13	1503
  11100	1498	33	30	49	0.10206	0.08411	335.45	1354	144	144	100/100	7.28	1815
  12100	1528	30	27	49	0.11967	0.08529	369.96	1404	123	122	100/100	6.39	2120
  13100	1491	16	13	52	0.10688	0.08374	194.64	1352	138	136	100/100	7.72	1423
  14100	1564	13	10	52	0.09377	0.08381	188.16	1449	112	109	100/100	7.10	1653
  15100	1543	9	8	53	0.10333	0.08613	111.17	1456	84	82	100/100	7.27	1597
  16100	1579	8	7	54	0.09958	0.08008	95.66	1511	65	64	100/100	7.07	1519
