seed	t	alive	jointed	jnt inh	diverged	spd jnt	spd rig	work J/s	photo inh	absorpt	inherit	cols	x sd	wraps
r36-s1	1000	155	105	99	0	0.07236	0.07317	560.79	128	18	16	76/100	5.50	148
r36-s1	5000	307	169	166	3	0.08287	0.07704	592.96	157	150	150	99/100	6.10	386
r36-s1	10000	387	139	139	9	0.0813	0.07187	239.71	272	115	113	99/100	7.00	465
r36-s1	15000	576	141	140	18	0.0836	0.08095	34.28	389	187	187	98/100	6.73	674
r36-s1	20000	757	130	128	29	0.09149	0.08233	198.02	600	157	157	100/100	8.09	809
r36-s1	25000	959	87	86	31	0.0797	0.0771	91.43	824	135	134	100/100	6.92	868
r36-s1	30000	1154	75	73	33	0.08336	0.08158	0.25	1021	128	128	100/100	7.28	1143
r36-s2	1000	237	119	113	3	0.1128	0.07294	1281.68	224	4	2	88/100	6.56	421
r36-s2	5000	1100	101	92	31	0.11274	0.08812	1039.88	1045	52	51	100/100	7.49	1523
r36-s2	10000	1457	45	38	49	0.10121	0.08356	385.64	1323	134	133	100/100	6.32	1449
r36-s2	15000	1535	9	8	53	0.10041	0.08033	127.82	1444	88	86	100/100	7.38	1506
r36-s2	20000	1609	5	4	54	0.10409	0.08737	68.11	1528	79	76	100/100	8.48	1778
r36-s2	25000	1558	4	3	55	0.08612	0.07966	58.88	1450	107	104	100/100	7.80	1636
r36-s2	30000	1624	5	4	55	0.08899	0.0837	70.94	1539	83	83	100/100	6.90	1870
r36-s3	1000	193	143	133	2	0.08373	0.07132	1283.04	176	11	9	81/100	8.19	361
r36-s3	5000	787	130	113	8	0.09228	0.07959	1423.3	705	80	79	100/100	10.24	905
r36-s3	10000	1082	29	24	13	0.09208	0.07876	346.69	1023	59	55	100/100	6.98	1250
r36-s3	15000	1209	13	10	15	0.1034	0.08401	573.14	1087	121	118	100/100	9.81	1307
r36-s3	20000	1284	9	2	17	0.09929	0.08711	216.87	1143	141	140	100/100	7.44	1369
r36-s3	25000	1306	4	2	19	0.08458	0.07565	5.78	1186	120	116	100/100	7.52	1388
r36-s3	30000	1342	2	0	20	0.1693	0.08315	23.24	1211	131	130	100/100	7.28	1260
r36-s4	1000	364	102	97	0	0.0963	0.07868	3265.44	357	2	0	96/100	9.10	507
r36-s4	5000	1352	51	47	3	0.09869	0.08007	1732.48	648	700	697	100/100	8.21	1856
r36-s4	10000	1305	5	5	5	0.12009	0.08445	142.04	864	439	436	100/100	7.77	1498
r36-s4	15000	1389	0	0	6	—	0.08008	0	1129	259	256	100/100	9.35	2058
r36-s4	20000	1358	0	0	6	—	0.08098	0	1129	229	227	100/100	7.93	1578
r36-s4	25000	1354	0	0	6	—	0.08088	0	1108	245	243	100/100	8.82	1282
r36-s4	30000	1329	0	0	6	—	0.08455	0	1133	196	194	100/100	7.28	1496
r36-s5	1000	181	122	118	6	0.08844	0.07471	2064.41	173	0	0	90/100	7.11	340
r36-s5	5000	577	79	78	11	0.09739	0.08514	2321.29	576	139	139	98/100	6.78	667
r36-s5	10000	1056	11	11	12	0.08877	0.077	253.4	1052	102	98	99/100	6.99	1051
r36-s5	15000	1388	12	11	16	0.09546	0.08408	305.3	1367	61	59	100/100	6.93	1509
r36-s5	20000	1607	4	4	17	0.09866	0.09433	127.24	1560	54	54	100/100	8.32	2006
r36-s5	25000	1669	1	1	17	0.09439	0.08058	28.32	1588	83	81	100/100	7.92	1758
r36-s5	30000	1650	0	0	17	—	0.08434	0	1571	80	79	100/100	8.72	1669
