## Cycle  local extrema of alive, r37 (a sample is an extremum of its +-1500 s window)
seed	kind	t	alive	p3 share	depth m	jnt inh
1	trough	100	41	0.415	-18.3	3
1	peak	7400	1091	0.636	-37	47
1	trough	9000	436	0.805	-36	0
1	peak	16100	1671	0.562	-38.1	0
1	trough	19700	808	0.689	-32.8	0
1	trough	21300	813	0.728	-24.3	0
1	peak	26200	1477	0.473	-34.3	0
1	trough	29000	506	0.476	-44.7	0
2	trough	100	40	0.375	-16.1	4
2	peak	5700	1582	0.705	-42.1	212
2	trough	9100	564	0.817	-32.1	23
2	peak	15400	1868	0.952	-4.2	121
2	trough	19700	1362	0.664	-43.7	10
2	peak	24000	1795	0.747	-9.9	20
2	trough	28100	1427	0.591	-41.3	5
2	peak	29900	1560	0.778	-14.1	3
3	trough	100	44	0.409	-10.8	17
3	peak	2100	409	0.606	-11.9	124
3	peak	4100	533	0.604	-39.9	93
3	peak	6000	501	0.655	-30.9	110
3	trough	7100	286	0.689	-29.4	54
3	peak	14500	1472	0.549	-41.2	47
3	trough	17900	495	0.836	-32.9	112
3	peak	24900	1556	0.525	-34.6	118
3	peak	27200	1466	0.601	-33.7	55
3	trough	28700	692	0.705	-33.3	79
3	peak	30000	925	0.718	-1.4	148
4	trough	100	41	0.317	-15.3	6
4	peak	5900	1840	0.574	-43.8	85
4	trough	9900	980	0.623	-19.7	190
4	peak	14300	1811	0.667	-40.9	56
4	trough	18100	1004	0.593	-24.4	5
4	peak	24600	1894	0.707	-36.3	14
4	trough	28700	1469	0.820	-22.6	0
4	peak	30000	1660	0.980	-1.8	0
5	trough	100	41	0.488	-16.2	10
5	peak	2600	799	0.730	-37.7	114
5	trough	3700	465	0.770	-43	107
5	peak	10800	1844	0.741	-37.5	14
5	trough	14600	895	0.546	-30.8	2
5	peak	19300	1832	0.924	-37.8	1
5	peak	23600	1690	0.659	-30.9	0
5	trough	25200	938	0.641	-33.9	0
5	peak	29900	1832	0.459	-43.4	0


## Cycle  amplitude over t >= 5000
round	seed	min alive	t	max alive	t	max/min
r37	1	436	9000	1671	16100	3.83
r37	2	564	9100	1868	15400	3.31
r37	3	286	7100	1556	24900	5.44
r37	4	980	9900	1894	24600	1.93
r37	5	570	5200	1844	10800	3.24
r36	1	287	5100	1155	29900	4.02
r36	2	1100	5000	1668	20500	1.52
r36	3	787	5000	1367	28100	1.74
r36	4	1292	11700	1419	7000	1.10
r36	5	577	5000	1708	27200	2.96

