## M1 candidate 1  the ring a child is born into (lineage `pt`, founders excluded) against the ring the standing crowd is in (report p0..p3), in windows of 2000 s
arm	window	births	b0	b1	b2	b3	birth s3	crowd s3	birth s0+s1	crowd s0+s1	birth mean ring	crowd mean ring
r37-s1	0-2000	372	135	122	68	47	0.126	0.670	0.691	0.130	1.073	2.499
r37-s1	2000-4000	492	176	164	92	60	0.122	0.705	0.691	0.089	1.073	2.589
r37-s1	4000-6000	801	356	252	131	62	0.077	0.707	0.759	0.113	0.874	2.565
r37-s1	6000-8000	1175	452	368	234	121	0.103	0.684	0.698	0.117	1.020	2.529
r37-s1	8000-10000	2382	1051	698	411	222	0.093	0.674	0.734	0.157	0.918	2.470
r37-s1	10000-12000	769	252	216	196	105	0.137	0.737	0.609	0.121	1.200	2.575
r37-s1	12000-14000	410	171	119	84	36	0.088	0.762	0.707	0.066	0.963	2.690
r37-s1	14000-16000	417	193	152	51	21	0.050	0.752	0.827	0.061	0.760	2.670
r37-s1	16000-18000	1200	431	315	263	191	0.159	0.671	0.622	0.158	1.178	2.478
r37-s1	18000-20000	3263	1286	884	645	448	0.137	0.561	0.665	0.233	1.078	2.274
r37-s1	20000-22000	685	216	200	171	98	0.143	0.655	0.607	0.167	1.220	2.436
r37-s1	22000-24000	412	149	155	79	29	0.070	0.754	0.738	0.049	0.971	2.696
r37-s1	24000-26000	386	168	123	76	19	0.049	0.726	0.754	0.071	0.860	2.640
r37-s1	26000-28000	3340	1312	1067	657	304	0.091	0.622	0.712	0.146	0.986	2.435
r37-s1	28000-30000	1360	440	387	290	243	0.179	0.662	0.608	0.176	1.247	2.422
r37-s2	0-2000	546	247	175	60	64	0.117	0.559	0.773	0.176	0.892	2.330
r37-s2	2000-4000	958	390	269	178	121	0.126	0.631	0.688	0.155	1.031	2.443
r37-s2	4000-6000	854	353	275	146	80	0.094	0.697	0.735	0.114	0.945	2.547
r37-s2	6000-8000	3275	1251	959	678	387	0.118	0.677	0.675	0.142	1.061	2.486
r37-s2	8000-10000	2534	864	638	556	476	0.188	0.570	0.593	0.269	1.254	2.188
