arm r37-s2 | run 2026-09-12-072921-96d4bce6 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 21298 births, 85 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     40    37/100    2.58    3.12     0.92     2.57     30   -14.43      6   -30.74      0        -      3    -1.60      1   -23.94         2       19   -15.78   -16.48
    200.0     49    38/100    3.15    3.13     0.63     1.82     44    -7.77      2   -25.50      0        -      3    -1.02      0        -         2       23    -7.06    -8.98
    300.0     71    46/100    3.22    3.13     0.38     1.20     66    -6.77      1   -53.74      0        -      4    -0.93      0        -        12       38    -5.80    -8.60
    400.0     93    47/100    2.95    3.49     0.37     1.16     88    -7.13      1   -51.63      0        -      4    -1.00      0        -        22       55    -6.17    -9.05
    500.0    119    49/100    3.21    3.61     0.30     1.16    112    -7.87      1   -52.40      0        -      6    -0.72      0        -        22       74    -7.02    -9.30
    600.0    146    61/100    3.01    3.76     0.25     1.07    140    -9.40      0        -      0        -      6    -1.13      0        -        36       92    -8.72    -9.64
    700.0    167    63/100    3.04    3.70     0.19     1.06    161   -11.62      0        -      0        -      6    -2.01      0        -        46      107   -10.98   -11.80
    800.0    199    70/100    3.00    3.64     0.21     1.00    193   -14.68      0        -      0        -      6    -3.34      0        -        57      135   -14.22   -14.58
    900.0    209    71/100    3.19    3.24     0.21     0.88    204   -17.07      0        -      0        -      5    -4.90      0        -        75      142   -16.74   -16.86
   1000.0    232    79/100    3.06    3.01     0.25     0.92    227   -18.74      0        -      0        -      5    -7.60      0        -        87      157   -18.41   -18.68
   1100.0    247    77/100    3.33    3.07     0.21     0.79    242   -19.29      0        -      0        -      5    -9.84      0        -       131      170   -19.01   -19.30
   1200.0    256    83/100    3.11    3.13     0.23     0.73    251   -19.14      0        -      0        -      5   -11.21      0        -       143      175   -18.89   -19.20
   1300.0    274    83/100    3.24    3.24     0.20     0.72    269   -18.02      0        -      0        -      5   -11.66      0        -       151      176   -17.71   -18.23
   1400.0    288    81/100    3.10    3.43     0.21     0.70    283   -15.92      0        -      0        -      5   -11.06      0        -       167      192   -15.83   -15.84
   1500.0    300    81/100    3.40    3.44     0.18     0.72    296   -13.19      0        -      0        -      4    -8.19      0        -       164      202   -13.23   -12.93
   1600.0    315    78/100    3.28    3.46     0.17     0.71    311    -9.33      0        -      0        -      4    -5.39      0        -       194      207    -9.46    -8.94
   1700.0    324    76/100    3.46    3.41     0.17     0.68    320    -5.72      0        -      0        -      4    -2.44      0        -       221      209    -5.88    -5.31
   1800.0    345    79/100    3.51    3.38     0.19     0.63    341    -3.07      0        -      0        -      4    -0.59      0        -       261      218    -3.35    -2.52
   1900.0    383   100/100    3.34    3.31     0.21     0.58    379    -1.71      0        -      0        -      4    -0.45      0        -       291      234    -2.03    -1.19
   2000.0    420   103/100    3.22    3.30     0.22     0.53    415    -1.36      0        -      0        -      4    -0.51      1    -0.44       331      249    -1.60    -0.98
   2100.0    461   105/100    3.23    3.22     0.20     0.52    456    -1.72      0        -      0        -      4    -0.46      1    -0.22       354      274    -2.14    -1.07
   2200.0    497   101/100    3.29    3.38     0.20     0.51    492    -2.13      0        -      0        -      4    -0.68      1    -0.16       383      288    -2.73    -1.26
   2300.0    526    96/100    3.44    3.39     0.16     0.53    520    -2.14      0        -      1   -14.73      4    -0.81      1    -0.46       415      294    -2.72    -1.42
   2400.0    554   101/100    3.57    3.41     0.15     0.50    547    -2.18      0        -      2   -13.68      4    -0.73      1    -0.19       455      295    -2.73    -1.61
   2500.0    586    84/100    3.65    3.47     0.13     0.47    576    -2.48      0        -      5   -14.53      4    -1.00      1    -0.28       469      297    -3.11    -2.01
   2600.0    618    85/100    3.87    3.34     0.12     0.50    604    -3.27      0        -      8   -16.88      4    -1.38      2    -1.21       503      299    -4.16    -2.74
   2700.0    650    76/100    3.98    3.28     0.10     0.53    628    -5.19      0        -     16   -20.16      4    -2.36      2    -2.48       508      297    -6.48    -4.75
   2800.0    688    79/100    4.04    3.09     0.09     0.60    658    -9.36      0        -     24   -25.39      4    -4.38      2    -5.94       517      297   -10.97    -9.06
   2900.0    718    84/100    3.92    2.97     0.10     0.65    684   -15.78      0        -     28   -31.16      4    -7.84      2   -13.13       491      296   -17.50   -15.51
   3000.0    743    90/100    3.66    3.19     0.11     0.67    703   -22.58      0        -     34   -32.93      4   -14.80      2   -22.05       539      292   -23.81   -22.49
   3100.0    771    94/100    3.37    3.43     0.10     0.60    729   -27.71      0        -     36   -34.81      4   -19.40      2   -31.48       578      288   -27.85   -28.11
   3200.0    802   100/100    3.25    3.42     0.11     0.51    752   -30.15      0        -     45   -34.90      3   -21.41      2   -34.12       633      286   -30.22   -30.48
   3300.0    834    99/100    3.05    3.29     0.10     0.47    773   -31.09      0        -     56   -34.37      3   -26.09      2   -34.09       677      285   -31.09   -31.40
   3400.0    867    94/100    2.87    3.42     0.10     0.44    791   -31.18      0        -     71   -33.90      3   -28.02      2   -34.25       731      285   -31.13   -31.53
   3500.0    900   102/100    2.87    3.66     0.11     0.43    797   -30.43      0        -     97   -33.17      3   -28.37      3   -34.27       757      282   -30.43   -30.87
   3600.0    931    95/100    3.03    3.69     0.10     0.43    812   -28.46      0        -    116   -31.50      1   -24.85      2   -32.08       795      281   -28.64   -28.94
   3700.0    950    94/100    3.30    3.56     0.09     0.45    798   -24.54      0        -    149   -28.10      1   -24.85      2   -26.84       804      268   -25.04   -25.13
   3800.0   1002    90/100    3.32    3.24     0.07     0.47    816   -18.13      0        -    183   -22.89      1   -17.62      2   -18.40       830      264   -19.27   -18.90
   3900.0   1055    90/100    3.55    3.31     0.08     0.48    837   -10.64      0        -    216   -16.04      0        -      2    -9.84       883      260   -12.18   -11.61
   4000.0   1104    93/100    3.64    3.46     0.08     0.39    855    -4.76      1   -23.19    246    -9.45      0        -      2    -3.39       947      255    -6.14    -5.73
   4100.0   1152   103/100    3.73    3.28     0.09     0.31    884    -1.63      1   -19.83    266    -5.26      0        -      1    -0.58      1040      255    -2.62    -2.44
