## M0  alive at 30,000 s
seed	r37 alive	r36 alive	ratio
1	682	1154	0.591
2	1557	1624	0.959
3	925	1342	0.689
4	1660	1329	1.249
5	1831	1650	1.110

## M1  p3 over alive (rim ring, a quarter of the area)
seed	t=5000 p3	alive	share	t=15000 p3	alive	share	t=30000 p3	alive	share
1	438	752	0.582	1457	1518	0.960	598	682	0.877
2	1300	1456	0.893	1509	1861	0.811	1117	1557	0.717
3	269	376	0.715	637	1406	0.453	664	925	0.718
4	1625	1719	0.945	1054	1677	0.629	1627	1660	0.980
5	409	571	0.716	846	1020	0.829	1021	1831	0.558

## M1  patch shares in full (r37)
seed	t	alive	p0	p1	p2	p3	s0	s1	s2	s3	sum-alive
1	5000	752	84	108	122	438	0.112	0.144	0.162	0.582	0
1	15000	1518	6	4	51	1457	0.004	0.003	0.034	0.960	0
1	30000	682	13	14	57	598	0.019	0.021	0.084	0.877	0
2	5000	1456	10	34	112	1300	0.007	0.023	0.077	0.893	0
2	15000	1861	20	89	243	1509	0.011	0.048	0.131	0.811	0
2	30000	1557	29	173	238	1117	0.019	0.111	0.153	0.717	0
3	5000	376	25	32	50	269	0.066	0.085	0.133	0.715	0
3	15000	1406	67	365	337	637	0.048	0.260	0.240	0.453	0
3	30000	925	7	15	239	664	0.008	0.016	0.258	0.718	0
4	5000	1719	9	13	72	1625	0.005	0.008	0.042	0.945	0
4	15000	1677	18	119	486	1054	0.011	0.071	0.290	0.629	0
4	30000	1660	3	11	19	1627	0.002	0.007	0.011	0.980	0
5	5000	571	22	68	72	409	0.039	0.119	0.126	0.716	0
5	15000	1020	21	71	82	846	0.021	0.070	0.080	0.829	0
5	30000	1831	84	384	342	1021	0.046	0.210	0.187	0.558	0

## M1  p3 share every 1000 s, r37
t	s1	s2	s3	s4	s5
1000	0.642	0.461	0.767	0.635	0.514
2000	0.682	0.429	0.658	0.691	0.831
3000	0.664	0.673	0.779	0.822	0.347
4000	0.643	0.671	0.671	0.567	0.766
5000	0.582	0.893	0.715	0.945	0.716
6000	0.668	0.606	0.655	0.490	0.727
7000	0.742	0.859	0.586	0.881	0.883
8000	0.552	0.453	0.774	0.660	0.961
9000	0.805	0.758	0.777	0.417	0.828
10000	0.739	0.810	0.726	0.649	0.978
11000	0.914	0.937	0.660	0.907	0.710
12000	0.803	0.773	0.529	0.666	0.963
13000	0.941	0.931	0.625	0.833	0.756
14000	0.685	0.853	0.696	0.368	0.310
15000	0.960	0.811	0.453	0.629	0.829
16000	0.613	0.685	0.664	0.442	0.973
17000	0.800	0.275	0.458	0.261	0.765
18000	0.429	0.640	0.813	0.658	0.826
19000	0.547	0.161	0.656	0.741	0.497
20000	0.740	0.650	0.881	0.626	0.642
21000	0.613	0.827	0.719	0.693	0.656
22000	0.577	0.666	0.843	0.715	0.271
23000	0.727	0.746	0.521	0.582	0.539
24000	0.690	0.747	0.794	0.987	0.536
25000	0.529	0.654	0.608	0.579	0.697
26000	0.736	0.717	0.528	0.889	0.899
27000	0.588	0.464	0.604	0.505	0.855
28000	0.636	0.660	0.284	0.690	0.706
29000	0.476	0.697	0.592	0.836	0.996
30000	0.877	0.717	0.718	0.980	0.558

## M1 control  p3 share every 1000 s, r36 (patch 3 of a row of four square patches)
t	s1	s2	s3	s4	s5
1000	0.361	0.215	0.290	0.313	0.238
2000	0.288	0.263	0.318	0.226	0.313
3000	0.262	0.242	0.173	0.231	0.189
4000	0.212	0.190	0.253	0.240	0.186
5000	0.173	0.296	0.210	0.265	0.250
6000	0.238	0.276	0.305	0.282	0.252
7000	0.247	0.332	0.207	0.235	0.254
8000	0.207	0.272	0.205	0.238	0.226
9000	0.219	0.276	0.261	0.222	0.272
10000	0.235	0.299	0.322	0.248	0.191
11000	0.285	0.296	0.259	0.234	0.258
12000	0.281	0.228	0.258	0.263	0.234
13000	0.288	0.232	0.282	0.188	0.234
14000	0.277	0.213	0.206	0.300	0.241
15000	0.142	0.214	0.249	0.220	0.237
16000	0.306	0.308	0.200	0.282	0.247
17000	0.228	0.231	0.252	0.199	0.274
18000	0.272	0.285	0.197	0.216	0.313
19000	0.185	0.218	0.277	0.216	0.245
20000	0.269	0.298	0.267	0.237	0.211
21000	0.296	0.268	0.383	0.259	0.236
22000	0.223	0.269	0.242	0.225	0.238
23000	0.259	0.180	0.260	0.316	0.283
24000	0.221	0.238	0.248	0.244	0.329
25000	0.277	0.218	0.217	0.316	0.223
26000	0.221	0.248	0.243	0.236	0.280
27000	0.245	0.266	0.222	0.289	0.272
28000	0.204	0.236	0.235	0.215	0.274
29000	0.249	0.294	0.228	0.244	0.233
30000	0.250	0.196	0.321	0.262	0.214

## M2  report cols and x sd, r37
seed	t=5000 cols	x sd	t=15000 cols	x sd	t=30000 cols	x sd
1	87/100	2.89	63/100	3.82	77/100	3.89
2	79/100	2.97	101/100	3.35	88/100	3.25
3	87/100	3.66	104/100	3.18	85/100	3.53
4	78/100	3.85	95/100	3.54	70/100	3.93
5	84/100	3.19	92/100	3.79	88/100	2.61

## M2 control  r36 report cols / x sd (circular deviation in a box)
seed	t=5000 cols	x sd	t=15000 cols	x sd	t=30000 cols	x sd
1	99/100	6.10	98/100	6.73	100/100	7.28
2	100/100	7.49	100/100	7.38	100/100	6.90
3	100/100	10.24	100/100	9.81	100/100	7.28
4	100/100	8.21	100/100	9.35	100/100	7.28
5	98/100	6.78	100/100	6.93	100/100	8.72

## M2  report cols above 100 (only 100 columns are live in the tank)
r37-s1	34 of 300 samples over 100	max 114
r37-s2	79 of 300 samples over 100	max 117
r37-s3	60 of 300 samples over 100	max 117
r37-s4	71 of 300 samples over 100	max 115
r37-s5	41 of 300 samples over 100	max 114

## M4  jnt inh at 30,000 s
seed	r37 jnt inh	r36 jnt inh	r37 jointed	r36 jointed
1	0	73	0	75
2	3	4	3	5
3	148	0	148	2
4	0	0	1	0
5	0	0	0	0

## M4  the joint over time
arm	last t with jnt inh>=10	peak jnt inh	at t
r37-s1	8400	96	3200
r36-s1	30000	186	8100
r37-s2	27300	295	2600
r36-s2	15900	165	1600
r37-s3	30000	253	19600
r36-s3	15400	154	2900
r37-s4	25600	202	9600
r36-s4	9300	106	1400
r37-s5	14100	137	1800
r36-s5	18000	153	1800

## M5  mean m/s
seed	r37 t=5000	r36 t=5000	ratio	r37 t=30000	r36 t=30000	ratio
1	0.0904	0.0786	1.150	0.0391	0.0811	0.482
2	0.0564	0.0884	0.638	0.0670	0.0852	0.786
3	0.0422	0.0795	0.531	0.0380	0.0838	0.453
4	0.0260	0.0852	0.305	0.0214	0.0838	0.255
5	0.0627	0.0868	0.722	0.0655	0.0853	0.768

## M5  mean m/s averaged over all 300 samples
seed	r37 mean	r36 mean	ratio
1	0.0542	0.0790	0.687
2	0.0592	0.0838	0.706
3	0.0567	0.0812	0.699
4	0.0584	0.0830	0.704
5	0.0569	0.0838	0.678

## M6  diverged (cumulative column at the last sample)
seed	r37 diverged	r36 diverged	bound 2*r36+2
1	0	33	68
2	0	55	112
3	0	20	42
4	0	6	14
5	0	17	36

## M6  exposure: jointed body-seconds and divergences per 1e6 of them
round	seed	sum jnt inh	interval s	jnt-inh body-s	diverged	per 1e6 jnt-inh body-s	sum jointed	jointed body-s	per 1e6 jointed body-s
r37	1	5330	100	533000	0	0.00	5544	554400	0.00
r37	2	26521	100	2652100	0	0.00	26812	2681200	0.00
