== r37-s1  (**Ended:** budget reached.)
  t	alive	cols	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	audit	mat resid	depth m	depth sd	jointed	mat blk	food %	absorpt
  1000	176	61/100	3.71	7	16	40	113	81	0.062	0	0	1	0.0000%	0	-14.3	3.83	90	16150	1.03%	2
  2000	264	67/100	3.23	4	15	65	180	57	0.0468	0	0	0	0.0000%	0	-8.4	6.11	59	26579	7.95%	89
  3000	449	94/100	3.50	35	46	70	298	83	0.0679	0	0	0	0.0000%	0	-20	5.4	85	34295	8.94%	150
  4000	493	89/100	3.63	10	14	152	317	89	0.0438	0	0	0	0.0000%	0	-0.9	0.59	91	84574	10.79%	165
  5000	752	87/100	2.89	84	108	122	438	82	0.0904	0	0	0	0.0000%	0	-28.2	7.73	84	92140	11.18%	282
  6000	868	77/100	3.48	0	26	262	580	64	0.0492	0	0	0	0.0000%	0	-1	1.48	64	65835	12.91%	297
  7000	1033	75/100	2.51	5	48	214	766	54	0.0888	0	0	0	0.0000%	0	-10.8	5.67	54	141232	11.83%	289
  8000	938	91/100	3.12	33	165	222	518	32	0.0394	0	0	0	0.0000%	0	-55.3	7.68	32	76662	12.42%	266
  9000	436	77/100	3.10	21	23	41	351	0	0.0526	0	0	0	0.0000%	0	-36	23.42	0	8304	21.44%	196
  10000	702	85/100	3.33	28	68	87	519	0	0.0902	0	0	0	0.0000%	0	-39.3	15.75	0	6540	9.02%	112
  11000	648	75/100	3.77	7	21	28	592	0	0.0315	0	0	0	0.0000%	0	-13.9	21.39	0	57269	4.21%	68
  12000	941	69/100	3.75	5	21	159	756	0	0.0485	0	0	0	0.0000%	0	-6.3	3.45	0	100116	5.18%	115
  13000	1146	65/100	3.81	3	6	59	1078	0	0.0302	0	0	0	0.0000%	0	-4.1	6.8	0	201253	9.21%	162
  14000	1341	71/100	3.08	3	58	361	919	0	0.0848	0	0	0	0.0000%	0	-11	3.14	0	209541	9.63%	162
  15000	1518	63/100	3.82	6	4	51	1457	0	0.0254	0	0	0	0.0000%	0	-1.4	1.71	0	262621	8.96%	162
  16000	1663	84/100	3.10	40	143	461	1019	0	0.0351	0	0	0	0.0000%	0	-37.8	2.5	0	261651	8.63%	154
  17000	1618	92/100	3.52	17	52	255	1294	0	0.0551	0	0	0	0.0000%	0	-27.6	19.64	0	225531	9.19%	173
  18000	1568	96/100	3.28	126	250	519	673	0	0.0622	0	0	0	0.0000%	0	-38.6	4.42	0	183839	9.86%	201
  19000	1094	106/100	3.51	52	117	327	598	0	0.0258	0	0	0	0.0000%	0	-55.8	12.13	0	84756	12.59%	182
  20000	881	93/100	3.03	15	98	116	652	0	0.0531	0	0	0	0.0000%	0	-23.2	10.95	0	14191	5.05%	115
  21000	845	104/100	2.99	124	118	85	518	0	0.0506	0	0	0	0.0000%	0	-28.8	24.38	0	39802	5.96%	116
  22000	903	85/100	3.08	14	122	246	521	0	0.0567	0	0	0	0.0000%	0	-19.8	5.93	0	69600	10.03%	187
  23000	1015	83/100	3.75	9	7	261	738	0	0.0384	0	0	0	0.0000%	0	-1.1	3.87	0	152412	9.84%	163
  24000	1220	89/100	3.72	67	120	191	842	0	0.0633	0	0	0	0.0000%	0	-28.8	5.37	0	187191	9.46%	163
  25000	1335	88/100	3.46	6	47	576	706	0	0.0514	0	0	0	0.0000%	0	-0.7	1.69	0	181756	8.51%	143
  26000	1453	84/100	3.65	46	136	202	1069	0	0.1266	0	0	0	0.0000%	0	-21.9	8.33	0	235597	7.33%	132
  27000	1334	93/100	2.90	61	162	326	785	0	0.042	0	0	0	0.0000%	0	-55.2	5.7	0	178074	5.66%	87
  28000	971	97/100	3.06	43	145	165	618	0	0.0561	0	0	0	0.0000%	0	-48.3	10.65	0	59587	5.13%	92
  29000	506	94/100	3.10	32	120	113	241	0	0.0425	0	0	0	0.0000%	0	-44.7	21.51	0	0	4.31%	54
  30000	682	77/100	3.89	13	14	57	598	0	0.0391	0	0	0	0.0000%	0	-12.8	20.27	0	83169	2.02%	60
== r37-s2  (**Ended:** budget reached.)
  t	alive	cols	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	audit	mat resid	depth m	depth sd	jointed	mat blk	food %	absorpt
  1000	232	78/100	3.06	16	51	58	107	153	0.0703	0	0	6	0.0000%	0	-18.5	4.28	157	16858	0.61%	0
  2000	420	104/100	3.22	35	54	151	180	245	0.0658	0	0	0	0.0000%	0	-1.4	1.69	249	60667	0.65%	0
  3000	743	90/100	3.66	26	85	132	500	288	0.1047	0	0	0	0.0000%	0	-23	9.07	292	105875	1.25%	34
  4000	1104	93/100	3.64	15	50	298	741	253	0.0889	0	0	0	0.0000%	0	-5.8	6.39	255	111309	5.04%	247
