## The cycle: local extrema of alive over t >= 5000 (a sample extreme in its +-1500 s window)
arm	kind	t	alive	p3 share	depth m	jnt inh	shade %
r37b-s6	trough	5000	1653	0.229	-13.5	140	36.3%
r37b-s6	peak	10100	1913	0.219	-23.2	85	23%
r37b-s6	peak	12400	1912	0.216	-26.5	56	19.8%
r37b-s6	peak	12600	1912	0.237	-26.4	56	19.8%
r37b-s6	trough	15100	1596	0.260	-23.5	40	16.2%
r37b-s6	peak	18100	1785	0.206	-21.9	21	15.7%
r37b-s6	trough	18900	1743	0.210	-21.3	26	15.6%
r37b-s6	peak	20000	1808	0.222	-21.6	37	14.9%
r37b-s6	trough	22300	1745	0.232	-21.9	33	16.3%
r37b-s6	peak	26000	1844	0.245	-23.1	32	16.3%
r37b-s6	trough	28200	1804	0.226	-21.1	23	15.4%
r37b-s6	peak	29500	1829	0.232	-21.5	17	14.5%
r37b-s6	trough	29900	1802	0.196	-21.7	12	14.2%
r37b-s7	trough	5100	1085	0.192	-15.6	50	32.2%
r37b-s7	peak	9900	1528	0.240	-16.1	2	31.2%
r37b-s7	peak	12500	1529	0.260	-18.5	0	27.8%
r37b-s7	trough	12600	1451	0.214	-18.4	0	27.1%
r37b-s7	trough	15800	1335	0.213	-16.6	0	23.5%
r37b-s7	peak	20100	1572	0.183	-17.7	0	28.1%
r37b-s7	trough	25600	1357	0.192	-18.1	0	22.3%
r37b-s7	peak	29500	1595	0.214	-18.2	0	27.5%
r37b-s8	trough	5000	1470	0.217	-18.7	42	42%
r37b-s8	peak	7700	1646	0.204	-19.9	25	31.3%
r37b-s8	trough	8700	1523	0.149	-17.5	24	27.3%
r37b-s8	peak	10700	1646	0.220	-20.1	14	23.8%
r37b-s8	trough	11500	1598	0.232	-19.8	12	21.4%
r37b-s8	peak	14800	1732	0.231	-21.1	5	21%
r37b-s8	trough	15400	1674	0.220	-21.1	5	20%
r37b-s8	peak	20200	1843	0.204	-20.5	3	18.1%
r37b-s8	trough	22600	1765	0.202	-21.8	1	16.7%
r37b-s8	trough	25600	1697	0.228	-23.4	2	15.8%
r37b-s8	peak	29900	1832	0.213	-20.7	1	16.8%
r37b-s9	trough	5000	1349	0.196	-16.5	38	35.7%
r37b-s9	peak	7800	1702	0.222	-20.9	12	33%
r37b-s9	trough	9000	1546	0.218	-18.9	5	26.2%
r37b-s9	peak	10400	1633	0.254	-20.8	3	25.3%
r37b-s9	peak	16000	1764	0.215	-21.1	0	19.6%
r37b-s9	peak	16100	1764	0.197	-21	0	18.7%
r37b-s9	peak	16200	1764	0.221	-20.9	0	19.1%
r37b-s9	trough	17500	1672	0.185	-21.4	0	18.5%
r37b-s9	trough	17600	1672	0.196	-21.2	0	18.5%
r37b-s9	peak	18800	1721	0.216	-21.6	0	17.6%
r37b-s9	trough	19900	1649	0.273	-20.7	0	19.1%
r37b-s9	peak	25300	1797	0.207	-20.9	0	17.1%
r37b-s9	peak	25600	1797	0.213	-21.1	0	18.6%
r37b-s9	trough	29000	1680	0.227	-20.5	0	17%
r37b-s9	peak	30000	1722	0.240	-20.1	0	19.2%
r37b-s10	trough	5000	1734	0.186	-18.5	6	29.7%
r37b-s10	peak	7700	1842	0.239	-20.9	4	25%
r37b-s10	trough	10900	1668	0.206	-21.5	1	18%
r37b-s10	peak	15900	1859	0.230	-20	0	16.9%
r37b-s10	trough	20200	1769	0.247	-22.2	0	13.9%
r37b-s10	peak	25300	1862	0.202	-22.4	0	14%
r37b-s10	peak	27800	1834	0.237	-22.6	0	13.5%
r37b-s10	trough	29900	1753	0.246	-22	0	14%

## peak-to-trough amplitude over t >= 5000 (0097 read 1.79 to 2.35 on round 37b seeds 1 to 5 and 1.93 to 5.44 on round 37)
arm	min alive	at t	max alive	at t	max/min	below 2.5
r37b-s6	1596	15100	1913	10100	1.20	yes
r37b-s7	1085	5100	1595	29500	1.47	yes
r37b-s8	1470	5000	1843	20200	1.25	yes
r37b-s9	1349	5000	1797	25600	1.33	yes
r37b-s10	1668	10900	1862	25300	1.12	yes
