## The eaters: absorptive and inherited-absorptive standing counts
arm	t	alive	absorpt	inherit	inherit/alive	food %	photo inh
r37b-s6	5000	1653	6	4	0.002	0.3%	1642
r37b-s6	15000	1617	523	518	0.320	20.67%	1094
r37b-s6	30000	1811	126	124	0.068	5.01%	1685
r37b-s7	5000	1091	173	173	0.159	8.39%	917
r37b-s7	15000	1438	107	106	0.074	4.72%	1331
r37b-s7	30000	1585	117	114	0.072	5.1%	1468
r37b-s8	5000	1470	803	798	0.543	14.42%	663
r37b-s8	15000	1714	141	140	0.082	6.14%	1576
r37b-s8	30000	1831	99	95	0.052	4.3%	1733
r37b-s9	5000	1349	271	270	0.200	10.56%	1074
r37b-s9	15000	1745	123	122	0.070	8.58%	1622
r37b-s9	30000	1722	82	81	0.047	4.5%	1640
r37b-s10	5000	1734	262	258	0.149	10.26%	1464
r37b-s10	15000	1820	78	76	0.042	4.2%	1740
r37b-s10	30000	1759	58	56	0.032	3.12%	1699

## The eaters: the peak of the absorptive standing count
arm	peak absorpt	at t	peak inherit	at t	last t with inherit >= 10	first t with inherit >= 10
r37b-s6	708	13100	703	13100	30000	5500
r37b-s7	341	2900	339	2900	30000	1700
r37b-s8	972	5800	967	5800	30000	3300
r37b-s9	535	7300	533	7300	30000	4300
r37b-s10	331	7300	327	7300	30000	2700

## comparison, round 37b seeds 1 to 5 (logbook/specs/r37b-read/eaters.tsv): inherit/alive at 30,000 s 0.045 / 0.085 / 0.016 / 0.042 / 0.045; peak absorptive 527 / 557 / 308 / 644 / 247
