## Where the detritus and the corpses are
arm	t	det patch sd	patch max share	corpses	det deep	detritus J	J/m3 here	% on floor	refuge J	mat here	shade %	depth m	depth sd
r37b-s6	5000	0.3702	0.267	348	10.9009	130506.6	33.6749	0.2%	243.5	0.025	36.3%	-13.5	10.64
r37b-s6	15000	0.0057	0.267	2052	0.4349	4516.4	0.5376	0.2%	10.7	0.024	16.2%	-23.7	15.52
r37b-s6	30000	0.0054	0.314	825	1.0392	11644.7	2.5624	0.2%	28.6	0.023	14.2%	-22	13.7
r37b-s7	5000	0.0079	0.29	1692	1.2207	8428.1	1.3612	0.4%	37	0.022	33.3%	-16.1	10.22
r37b-s7	15000	0.0181	0.297	2262	0.9264	9225.1	1.4426	0.3%	26.1	0.023	25.7%	-18.2	11.6
r37b-s7	30000	0.0352	0.28	1001	0.9725	11893.9	1.4861	0.2%	27.2	0.023	26.1%	-19.6	12.25
r37b-s8	5000	0.3455	0.288	843	5.2224	25006.3	1.8413	0.6%	158.5	0.023	42%	-18.7	13.01
r37b-s8	15000	0.0116	0.274	1080	1.0716	11302.1	1.6378	0.3%	28.6	0.022	19.5%	-21	13.5
r37b-s8	30000	0.0023	0.283	774	1.2046	11388.2	1.9302	0.3%	35.3	0.022	17.1%	-20.6	12.59
r37b-s9	5000	0.031	0.27	765	8.3486	71366.5	8.4824	0.3%	219.7	0.021	35.7%	-16.5	10.53
r37b-s9	15000	0.0154	0.292	1021	1.0289	8428.9	1.1539	0.4%	29.8	0.024	19.8%	-20.9	11.75
r37b-s9	30000	0.0147	0.262	1030	1.1274	10434.7	2.0879	0.3%	32.6	0.019	19.2%	-20.1	13.1
r37b-s10	5000	0.0269	0.298	321	2.5424	24165	2.6596	0.4%	84.8	0.025	29.7%	-18.5	12.54
r37b-s10	15000	0.0121	0.265	708	1.1647	11281.7	2.1807	0.3%	33.2	0.024	16.5%	-19.8	12.32
r37b-s10	30000	0.0051	0.277	944	1.2612	10416	1.8055	0.3%	33.9	0.038	13.8%	-21.6	14.36

## The same, run-wide: mean and maximum over every sample
arm	mean det patch sd	max det patch sd	at t	mean patch max share	max patch max share	mean corpses	max corpses	at t	mean det deep	max det deep
r37b-s6	0.0433	0.5726	400	0.282	0.422	837	2699	16300	2.975	12.898
r37b-s7	0.0376	0.2805	3500	0.286	0.475	1447	2337	15500	1.358	2.135
r37b-s8	0.0484	0.7064	4500	0.284	0.400	1080	2292	9300	1.585	7.495
r37b-s9	0.0490	1.4245	5800	0.286	0.414	1096	2613	10900	1.932	10.009
r37b-s10	0.0356	0.6838	3800	0.278	0.416	776	1681	10800	1.461	3.148

## comparison, round 37b seeds 1 to 5: mean det patch sd 0.0340 to 0.0577, mean patch max share 0.281 to 0.286 (0.25 is even), max 0.397 to 0.463; round 37 read det patch sd 0.08 to 1.31 and patch max share 0.45 to 0.98.
