## F3  cols and spreads from the positions reader (tank: the columns whose centres are inside the circle; 100 live columns), beside round 37b seeds 1 to 5
arm	t	reader n	reader cols	reader x sd	reader z sd	37b s1-s5 cols at t	37b s1-s5 x sd at t
r37b-s6	5000	1653	100/100	2.78	2.77	100/100 100/100 100/100 100/100 99/100	2.74 2.84 2.66 2.80 2.85
r37b-s6	15000	1617	100/100	2.71	2.81	100/100 100/100 100/100 100/100 100/100	2.79 2.84 2.79 2.75 2.90
r37b-s6	30000	1810	100/100	2.71	2.55	100/100 100/100 100/100 100/100 100/100	2.69 2.78 2.89 2.74 2.86
r37b-s7	5000	1091	100/100	2.70	2.82	100/100 100/100 100/100 100/100 99/100	2.74 2.84 2.66 2.80 2.85
r37b-s7	15000	1438	100/100	2.66	2.75	100/100 100/100 100/100 100/100 100/100	2.79 2.84 2.79 2.75 2.90
r37b-s7	30000	1585	100/100	2.72	2.73	100/100 100/100 100/100 100/100 100/100	2.69 2.78 2.89 2.74 2.86
r37b-s8	5000	1469	100/100	2.76	2.80	100/100 100/100 100/100 100/100 99/100	2.74 2.84 2.66 2.80 2.85
r37b-s8	15000	1714	100/100	2.76	2.72	100/100 100/100 100/100 100/100 100/100	2.79 2.84 2.79 2.75 2.90
r37b-s8	30000	1831	100/100	2.81	2.81	100/100 100/100 100/100 100/100 100/100	2.69 2.78 2.89 2.74 2.86
r37b-s9	5000	1349	100/100	2.71	2.77	100/100 100/100 100/100 100/100 99/100	2.74 2.84 2.66 2.80 2.85
r37b-s9	15000	1745	100/100	2.94	2.64	100/100 100/100 100/100 100/100 100/100	2.79 2.84 2.79 2.75 2.90
r37b-s9	30000	1722	100/100	2.74	2.82	100/100 100/100 100/100 100/100 100/100	2.69 2.78 2.89 2.74 2.86
r37b-s10	5000	1734	100/100	2.64	2.88	100/100 100/100 100/100 100/100 99/100	2.74 2.84 2.66 2.80 2.85
r37b-s10	15000	1820	100/100	2.65	2.85	100/100 100/100 100/100 100/100 100/100	2.79 2.84 2.79 2.75 2.90
r37b-s10	30000	1759	100/100	2.85	2.69	100/100 100/100 100/100 100/100 100/100	2.69 2.78 2.89 2.74 2.86

## F7  nearest-neighbour median, raw (the fresh seed at the anchor, beside round 36 seed by position -- a scale, NOT a matched pair)
arm	t	n	nn h	nn 3d	r36 arm	r36 n	r36 nn h	r36 nn 3d	n ratio	ratio nn 3d
r37b-s6	5000	1653	~0.10	~0.66	r36-s1	307	0.27	1.14	5.384	0.579
r37b-s6	30000	1810	~0.11	~0.73	r36-s1	1154	0.13	0.66	1.568	1.106
r37b-s7	5000	1091	0.14	0.79	r36-s2	1100	0.14	0.70	0.992	1.129
r37b-s7	30000	1585	~0.11	~0.74	r36-s2	1623	~0.11	~0.57	0.977	1.298
r37b-s8	5000	1469	~0.12	~0.74	r36-s3	786	0.17	0.82	1.869	0.902
r37b-s8	30000	1831	~0.11	~0.72	r36-s3	1342	~0.12	~0.63	1.364	1.143
r37b-s9	5000	1349	~0.12	~0.72	r36-s4	1352	~0.13	~0.73	0.998	0.986
r37b-s9	30000	1722	~0.11	~0.73	r36-s4	1329	~0.13	~0.70	1.296	1.043
r37b-s10	5000	1734	~0.11	~0.69	r36-s5	577	0.18	0.97	3.005	0.711
r37b-s10	30000	1759	~0.11	~0.74	r36-s5	1650	~0.11	~0.59	1.066	1.254

## F7  nearest-neighbour median at MATCHED abundance. The comparison is round 37b's seed whose `alive` at the anchor is nearest the fresh seed's (no round 36 seed 6 to 10 exists). An anchor counts as matched only when the two abundances are within 10%; the nearest is named either way. Round 37b seed 5 ends at 29,200 s, so its 30,000 s row is that sample (taken from r37b-read's summary, not recomputed).
arm	anchor t	n	nn h	nn 3d	comparison arm	comp t	comp n	comp nn h	comp nn 3d	n gap	matched	ratio nn h	ratio nn 3d	in 0.8-1.35
r37b-s6	5000	1653	~0.10	~0.66	r37b-s2	5000	1425	~0.12	~0.72	-0.138	no	0.833	0.917	yes
r37b-s6	15000	1617	~0.12	~0.78	r37b-s2	15000	1713	~0.11	~0.72	+0.059	yes	1.091	1.083	yes
r37b-s6	30000	1810	~0.11	~0.73	r37b-s4	30000	1782	~0.11	~0.74	-0.015	yes	1.000	0.986	yes
r37b-s7	5000	1091	0.14	0.79	r37b-s3	5000	1114	0.14	0.79	+0.021	yes	1.000	1.000	yes
r37b-s7	15000	1438	~0.12	~0.73	r37b-s2	15000	1713	~0.11	~0.72	+0.191	no	1.091	1.014	yes
r37b-s7	30000	1585	~0.11	~0.74	r37b-s1	30000	1674	~0.11	~0.70	+0.056	yes	1.000	1.057	yes
r37b-s8	5000	1469	~0.12	~0.74	r37b-s2	5000	1425	~0.12	~0.72	-0.030	yes	1.000	1.028	yes
r37b-s8	15000	1714	~0.11	~0.75	r37b-s5	15000	1714	~0.11	~0.75	+0.000	yes	1.000	1.000	yes
r37b-s8	30000	1831	~0.11	~0.72	r37b-s3	30000	1840	~0.11	~0.72	+0.005	yes	1.000	1.000	yes
r37b-s9	5000	1349	~0.12	~0.72	r37b-s2	5000	1425	~0.12	~0.72	+0.056	yes	1.000	1.000	yes
r37b-s9	15000	1745	~0.11	~0.68	r37b-s1	15000	1745	~0.11	~0.69	+0.000	yes	1.000	0.986	yes
r37b-s9	30000	1722	~0.11	~0.73	r37b-s2	30000	1735	~0.11	~0.74	+0.008	yes	1.000	0.986	yes
r37b-s10	5000	1734	~0.11	~0.69	r37b-s2	5000	1425	~0.12	~0.72	-0.178	no	0.917	0.958	yes
r37b-s10	15000	1820	~0.10	~0.69	r37b-s4	15000	1818	~0.11	~0.71	-0.001	yes	0.909	0.972	yes
r37b-s10	30000	1759	~0.11	~0.74	r37b-s5	29200	1764	~0.11	~0.72	+0.003	yes	1.000	1.028	yes

anchors matched within 10%	12 of 15	in 0.8-1.35	12
