## F2  p3 (the rim ring, a quarter of the disc by area) over alive
arm	t=5000 p3	alive	share	t=15000 p3	alive	share	t=30000 p3	alive	share	in band 15-40% at all three
r37b-s6	378	1653	0.229	348	1617	0.215	307	1811	0.170	yes
r37b-s7	221	1091	0.203	288	1438	0.200	300	1585	0.189	yes
r37b-s8	319	1470	0.217	356	1714	0.208	414	1831	0.226	yes
r37b-s9	264	1349	0.196	371	1745	0.213	413	1722	0.240	yes
r37b-s10	322	1734	0.186	401	1820	0.220	358	1759	0.204	yes
count	5 of 5	(holds at 4)

## F2  all four ring counts and shares at the three times
arm	t	alive	p0	p1	p2	p3	s0	s1	s2	s3	sum(p)-alive
r37b-s6	5000	1653	437	397	441	378	0.264	0.240	0.267	0.229	0
r37b-s6	15000	1617	432	421	416	348	0.267	0.260	0.257	0.215	0
r37b-s6	30000	1811	569	506	429	307	0.314	0.279	0.237	0.170	0
r37b-s7	5000	1091	260	294	316	221	0.238	0.269	0.290	0.203	0
r37b-s7	15000	1438	379	427	344	288	0.264	0.297	0.239	0.200	0
r37b-s7	30000	1585	433	408	444	300	0.273	0.257	0.280	0.189	0
r37b-s8	5000	1470	346	423	382	319	0.235	0.288	0.260	0.217	0
r37b-s8	15000	1714	456	470	432	356	0.266	0.274	0.252	0.208	0
r37b-s8	30000	1831	419	480	518	414	0.229	0.262	0.283	0.226	0
r37b-s9	5000	1349	357	364	364	264	0.265	0.270	0.270	0.196	0
r37b-s9	15000	1745	396	469	509	371	0.227	0.269	0.292	0.213	0
r37b-s9	30000	1722	452	410	447	413	0.262	0.238	0.260	0.240	0
r37b-s10	5000	1734	405	517	490	322	0.234	0.298	0.283	0.186	0
r37b-s10	15000	1820	483	463	473	401	0.265	0.254	0.260	0.220	0
r37b-s10	30000	1759	426	487	488	358	0.242	0.277	0.277	0.204	0

## F2  p3 share over the whole run: the extremes and how often outside the band
arm	samples	min share	at t	max share	at t	samples above 0.40	samples below 0.15	of those, samples below 0.15 at t<=4000
r37b-s6	300	0.065	100	0.281	4500	0	9	9
r37b-s7	300	0.064	500	0.278	29200	0	10	7
r37b-s8	300	0.025	200	0.277	2300	0	6	5
r37b-s9	300	0.000	100	0.273	19900	0	8	8
r37b-s10	300	0.049	100	0.270	1000	0	4	4

## F2  p3 share every 1000 s
t	r37b-s6	r37b-s7	r37b-s8	r37b-s9	r37b-s10
1000	0.170	0.124	0.170	0.201	0.270
2000	0.153	0.227	0.250	0.172	0.246
3000	0.250	0.229	0.199	0.211	0.199
4000	0.255	0.173	0.170	0.199	0.215
5000	0.229	0.203	0.217	0.196	0.186
6000	0.247	0.139	0.202	0.185	0.254
7000	0.219	0.199	0.217	0.210	0.254
8000	0.209	0.209	0.257	0.180	0.214
9000	0.252	0.207	0.191	0.218	0.224
10000	0.216	0.214	0.216	0.247	0.211
11000	0.213	0.217	0.197	0.188	0.220
12000	0.226	0.230	0.207	0.232	0.213
13000	0.214	0.212	0.218	0.176	0.215
14000	0.231	0.229	0.203	0.217	0.212
15000	0.215	0.200	0.208	0.213	0.220
16000	0.198	0.200	0.259	0.215	0.251
17000	0.201	0.265	0.240	0.174	0.217
18000	0.193	0.214	0.189	0.215	0.242
19000	0.217	0.259	0.250	0.231	0.252
20000	0.222	0.246	0.189	0.247	0.240
21000	0.210	0.206	0.225	0.224	0.233
22000	0.220	0.222	0.233	0.220	0.211
23000	0.222	0.222	0.204	0.208	0.212
24000	0.238	0.184	0.220	0.222	0.210
25000	0.197	0.187	0.207	0.232	0.218
26000	0.245	0.248	0.224	0.211	0.227
27000	0.211	0.210	0.213	0.192	0.262
28000	0.233	0.191	0.232	0.204	0.241
29000	0.235	0.169	0.216	0.227	0.207
30000	0.170	0.189	0.226	0.240	0.204

## comparison, round 37b seeds 1 to 5 (logbook/specs/r37b-read/p3-share.tsv): all fifteen readings 0.194 to 0.270, no sample above 0.40
