== r37b-s6  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	audit	mat resid	det patch sd	patch max share	corpses	det deep	absorpt	inherit	depth m	depth sd	jointed	shade %
  1000	317	91/100	0/100	2.90	73	91	99	54	108	0.0495	0	0	0	0	325	0.0000%	0	0.0754	0.312	83	1.4136	0	0	-10.2	6.26	119	31.2%
  2000	581	98/100	0/100	2.82	141	184	167	89	136	0.0756	0	0	0	0	767	0.0000%	0	0.2237	0.317	261	2.4679	0	0	-9.7	6.33	151	30.4%
  3000	1002	100/100	0/100	2.82	161	301	289	251	174	0.0556	0	0	0	1	1263	0.0000%	0	0.0021	0.3	336	3.9352	0	0	-9.1	5.85	190	34.3%
  4000	1393	100/100	1/100	2.91	338	339	361	355	156	0.0619	0	0	0	1	1720	0.0000%	0	0.0807	0.259	331	6.4946	1	0	-11.2	8.37	172	36.6%
  5000	1653	100/100	6/100	2.78	437	397	441	378	140	0.0935	0	0	0	2	2130	0.0000%	0	0.3702	0.267	348	10.9009	6	4	-13.5	10.64	155	36.3%
  6000	1775	100/100	38/100	2.81	411	417	509	438	140	0.0548	0	0	0	8	2451	0.0000%	0	0.2313	0.287	441	12.0187	47	42	-16.8	12.42	150	33.3%
  7000	1847	100/100	72/100	2.73	447	536	460	404	126	0.0835	0	0	0	15	2665	0.0000%	0	0.0257	0.29	508	12.09	150	145	-18.8	13.53	135	31.5%
  8000	1884	100/100	90/100	2.84	482	468	541	393	116	0.0958	0	0	0	35	2811	0.0000%	0	0.0223	0.287	466	10.9564	259	254	-20.2	13.7	123	29.1%
  9000	1901	100/100	97/100	2.84	412	471	539	479	103	0.0812	0	0	0	60	2927	0.0000%	0	0.0887	0.284	366	8.1462	349	344	-22	13.9	109	24.5%
  10000	1908	100/100	100/100	2.77	543	477	476	412	86	0.0814	0	0	0	81	3046	0.0000%	0	0.2462	0.285	329	4.1469	451	446	-23.2	14.77	91	23.1%
  11000	1906	100/100	99/100	2.85	527	474	499	406	72	0.0847	0	0	0	109	3153	0.0000%	0	0.0151	0.276	327	1.7756	542	537	-25.3	15.87	76	21.6%
  12000	1903	100/100	99/100	2.73	501	510	461	431	60	0.0844	0	0	0	129	3285	0.0000%	0	0.0229	0.268	364	1.0403	638	633	-25.9	16.04	63	19.7%
  13000	1892	100/100	99/100	2.68	501	469	517	405	55	0.0759	0	0	0	153	3422	0.0000%	0	0.003	0.273	400	0.4215	708	703	-26.5	16.69	57	19.2%
  14000	1753	100/100	100/100	2.85	415	484	449	405	49	0.0652	0	0	0	175	3956	0.0000%	0	0.0059	0.276	957	0.2812	602	597	-25.3	16.32	51	18%
  15000	1617	100/100	99/100	2.71	432	421	416	348	49	0.0733	0	0	0	197	5046	0.0000%	0	0.0057	0.267	2052	0.4349	523	518	-23.7	15.52	50	16.2%
  16000	1721	100/100	98/100	2.70	482	468	431	340	27	0.098	0	0	0	216	5898	0.0000%	0	0.0048	0.28	2642	0.5615	482	478	-23.4	13.16	28	15.3%
  17000	1772	100/100	96/100	2.73	496	480	440	356	24	0.0603	0	0	0	230	6464	0.0000%	0	0.0018	0.28	2480	0.578	444	439	-23	12.39	24	15.6%
  18000	1784	100/100	96/100	2.76	461	483	495	345	21	0.0982	0	0	0	248	6873	0.0000%	0	0.0129	0.277	1677	0.5982	394	389	-21.8	12.81	21	15.5%
  19000	1748	100/100	96/100	2.67	468	478	422	380	25	0.099	0	0	0	268	7237	0.0000%	0	0.0173	0.273	1304	0.5946	311	306	-20.9	12.87	26	15.4%
  20000	1808	100/100	88/100	2.81	414	497	495	402	37	0.0806	0	0	0	288	7593	0.0000%	0	0.022	0.275	1090	0.7486	262	258	-21.6	12.7	38	14.9%
  21000	1778	100/100	86/100	2.83	443	468	493	374	23	0.0721	0	0	0	307	7877	0.0000%	0	0.001	0.277	1004	0.8203	215	211	-21.4	13.19	24	15.1%
  22000	1758	100/100	71/100	2.76	430	460	482	386	35	0.0775	0	0	0	329	8155	0.0000%	0	0.008	0.274	905	0.9659	187	183	-22.1	13.71	37	16%
  23000	1776	100/100	79/100	2.85	413	477	491	395	41	0.0706	0	0	0	343	8447	0.0000%	0	0.0367	0.276	886	1.0466	184	181	-21.7	14.56	41	17.6%
  24000	1793	100/100	75/100	2.69	456	447	464	426	40	0.072	0	0	0	357	8729	0.0000%	0	0.0058	0.259	835	0.9834	150	147	-20.9	13.85	40	16.1%
  25000	1811	100/100	70/100	2.71	524	516	415	356	35	0.0733	0	0	0	368	9034	0.0000%	0	0.001	0.289	822	1.1447	122	119	-22.3	13.87	35	16%
  26000	1844	100/100	69/100	2.84	396	483	513	452	32	0.0976	0	0	0	386	9350	0.0000%	0	0.0055	0.278	830	1.3593	110	107	-23.1	13.95	32	16.3%
  27000	1837	100/100	63/100	2.68	520	497	432	388	27	0.0866	0	0	0	400	9643	0.0000%	0	0.0077	0.283	866	1.5102	109	106	-22.2	13.41	27	15.3%
  28000	1819	100/100	68/100	2.70	438	475	483	423	24	0.0702	0	0	0	417	9913	0.0000%	0	0.0787	0.266	867	1.617	123	120	-21.9	13.89	24	14.4%
  29000	1821	100/100	66/100	2.92	419	475	499	428	16	0.1098	0	0	0	429	10188	0.0000%	0	0.0172	0.274	857	1.1729	126	124	-20.6	12.92	17	14%
  30000	1811	100/100	71/100	2.71	569	506	429	307	14	0.1011	0	0	0	439	10444	0.0000%	0	0.0054	0.314	825	1.0392	126	124	-22	13.7	15	14.2%
== r37b-s7  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	audit	mat resid	det patch sd	patch max share	corpses	det deep	absorpt	inherit	depth m	depth sd	jointed	shade %
  1000	283	86/100	1/100	2.32	88	85	75	35	90	0.0613	0	0	0	0	296	0.0000%	0	0.0338	0.311	113	1.3789	1	0	-11.2	8.11	97	33.8%
  2000	529	96/100	84/100	2.77	97	158	154	120	74	0.0616	0	0	0	0	750	0.0000%	0	0.0149	0.299	321	1.6543	183	181	-14.3	9.75	84	37.1%
  3000	803	100/100	94/100	2.74	186	223	210	184	72	0.0789	0	0	0	0	1273	0.0000%	0	0.0654	0.278	570	1.7131	329	327	-15.9	10.73	78	35.6%
  4000	994	100/100	88/100	2.58	311	267	244	172	69	0.078	0	0	0	0	2158	0.0000%	0	0.0159	0.313	1173	1.0018	261	261	-15.7	10.19	77	32.6%
  5000	1091	100/100	78/100	2.70	260	294	316	221	49	0.0699	0	0	0	0	2949	0.0000%	0	0.0079	0.29	1692	1.2207	173	173	-16.1	10.22	52	33.3%
