## M7  local extrema of alive over t >= 5000 (a sample extreme in its +-1500 s window)
seed	kind	t	alive	p3 share	depth m	jnt inh	shade %
1	trough	5000	988	0.195	-16.9	31	38.4%
1	peak	15600	1751	0.239	-20.8	0	21.1%
1	trough	20900	1605	0.182	-18.6	0	20.7%
1	peak	24500	1770	0.264	-19.8	0	19.8%
1	trough	28100	1670	0.202	-19.1	0	17.5%
1	peak	29300	1715	0.252	-18.9	0	18%
1	trough	30000	1674	0.223	-18.7	0	17.9%
2	trough	5000	1425	0.227	-16.6	57	32.6%
2	trough	8600	1624	0.187	-18.6	21	26.2%
2	peak	11300	1827	0.192	-24.1	11	25.5%
2	trough	13900	1652	0.214	-22.9	3	19.1%
2	peak	15300	1746	0.215	-22.5	2	18.5%
2	trough	18000	1628	0.193	-22.4	1	16.7%
2	trough	19700	1622	0.232	-21.8	0	18.7%
2	peak	24900	1822	0.206	-20.4	0	18.6%
2	trough	27500	1702	0.233	-21.3	0	17.5%
2	peak	29300	1760	0.250	-22.8	0	17.8%
2	trough	29800	1721	0.215	-22.2	0	18%
3	trough	5000	1114	0.240	-15	178	35.3%
3	peak	11000	1839	0.272	-20	79	17.7%
3	trough	13100	1762	0.224	-21	58	15.9%
3	peak	13800	1808	0.239	-20.7	51	15.6%
3	trough	17100	1735	0.202	-20.9	35	15%
3	peak	20900	1849	0.201	-21.8	18	14.9%
3	trough	22500	1785	0.218	-22.1	14	13.9%
3	peak	22900	1822	0.240	-22.1	13	14%
3	peak	25200	1797	0.261	-23.3	15	13.9%
3	trough	26200	1738	0.243	-23	10	14%
3	peak	29900	1840	0.229	-20.3	8	14.1%
4	trough	5000	1006	0.220	-16.3	151	44.6%
4	peak	7700	1695	0.189	-23.2	121	35.1%
4	trough	9600	1416	0.227	-17.4	162	26.7%
4	peak	15500	1822	0.239	-22.4	62	18.5%
4	peak	17600	1814	0.198	-23.3	24	16.7%
4	trough	19200	1734	0.217	-22	37	16.6%
4	peak	23700	1857	0.236	-21.4	41	17.6%
4	peak	25300	1858	0.194	-21.9	44	16.7%
4	trough	29000	1750	0.182	-23.8	55	15.6%
5	trough	5000	771	0.270	-11.9	244	32.7%
5	peak	10300	1748	0.217	-20	250	17.9%
5	trough	13400	1579	0.203	-21.2	241	16.1%
5	peak	18100	1776	0.219	-20.8	169	15.5%
5	peak	21500	1735	0.213	-21	168	15.7%
5	trough	22500	1674	0.205	-19.5	180	15.1%
5	peak	27700	1811	0.244	-20.3	132	14.5%
5	trough	29200	1764	0.232	-20.9	102	13.6%

## M7  peak-to-trough amplitude over t >= 5000
round	seed	min alive	at t	max alive	at t	max/min	below 2.5
r37b	1	988	5000	1770	24500	1.79	yes
r37b	2	1425	5000	1827	11300	1.28	yes
r37b	3	1114	5000	1849	20900	1.66	yes
r37b	4	1006	5000	1858	25300	1.85	yes
r37b	5	771	5000	1811	27700	2.35	yes
r37	1	436	9000	1671	16100	3.83	no
r37	2	564	9100	1868	15400	3.31	no
r37	3	286	7100	1556	24900	5.44	no
r37	4	980	9900	1894	24600	1.93	yes
r37	5	570	5200	1844	10800	3.24	no
r36	1	287	5100	1155	29900	4.02	no
r36	2	1100	5000	1668	20500	1.52	yes
r36	3	787	5000	1367	28100	1.74	yes
r36	4	1292	11700	1419	7000	1.10	yes
r36	5	577	5000	1708	27200	2.96	no
