arm	id	t	age	jointed	parts	dof	masses	ratio	stepsSinceResize	rootY	lastObservedY	rootRadius	withinMetreOfGlass	outsideGlass	trace	traceFinitePositionFrames	traceMaxFiniteLinkSpeed	reason
r37b-s3	8778	24289	0	True	2	1	0.937|0.955	1.01976216	-1	-25.0977516	-25.0977516	4.935826418272224	True	False	yes	0		
r37b-s4	3680	7819	0	True	2	2	1.136|0.801	1.41845584	-1	-40.9395943	-40.9395943	3.4780778604581015	False	False	yes	0		
r37b-s4	3761	7966	0.5	True	2	2	1.087|0.850	1.27875185	-1	-38.68512	-38.6932068	4.73654255701055	True	False	yes	0		
r37b-s4	3775	7983.5	0	True	2	2	1.030|0.907	1.13529277	-1	-39.09905	-39.08291	4.919506432779257	True	False	yes	0		
r37b-s4	3792	8011	0	True	2	2	1.108|0.829	1.33765554	-1	-38.2949524	-38.2949524	4.4057924370659	False	False	yes	0		
r37b-s4	702	2974.5	653	True	2	2	1.794|0.755	2.374657	-1	59.97353	59.99182	4.412907932529654	False	False	yes	3	5.645340365033099	
r37b-s5	10004	24514.5	2.5	True	2	1	1.310|0.902	1.45204806	-1	-25.938652	-25.8949451	5.187850894025384	True	False	yes	0		
r37b-s5	10005	24517.5	0.5	True	2	1	1.356|0.856	1.58423579	-1	-25.8990345	-25.8723259	2.0891214218978282	False	False	yes	0		
r37b-s5	10061	24709	0.5	True	2	1	1.275|1.273	1.00147164	-1	-24.9837341	-24.982151	1.5305537319210807	False	False	yes	0		
r37b-s5	1023	4759	1237	True	2	1	1.393|0.880	1.58398366	-1	-15.4468346	-15.46224	5.530849458579904	True	False	yes	0		
r37b-s5	11028	27777.5	0.5	True	2	1	1.341|0.813	1.6495378	-1	-40.5171928	-40.51027	3.7622246065206673	False	False	yes	0		
r37b-s5	11036	27807	0.5	True	2	1	1.208|0.946	1.27786875	-1	-42.76314	-42.7568321	3.3646277899977446	False	False	yes	0		
r37b-s5	11042	27823	0.5	True	2	1	1.320|0.834	1.58362448	-1	-43.98491	-43.9796066	0.163283875251804	False	False	yes	0		
r37b-s5	11046	27837.5	0.5	True	2	1	1.341|0.813	1.6495378	-1	-45.1169548	-45.11086	3.6318861434911716	False	False	yes	0		
r37b-s5	11047	27839.5	0	True	2	1	1.115|0.807	1.38159525	-1	-39.1835976	-39.1835976	2.3323770141851896	False	False	yes	0		
r37b-s5	11357	28699	8.5	True	2	1	1.092|0.781	1.397184	-1	-38.2109566	-38.21873	3.135543895045149	False	False	yes	0		
r37b-s5	11380	28744.5	0.5	True	2	1	0.989|0.884	1.11917174	-1	-38.652195	-38.6481552	3.611050981210538	False	False	yes	0		
r37b-s5	2366	6115	0.5	True	2	1	1.249|0.934	1.33704829	-1	-21.64964	-21.6445427	0.9301653196522773	False	False	yes	0		
r37b-s5	3060	7463.5	0.5	True	2	1	1.088|0.791	1.37486875	-1	-35.666008	-35.6345978	0.8846699942387979	False	False	yes	0		
r37b-s5	3280	7925.5	0.5	True	2	1	0.831|0.751	1.10662639	-1	-30.600462	-30.5890656	3.770382919106997	False	False	yes	0		
r37b-s5	3286	7940	0.5	True	2	1	0.901|0.818	1.1022507	50	-31.9203224	-31.9187431	2.402335677864253	False	False	yes	0		
r37b-s5	3299	7970.5	0	True	2	1	0.825|0.756	1.091691	-1	-35.0096	-35.0062675	5.287770797468528	True	False	yes	0		
r37b-s5	3316	8004.5	0.5	True	2	1	0.825|0.756	1.09105134	-1	-35.4562	-35.4472847	2.3596096183380966	False	False	yes	0		
r37b-s5	3324	8023	0.5	True	2	1	0.817|0.764	1.06948256	-1	-37.2191	-37.2048035	4.803964682014777	True	False	yes	0		
r37b-s5	3330	8035	1.5	True	2	1	0.900|0.809	1.11302173	-1	-30.7081623	-30.70127	2.8117410927380604	False	False	yes	0		
r37b-s5	5657	13093	1.5	True	2	1	0.911|0.852	1.06924117	-1	-32.1660767	-32.1643639	1.2695018888289875	False	False	yes	0		
r37b-s5	6571	15109.5	0.5	True	2	1	1.114|1.460	1.31091189	-1	-27.4994545	-27.49403	0.1882881212939345	False	False	yes	0		
r37b-s5	6731	15628	0.5	True	2	1	1.188|1.050	1.13190949	-1	-26.1417656	-26.1382275	4.46667941537088	False	False	yes	0	5.526622464905538e+22	
r37b-s5	6864	16032	0.5	True	2	1	1.225|1.011	1.21204281	-1	-25.2742138	-25.2681541	1.1141994448717354	False	False	yes	0		
r37b-s5	6866	16033.5	0.5	True	2	1	1.074|0.830	1.29387963	-1	-30.1252041	-30.1154957	1.7856566961849527	False	False	yes	0		
r37b-s5	6922	16192.5	0.5	True	2	1	1.205|0.993	1.21313834	-1	-30.0994148	-30.0710564	4.111981597882804	False	False	yes	0		
r37b-s5	6924	16196.5	0.5	True	2	1	1.273|0.925	1.3757652	-1	-30.2649441	-30.2377434	4.296250904675985	False	False	yes	0		
r37b-s5	8340	19785	0.5	True	2	1	0.846|0.761	1.11228144	-1	-32.8241653	-32.8204651	2.41677257025335	False	False	yes	0		
r37b-s5	8437	20019	0.5	True	2	1	0.986|0.863	1.14233	-1	-30.1807384	-30.1736984	4.977116091667138	True	False	yes	0		
r37b-s5	8934	21215	2.5	True	2	1	1.322|0.882	1.49870348	-1	-25.6084785	-25.57036	3.304328710016488	False	False	yes	0		
r37b-s5	8951	21262.5	2.5	True	2	1	1.294|0.913	1.41704452	-1	-26.11666	-26.1407547	0.9890738639071194	False	False	yes	0		
r37b-s5	9153	21842	1	True	2	1	1.110|0.867	1.28055441	-1	-20.8641224	-20.8579826	4.837280435720336	True	False	yes	0		
r37b-s5	923	3316	3	True	2	1	1.107|0.754	1.46797013	-1	-5.70342445	-5.66476774	3.1423360930389213	False	False	yes	0		
r37b-s5	9264	22183	0.5	True	2	1	1.257|0.932	1.34885824	-1	-22.019968	-21.9884739	3.2752056248569748	False	False	yes	0		
r37b-s5	9479	22851	0.5	True	2	1	1.125|0.786	1.43100357	-1	-16.5576649	-16.5574131	4.7478944701584345	True	False	yes	0		
r37b-s5	9926	24268	0.5	True	2	1	1.057|0.755	1.40063357	-1	-21.798481	-21.7769642	5.302023027687993	True	False	yes	0		
r37b-s5	9942	24326.5	0.5	True	2	1	0.875|0.937	1.07063842	-1	-21.40186	-21.3728981	2.9068846283009266	False	False	yes	0		
r37b-s5	9951	24358.5	0.5	True	2	1	1.053|0.759	1.38635147	-1	-22.94861	-22.9292336	4.979771164610796	True	False	yes	0		
