## Radial drift, r37b: for every body present in two consecutive samples (100 s apart), the change in its distance from the axis, binned by the starting radius. Positive is outward. Averaged over the whole run.
 The fully-mixed bound is what a body starting in the bin would drift if its place 100 s later were drawn from the whole crowd (the sample's own mean r, less r0): a stationary disc CANNOT read zero in a bin away from the mean radius, so the bound, not zero, is what a well-mixed world looks like in this statistic. "all radii pooled" is the net flux and is zero at a stationary distribution.
arm	r bin (m)	body pairs	mean dr (m per 100 s)	median dr	share moving outward	fully-mixed bound	observed / bound
r37b-s1	0.00-1.00	10526	3.3587	3.7233	0.986	3.0381	1.106
r37b-s1	1.00-2.00	37662	2.1945	2.3906	0.929	2.1552	1.018
r37b-s1	2.00-3.00	66827	1.0670	1.1136	0.782	1.1839	0.901
r37b-s1	3.00-4.00	94317	0.1093	0.2200	0.570	0.1953	0.560
r37b-s1	4.00-5.00	119975	-0.7460	-0.4472	0.336	-0.7931	0.941
r37b-s1	5.00-5.64	74856	-1.4539	-1.0566	0.145	-1.5574	0.934
r37b-s1	all radii pooled	404163	0.0032	0.0024	0.501	0.0000	-
r37b-s2	0.00-1.00	11385	3.4579	3.8605	0.989	3.0258	1.143
r37b-s2	1.00-2.00	42016	2.2592	2.4917	0.935	2.1441	1.054
r37b-s2	2.00-3.00	74967	1.0870	1.1394	0.787	1.1727	0.927
r37b-s2	3.00-4.00	106308	0.0971	0.1946	0.563	0.1873	0.518
r37b-s2	4.00-5.00	133354	-0.7789	-0.4963	0.329	-0.8031	0.970
r37b-s2	5.00-5.64	80761	-1.4993	-1.1219	0.135	-1.5609	0.961
r37b-s2	all radii pooled	448791	0.0025	-0.0010	0.500	0.0000	-
r37b-s3	0.00-1.00	12074	3.4226	3.8182	0.986	3.0371	1.127
r37b-s3	1.00-2.00	42117	2.2406	2.4664	0.933	2.1493	1.042
r37b-s3	2.00-3.00	74530	1.0844	1.1476	0.786	1.1809	0.918
r37b-s3	3.00-4.00	105395	0.1021	0.2053	0.566	0.1924	0.531
r37b-s3	4.00-5.00	133640	-0.7698	-0.4632	0.335	-0.7974	0.965
r37b-s3	5.00-5.64	82786	-1.4858	-1.1023	0.138	-1.5609	0.952
r37b-s3	all radii pooled	450542	0.0031	0.0018	0.501	0.0000	-
