## M6  divergences and the exposure that produced them
round	seed	samples	interval s	sum jnt inh	jnt-inh body-s	sum jointed	jointed body-s	diverged	per 1e6 jnt-inh body-s	per 1e6 jointed body-s
r37b	1	300	100	2955	295500	3136	313600	0	0.00	0.00
r37b	2	300	100	6527	652700	6801	680100	0	0.00	0.00
r37b	3	300	100	20220	2022000	23738	2373800	1	0.49	0.42
r37b	4	300	100	23712	2371200	24842	2484200	5	2.11	2.01
r37b	5	292	100	57920	5792000	59412	5941200	37	6.39	6.23
r37	1	300	100	5330	533000	5544	554400	0	0.00	0.00
r37	2	300	100	26521	2652100	26812	2681200	0	0.00	0.00
r37	3	300	100	34328	3432800	35665	3566500	0	0.00	0.00
r37	4	300	100	17297	1729700	18299	1829900	0	0.00	0.00
r37	5	300	100	8258	825800	8592	859200	0	0.00	0.00
r36	1	300	100	36953	3695300	37671	3767100	33	8.93	8.76
r36	2	300	100	9752	975200	10954	1095400	55	56.40	50.21
r36	3	300	100	10007	1000700	12002	1200200	20	19.99	16.66
r36	4	300	100	4641	464100	4972	497200	6	12.93	12.07
r36	5	300	100	7785	778500	8073	807300	17	21.84	21.06

round	all five seeds: jnt-inh body-s	jointed body-s	diverged	per 1e6 jnt-inh	per 1e6 jointed
r37b	11133400	11792900	43	3.86	3.65
r37	9173400	9491200	0	0.00	0.00
r36	6913800	7367200	131	18.95	17.78
