## M1  p3 (the rim ring, a quarter of the disc by area) over alive
seed	t=5000 p3	alive	share	t=15000 p3	alive	share	t=30000 p3	alive	share	in band 15-40% at all three
1	193	988	0.195	433	1745	0.248	374	1674	0.223	yes
2	324	1425	0.227	380	1714	0.222	415	1735	0.239	yes
3	267	1114	0.240	343	1764	0.194	432	1840	0.235	yes
4	221	1006	0.220	401	1819	0.220	397	1782	0.223	yes
5	208	771	0.270	377	1714	0.220	409	1764	0.232	yes  (t=30000 read at 29200 s)

## M1  all four ring counts and shares at the three times
seed	t	alive	p0	p1	p2	p3	s0	s1	s2	s3	sum(p)-alive
1	5000	988	275	267	253	193	0.278	0.270	0.256	0.195	0
1	15000	1745	377	443	492	433	0.216	0.254	0.282	0.248	0
1	30000	1674	483	431	386	374	0.289	0.257	0.231	0.223	0
2	5000	1425	349	395	357	324	0.245	0.277	0.251	0.227	0
2	15000	1714	421	439	474	380	0.246	0.256	0.277	0.222	0
2	30000	1735	412	450	458	415	0.237	0.259	0.264	0.239	0
3	5000	1114	258	305	284	267	0.232	0.274	0.255	0.240	0
3	15000	1764	486	467	468	343	0.276	0.265	0.265	0.194	0
3	30000	1840	379	482	547	432	0.206	0.262	0.297	0.235	0
4	5000	1006	264	256	265	221	0.262	0.254	0.263	0.220	0
4	15000	1819	455	511	452	401	0.250	0.281	0.248	0.220	0
4	30000	1782	470	476	439	397	0.264	0.267	0.246	0.223	0
5	5000	771	192	163	208	208	0.249	0.211	0.270	0.270	0
5	15000	1714	425	453	459	377	0.248	0.264	0.268	0.220	0
5	29200	1764	404	472	479	409	0.229	0.268	0.272	0.232	0

## M1  p3 share every 1000 s (blank where the run had ended)
t	s1	s2	s3	s4	s5
1000	0.060	0.252	0.099	0.248	0.209
2000	0.137	0.149	0.199	0.163	0.167
3000	0.197	0.268	0.193	0.221	0.170
4000	0.235	0.135	0.189	0.204	0.159
5000	0.195	0.227	0.240	0.220	0.270
6000	0.231	0.202	0.183	0.260	0.212
7000	0.191	0.215	0.218	0.199	0.197
8000	0.207	0.218	0.244	0.216	0.218
9000	0.197	0.184	0.256	0.208	0.223
10000	0.219	0.263	0.238	0.169	0.240
11000	0.204	0.235	0.272	0.193	0.246
12000	0.258	0.230	0.184	0.251	0.228
13000	0.253	0.201	0.216	0.239	0.217
14000	0.206	0.253	0.203	0.248	0.236
15000	0.248	0.222	0.194	0.220	0.220
16000	0.216	0.203	0.239	0.226	0.213
17000	0.234	0.247	0.204	0.237	0.254
18000	0.196	0.193	0.227	0.206	0.192
19000	0.176	0.232	0.241	0.178	0.261
20000	0.183	0.243	0.213	0.210	0.245
21000	0.188	0.238	0.211	0.231	0.213
22000	0.255	0.222	0.216	0.254	0.206
23000	0.266	0.193	0.218	0.234	0.193
24000	0.233	0.197	0.206	0.218	0.201
25000	0.239	0.224	0.253	0.232	0.238
26000	0.240	0.188	0.218	0.224	0.241
27000	0.215	0.196	0.249	0.207	0.209
28000	0.199	0.242	0.222	0.197	0.231
29000	0.264	0.204	0.205	0.182	0.230
30000	0.223	0.239	0.235	0.223	

## M1 control  r37 p3 share at the three times
seed	t=5000	t=15000	t=30000
1	0.582	0.960	0.877
2	0.893	0.811	0.717
3	0.715	0.453	0.718
4	0.945	0.629	0.980
5	0.716	0.829	0.558
