arm r37b-s2 | run 2026-09-13-001415-2430e660 | tank r=5.64 m (100 m2), 60 m deep, 4 ring(s)
columns of 1 m: 100 | lineage.jsonl: 13009 births, 82 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     40    34/100    2.65    2.16     0.74     2.25     27   -15.08      7   -31.51      0        -      3    -2.38      3   -31.53         0       18   -19.44   -17.24
    200.0     45    35/100    2.64    2.36     0.49     1.94     41    -7.72      1   -43.13      0        -      3    -2.42      0        -         2       18    -9.93    -6.97
    300.0     59    39/100    2.74    2.47     0.56     1.74     54    -8.36      2   -21.89      0        -      3    -1.51      0        -         8       22   -10.79    -7.09
    400.0     68    42/100    2.79    2.73     0.47     1.54     64    -7.24      1    -5.68      0        -      3    -1.35      0        -         5       23    -9.97    -5.42
    500.0     80    56/100    2.73    2.49     0.49     1.47     75    -7.28      1    -5.80      0        -      4    -1.25      0        -        16       27    -9.81    -5.51
    600.0     93    54/100    2.76    2.76     0.40     1.28     85    -7.75      1    -7.17      0        -      7    -0.98      0        -        14       31    -9.53    -6.08
    700.0    102    54/100    3.03    2.70     0.39     1.23     93    -8.09      1    -8.38      0        -      8    -1.13      0        -        13       38    -9.50    -6.39
    800.0    116    63/100    2.81    2.69     0.42     1.29    103    -7.85      1    -6.74      0        -     12    -1.16      0        -        14       45    -8.22    -6.48
    900.0    132    62/100    2.66    2.96     0.36     1.22    115    -8.84      1    -7.35      0        -     16    -1.44      0        -        10       55    -8.65    -7.42
   1000.0    147    68/100    2.74    3.15     0.34     1.25    129    -9.53      1    -8.40      0        -     17    -1.71      0        -        15       64    -8.96    -8.34
   1100.0    166    72/100    2.59    2.88     0.30     1.11    144    -9.12      1   -21.80      0        -     21    -1.99      0        -        16       76    -7.99    -8.55
   1200.0    185    86/100    2.85    2.70     0.36     1.19    160    -8.98      0        -      0        -     24    -3.22      1    -0.72         9       83    -7.44    -8.80
   1300.0    206    80/100    2.76    2.91     0.33     1.13    175    -9.29      0        -      0        -     30    -3.79      1    -0.76        21       97    -8.21    -8.67
   1400.0    221    87/100    2.54    2.54     0.29     1.07    186    -9.53      0        -      0        -     33    -4.86      2    -5.59        23      105    -8.76    -8.83
   1500.0    240    88/100    2.65    2.81     0.30     1.07    204   -11.05      0        -      0        -     34    -4.97      2    -5.13        20      109    -9.37   -10.77
   1600.0    248    90/100    2.94    2.64     0.28     1.11    212   -10.96      0        -      0        -     34    -4.96      2    -3.26        33      111    -9.60   -10.46
   1700.0    272    84/100    2.82    2.31     0.24     1.06    236   -11.33      0        -      0        -     35    -4.80      1    -6.92        41      113    -9.46   -11.19
   1800.0    290    87/100    2.96    2.32     0.25     0.99    253   -10.63      0        -      0        -     36    -5.03      1    -8.43        52      117    -8.97   -10.57
   1900.0    326    93/100    2.83    2.45     0.24     0.99    284   -10.36      0        -      0        -     41    -7.25      1    -8.57        52      124    -9.32   -10.36
   2000.0    362    93/100    2.79    2.54     0.23     0.94    315   -10.34      0        -      0        -     45    -8.67      2   -11.94        70      133   -10.29   -10.06
   2100.0    396    95/100    2.78    2.68     0.21     0.96    343   -10.77      0        -      0        -     51    -8.54      2   -12.04        74      140   -10.55   -10.45
   2200.0    428    93/100    2.63    2.72     0.22     0.95    380   -11.10      0        -      0        -     48    -8.67      0        -        79      143   -11.09   -10.70
   2300.0    471    98/100    2.89    2.73     0.20     0.95    425   -10.87      0        -      0        -     46    -8.59      0        -       109      148   -11.57   -10.23
   2400.0    506    99/100    3.01    2.65     0.19     0.95    457   -11.60      0        -      0        -     47   -10.89      2   -16.52       132      143   -12.39   -11.23
   2500.0    547    99/100    2.83    2.72     0.19     0.87    503   -11.93      0        -      0        -     42   -10.42      2   -17.62       167      137   -12.21   -11.71
   2600.0    599   100/100    2.65    2.76     0.18     0.85    553   -11.82      0        -      0        -     44   -10.56      2   -13.52       183      139   -11.36   -11.84
   2700.0    646    98/100    2.78    2.89     0.16     0.84    594   -12.06      0        -      0        -     49   -11.95      3   -14.91       229      145   -12.27   -12.01
   2800.0    676    99/100    2.68    2.98     0.17     0.80    627   -13.51      0        -      0        -     45   -13.10      4   -17.32       245      140   -13.42   -13.52
   2900.0    710    99/100    2.66    2.75     0.16     0.81    662   -13.51      0        -      0        -     44   -13.65      4   -16.92       281      134   -13.25   -13.61
   3000.0    763   100/100    2.93    2.74     0.17     0.88    716   -13.81      0        -      0        -     42   -15.33      5   -13.82       290      131   -12.88   -14.10
   3100.0    811    99/100    2.88    2.86     0.16     0.82    768   -14.37      0        -      0        -     39   -15.73      4   -13.56       341      127   -13.59   -14.58
