## M0  alive at 30,000 s, round 37b against round 37, same seed
seed	r37b t	r37b alive	r37 alive	ratio	holds 0.5-1.5	note
1	30000	1674	682	2.455	FAILS	
2	30000	1735	1557	1.114	holds	
3	30000	1840	925	1.989	FAILS	
4	30000	1782	1660	1.073	holds	
5	29200	1764	1831	0.963	holds	censored at 29200 s

## M2  report cols (corrected count) and x sd
seed	t=5000 cols	cols abs	x sd	t=15000 cols	cols abs	x sd	t=30000 cols	cols abs	x sd	cols>=60 at all three	x sd in 2.0-3.4 at all three
1	100/100	99/100	2.74	100/100	32/100	2.79	100/100	54/100	2.69	yes	yes
2	100/100	0/100	2.84	100/100	93/100	2.84	100/100	74/100	2.78	yes	yes
3	100/100	92/100	2.66	100/100	49/100	2.79	100/100	24/100	2.89	yes	yes
4	100/100	39/100	2.80	100/100	78/100	2.75	100/100	50/100	2.74	yes	yes
5	99/100	41/100	2.85	100/100	76/100	2.90	100/100	51/100	2.86	yes	yes

## M2  cols from 5,000 s onward: minimum, and any sample over 100
arm	samples t>=5000	min cols	min at t	samples over 100	min x sd	max x sd	mean x sd
r37b-s1	251	98/100	7600	0	2.52	3.02	2.76
r37b-s2	251	98/100	5500	0	2.48	3.03	2.75
r37b-s3	251	99/100	5500	0	2.48	2.98	2.77
r37b-s4	251	99/100	5400	0	2.60	3.00	2.77
r37b-s5	243	99/100	5000	0	2.60	2.99	2.79

## M4  inherited jointed bodies at 30,000 s (seed 5 at 29,200 s)
seed	t	r37b jnt inh	r37b jointed	r37 jnt inh	r37 jointed	>=10
1	30000	0	0	0	0	no
2	30000	0	0	3	3	no
3	30000	8	14	148	148	no
4	30000	38	38	0	1	yes
5	29200	102	106	0	0	yes

## M4  the joint over the run
arm	peak jnt inh	at t	last t with jnt inh>=10	peak jointed	at t
r37b-s1	79	1900	6800	81	1900
r37-s1	96	3200	8400	98	3200
r37b-s2	144	2300	12000	148	2300
r37-s2	295	2600	27300	299	2600
r37b-s3	202	4400	26300	219	4400
r37-s3	253	19600	30000	255	19600
r37b-s4	177	9700	30000	180	9700
r37-s4	202	9600	25600	202	9600
r37b-s5	355	6900	29200	365	7000
r37-s5	137	1800	14100	139	1800

## M5  mean m/s against round 36, same seed (the column reads the water, not locomotion)
seed	t	r37b	r36	ratio	holds 0.7-1.3
1	5000	0.0671	0.0786	0.854	holds
1	30000	0.0881	0.0811	1.086	holds
2	5000	0.0888	0.0884	1.005	holds
2	30000	0.0758	0.0852	0.890	holds
3	5000	0.0741	0.0795	0.932	holds
3	30000	0.1035	0.0838	1.235	holds
4	5000	0.1031	0.0852	1.210	holds
4	30000	0.0765	0.0838	0.913	holds
5	5000	0.0705	0.0868	0.812	holds
5	29200	0.0728	0.0853	0.853	holds

## M5  run means over every sample
seed	r37b mean	r36 mean	ratio	r37 mean	r37b/r37
1	0.0766	0.0790	0.970	0.0542	1.412
2	0.0798	0.0838	0.952	0.0592	1.348
3	0.0790	0.0812	0.974	0.0567	1.393
4	0.0805	0.0830	0.969	0.0584	1.378
5	0.0793	0.0838	0.946	0.0569	1.395

## Verification (0095 V1 to V5)
arm	rows	last t	status	audit != 0.0000%	mat resid != 0	wraps != 0	mat orphan max	stillb at end	crowded at end
r37b-s1	300	30000	ended	0	0	0	0	12	0
r37b-s2	300	30000	ended	0	0	0	0	196	0
r37b-s3	300	30000	ended	0	0	0	0	449	0
r37b-s4	300	30000	ended	0	0	0	0	201	0
r37b-s5	292	29200	stopped	0	0	0	0	181	0
