== r37b-s1  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	jnt inh	mean m/s	diverged	wraps	crowded	stillb	audit	mat resid	det patch sd	patch max share	corpses	det deep	absorpt	inherit	depth m	depth sd	jointed	shade %
  1000	117	69/100	2/100	2.42	34	39	37	7	62	0.0737	0	0	0	0	0.0000%	0	0.0417	0.333	124	1.6677	2	0	-8.3	4.08	67	23.7%
  2000	175	79/100	2/100	2.68	50	60	41	24	77	0.0771	0	0	0	0	0.0000%	0	0.011	0.343	162	1.9325	2	0	-8.1	4.7	79	31.2%
  3000	290	88/100	2/100	2.64	52	88	93	57	60	0.0437	0	0	0	0	0.0000%	0	0.044	0.321	229	3.1735	2	0	-11.8	7.24	62	34.1%
  4000	544	99/100	56/100	2.74	104	157	155	128	43	0.0895	0	0	0	0	0.0000%	0	0.0083	0.289	306	5.1739	100	98	-13.8	8.97	45	39%
  5000	988	100/100	99/100	2.74	275	267	253	193	31	0.0671	0	0	0	0	0.0000%	0	0.1876	0.278	414	6.4776	515	513	-16.9	11.33	32	38.4%
  6000	1101	100/100	98/100	2.83	279	296	272	254	12	0.0463	0	0	0	0	0.0000%	0	0.1277	0.269	1126	5.1956	472	470	-17.4	12.53	13	32.7%
  7000	1138	100/100	93/100	2.81	251	338	332	217	6	0.0819	0	0	0	0	0.0000%	0	0.249	0.297	1840	1.0218	330	329	-16.1	13.7	6	30.2%
  8000	1310	100/100	94/100	2.71	369	336	334	271	2	0.0642	0	0	0	0	0.0000%	0	0.0134	0.282	2216	0.4657	254	254	-15.3	10.95	2	27.2%
  9000	1485	100/100	80/100	2.61	347	402	443	293	1	0.0753	0	0	0	0	0.0000%	0	0.0096	0.298	1773	0.6379	182	182	-15.3	10.1	1	28.2%
  10000	1551	100/100	70/100	2.71	395	427	390	339	0	0.0823	0	0	0	1	0.0000%	0	0.0031	0.275	1138	0.7526	113	112	-14.8	9.54	0	25.4%
  11000	1556	100/100	54/100	2.76	385	435	419	317	0	0.0775	0	0	0	1	0.0000%	0	0.0031	0.28	976	0.9534	75	74	-16.4	11.91	0	25.1%
  12000	1610	100/100	54/100	2.92	272	432	491	415	0	0.0855	0	0	0	3	0.0000%	0	0.1053	0.305	1025	1.262	78	76	-16.8	11.75	0	24.9%
  13000	1669	100/100	47/100	2.83	366	418	463	422	0	0.0714	0	0	0	3	0.0000%	0	0.018	0.277	1113	1.2658	71	70	-18.3	11.98	0	24.8%
  14000	1691	100/100	35/100	2.78	472	458	413	348	0	0.0771	0	0	0	3	0.0000%	0	0.0123	0.279	1123	1.1004	42	41	-18.9	12.09	0	22.6%
  15000	1745	100/100	32/100	2.79	377	443	492	433	0	0.0949	0	0	0	3	0.0000%	0	0.0025	0.282	1146	1.4186	35	34	-19.8	11.19	0	21.7%
