## D5  the fields across the eaters' boom and bust: the report and stats.jsonl at the
## boom's start (first t with inherit >= 10), its peak, its trough and the end.
arm	window	t	alive	absorpt	inherit	det cv	mat cv	detritus J	matterStanding	corpses	corpseJoules	refuge J	det deep	J/m3 here	% on floor	shade %	food %	depth m	mat blk	births	deaths
r38-s1	detritus max	7100	1696	95	89	0.098	0.076	119801.9	6000.0	538	154.9	494.6	4.2529	5.2231	0.4%	5.3%	2.1%	-24.3	126764	2546	951
r38-s1	boom start	3800	1288	15	11	0.429	0.092	94038.2	6000.0	263	341.2	196.6	2.0899	4.7802	0.2%	8.2%	0.21%	-20.5	103645	1528	341
r38-s1	peak	13500	1690	725	720	0.153	0.047	39202.5	6000.0	706	43.1	134.7	1.3015	1.5904	0.3%	3.2%	23.72%	-28.9	85970	4151	2562
r38-s1	trough	23600	1668	1	0	0.074	0.152	47618.6	6000.0	716	32.8	234.1	1.9967	2.0082	0.5%	3.1%	0.02%	-23.5	95458	6982	5415
r38-s1	end	30000	1597	6	2	0.138	0.264	71227.9	6000.0	994	34.0	393.6	3.0498	2.9259	0.6%	3.1%	0.08%	-23	83206	8838	7342
r38-s2	detritus max	7300	1564	77	73	0.09	0.074	123074.4	6000.0	901	235.9	541.1	4.6783	4.9779	0.4%	6.2%	1.83%	-24.6	110795	3026	1557
r38-s2	boom start	4800	1439	13	10	0.241	0.148	101283.2	6000.0	706	426.4	287.7	2.4368	5.0448	0.3%	7.3%	0.13%	-21.4	100288	2150	806
r38-s2	peak	11800	1616	599	596	0.467	0.088	38855	6000.0	903	131.9	83.4	0.8244	1.1767	0.2%	5%	18.83%	-27.9	111152	4504	2983
r38-s2	trough	22800	1564	0	0	0.084	0.186	70700.7	6000.0	1047	81.6	400.2	3.2181	2.8969	0.6%	5%	0%	-24.7	106752	9263	7794
r38-s2	end	30000	1602	303	300	0.123	0.039	85678.2	6000.0	1500	58.8	418.7	3.2763	3.4406	0.5%	5.4%	8.29%	-27.8	108004	12393	10886
r38-s3	detritus max	9100	1480	17	15	0.078	0.153	196049.6	6000.0	2184	308.3	1049	8.6657	8.2246	0.5%	7%	0.24%	-22.2	136477	5634	4232
r38-s3	boom start	9100	1480	17	15	0.078	0.153	196049.6	6000.0	2184	308.3	1049	8.6657	8.2246	0.5%	7%	0.24%	-22.2	136477	5634	4232
r38-s3	peak	17200	1455	294	288	0.41	0.068	35699.2	6000.0	1743	191.3	101.8	0.7959	1.2889	0.3%	6.2%	25.6%	-26.6	100131	10139	8762
r38-s3	trough	24700	1554	3	0	0.1	0.189	58412.2	6000.0	1587	118.5	283.1	2.3507	2.2302	0.5%	5.1%	0.05%	-25.2	100556	13928	12452
r38-s3	end	30000	1641	15	11	0.117	0.074	91090.2	6000.0	1082	43.7	568.6	4.2889	3.5971	0.6%	4.9%	0.38%	-24.1	122140	16011	14448
r38-s4	detritus max	10000	1553	46	43	0.093	0.228	159916.3	6000.0	1566	234.9	734.8	6.8271	6.557	0.5%	5.2%	0.53%	-23	96512	4259	2767
r38-s4	boom start	9300	1558	13	10	0.081	0.151	157294.9	6000.0	1413	291.4	766.3	6.8389	6.3886	0.5%	5.5%	0.1%	-23.5	96593	3887	2390
r38-s4	peak	16400	1710	703	702	0.154	0.019	24288.4	6000.0	546	57.6	85.6	0.7172	1.1075	0.4%	4%	23.92%	-28	105495	5720	4071
r38-s4	trough	25400	1695	2	2	0.085	0.102	43380.8	6000.0	689	30.6	235.6	1.7542	1.8935	0.5%	3.3%	0.01%	-23.9	109833	8731	7097
r38-s4	end	30000	1642	2	2	0.098	0.195	60684.4	6000.0	999	24.5	275.1	2.5167	2.5299	0.5%	3.5%	0.06%	-22.8	74372	10217	8636
r38-s5	detritus max	6600	1617	144	141	0.167	0.044	124825.7	6000.0	799	278.0	448.5	4.0876	5.9491	0.4%	5.6%	2.34%	-20.7	160296	3012	1465
r38-s5	boom start	3500	925	12	10	0.541	0.288	85004.9	6000.0	676	509.5	196	1.8062	5.9946	0.2%	7.3%	0.15%	-10.6	86735	1540	685
r38-s5	peak	14900	1676	683	682	0.084	0.047	39652	6000.0	1005	52.2	185	1.5341	1.64	0.5%	3.3%	16.25%	-27.7	86489	5110	3504
r38-s5	trough	22800	1618	1	0	0.116	0.225	40992.7	6000.0	743	33.6	213.9	1.6311	1.527	0.5%	3.2%	0.03%	-23.1	88135	7737	6189
r38-s5	end	30000	1633	7	4	0.114	0.208	69719.4	6000.0	939	59.4	417.9	3.4284	2.7705	0.6%	2.9%	0.37%	-23.9	87724	9850	8287

## detritus J and det deep every 1,000 s, beside inherit
t	r38-s1 detJ	r38-s1 detdeep	r38-s1 inherit	r38-s2 detJ	r38-s2 detdeep	r38-s2 inherit	r38-s3 detJ	r38-s3 detdeep	r38-s3 inherit	r38-s4 detJ	r38-s4 detdeep	r38-s4 inherit	r38-s5 detJ	r38-s5 detdeep	r38-s5 inherit
1000	27850.9	0.4315	0	23636.9	0.2345	0	26634.1	0.2569	0	28800.3	0.1334	0	23084.4	0.3188	0
2000	59886	0.5476	3	52462.2	0.4089	0	59498.9	0.9908	0	62264	0.41	0	49190	0.672	1
3000	81710.5	1.2052	5	71702.6	1.1067	1	88121.5	2.864	0	85872.6	0.7336	0	73059.7	1.4343	6
4000	97025.6	2.0806	13	88819.1	2.0748	3	112702.5	2.4938	0	103162.1	1.8042	0	96141.9	2.431	22
5000	109226.5	2.8677	26	103950.9	2.6136	13	135250.5	3.9969	0	117922.6	3.0687	0	113483.3	3.089	43
6000	116678.2	3.3845	51	115562.4	3.7766	22	154940.2	4.7987	0	129934	4.0028	0	123217.8	4.1405	91
7000	119766.1	4.1287	85	122503.4	4.785	54	171800.3	6.4372	0	139848.6	5.6666	0	123975.4	4.0777	182
8000	117648.4	4.4475	140	118673.6	4.4557	166	184961.7	7.7835	0	148195.1	6.1505	0	117596.2	4.1631	246
9000	109360.1	4.1498	263	99301.7	3.7654	311	195842.3	7.6702	8	155335.4	7.1185	5	107912.8	3.9245	301
10000	94641.1	3.4557	401	75905.1	1.6251	452	187501.5	7.1394	31	159916.3	6.8271	43	96830.3	3.8043	350
11000	77420.4	2.742	516	53986.8	1.0542	553	174625.3	5.8356	33	144255.3	5.0801	202	84831.8	3.5011	406
12000	60566.5	1.9293	601	35480.7	0.8004	590	161092.8	6.372	33	117117.1	5.2599	358	72546.6	2.9075	474
13000	45779.2	1.5672	686	23514.5	0.6484	479	147729	6.3362	33	87649.1	3.5162	495	60233.7	2.3589	557
14000	33636.4	1.11	701	19665.1	0.7098	311	133265.7	5.2115	61	61923.5	2.4588	597	48831.3	1.9804	643
15000	25445	0.8714	616	21574.4	0.8149	141	101259	3.3056	111	41898.6	1.3964	670	38750.1	1.5199	673
16000	21261	0.7762	498	27264.4	0.9104	53	67738.3	2.1341	179	28250.6	0.8387	698	31756.6	1.1641	597
17000	20560.4	0.803	300	33624.9	1.1644	22	39994.8	0.9177	267	19750.7	0.7341	662	27426.4	1.0294	510
18000	23179.2	0.8412	97	40064.2	1.4336	8	24602	0.6518	252	15590.2	0.5717	498	25650.4	1.002	420
19000	28211.4	0.9603	16	46368.8	1.8259	4	21580.5	0.703	100	16046.4	0.6037	207	25124	1.0132	320
20000	33156.2	1.173	5	52478	1.9608	1	26316.6	0.8638	25	20318.6	0.7081	81	28107.4	1.0607	32
21000	37554.8	1.3789	4	58854.5	2.5569	1	34058.3	1.0806	10	25177.7	0.8106	39	32860.9	1.179	8
22000	41601	1.5209	2	65388.1	2.7638	1	41246.7	1.5665	6	29552	0.9651	23	37513.2	1.6196	4
23000	45306.2	1.9092	1	72008.2	2.8333	0	47986.5	1.6293	5	33627.5	1.1895	13	41848.7	1.6491	0
24000	49295.6	2.1799	0	78901.6	3.3551	0	54183.4	2.1494	4	37749	1.3601	8	46213.3	1.8438	0
25000	53291.6	2.2215	0	86456.9	3.6013	0	60245	2.3718	0	41800.2	1.7095	4	50559.6	2.256	1
26000	56998	2.4171	0	93770.9	4.3923	0	66219.7	2.6751	0	45704.2	1.8511	2	54608.8	2.2548	1
27000	60710.9	2.4958	0	100464.2	4.7404	0	72871.4	3.3513	1	49372.8	2.1152	2	58551.5	2.366	1
28000	64211.5	3.0416	0	105794.2	4.2739	19	79217.7	3.1683	2	52798.5	2.5428	2	62485	2.5948	1
29000	67654.4	3.2279	0	102295.1	4.2588	136	85359.9	3.5398	5	56437.3	2.4033	2	66333.7	2.9581	1
30000	71227.9	3.0498	2	85678.2	3.2763	300	91090.2	4.2889	11	60684.4	2.5167	2	69719.4	3.4284	4
