## D4  the disc stays filled: cols at least 60% of the 402 live columns (241.2) from 5,000 s on, at EVERY 1,000 s row; x sd between 4.0 and 6.8 m at the three times (a spread disc of radius 11.28 m reads 5.64)
arm	cols 5000	cols 15000	cols 30000	min cols t>=5000	at t	min cols share	rows t>=5000 below 241	x sd 5000	x sd 15000	x sd 30000	min x sd t>=5000	max x sd t>=5000	holds
r38-s1	395	396	397	384	17000	0.955	0	5.62	5.53	5.58	5.32	5.91	yes
r38-s2	393	391	392	380	20700	0.945	0	5.67	5.66	5.69	5.31	5.87	yes
r38-s3	376	383	396	376	5000	0.935	0	5.85	5.64	5.73	5.30	5.97	yes
r38-s4	388	391	392	381	20000	0.948	0	5.43	5.64	5.43	5.35	5.97	yes
r38-s5	376	394	391	376	5000	0.935	0	5.80	5.69	5.77	5.33	6.02	yes
count	5 of 5	(holds at 4)

## cols and cols abs every 1,000 s (of 402 live columns)
t	r38-s1 cols	r38-s1 cols abs	r38-s2 cols	r38-s2 cols abs	r38-s3 cols	r38-s3 cols abs	r38-s4 cols	r38-s4 cols abs	r38-s5 cols	r38-s5 cols abs
1000	208	2	195	0	205	0	292	1	170	1
2000	323	5	299	1	307	0	347	1	256	2
3000	344	9	362	2	361	0	373	1	327	7
4000	382	16	379	5	363	0	380	0	377	24
5000	395	29	393	15	376	0	388	0	376	45
6000	398	53	393	23	389	0	385	0	390	84
7000	393	83	393	48	389	0	391	0	391	142
8000	390	123	388	143	396	0	396	2	391	181
9000	389	192	390	213	381	10	389	7	391	209
10000	392	243	394	278	384	35	389	41	396	225
11000	397	295	397	299	391	36	392	161	396	247
12000	394	308	392	303	394	35	391	235	395	261
13000	398	330	392	268	387	36	394	283	393	293
14000	389	317	394	218	391	62	394	310	398	318
15000	396	315	391	122	383	100	391	325	394	332
16000	387	283	394	50	391	141	393	329	395	309
17000	384	208	391	22	397	184	399	321	390	280
18000	390	85	390	10	392	195	393	277	392	262
19000	390	17	389	5	388	96	385	151	388	210
20000	390	6	382	1	397	26	381	72	390	33
21000	394	5	393	1	387	13	391	38	390	9
22000	394	3	391	1	392	10	395	23	394	5
23000	391	2	387	0	392	9	394	13	392	0
24000	390	1	388	1	391	7	394	8	391	0
25000	391	2	398	1	392	3	401	4	387	2
26000	394	1	393	1	392	4	397	2	391	2
27000	390	1	390	2	390	6	394	2	397	2
28000	392	2	388	22	394	7	393	2	398	3
29000	391	4	392	112	397	9	395	2	396	4
30000	397	6	392	211	396	15	392	2	391	7

## comparison: round 37b (100 m2, 100 live columns) read 100 of 100 at the three times in every one of the ten seeds and never below 97 after 5,000 s; x sd 2.64 to 2.94 m on a disc that reads 2.82 spread
