## The cycle: local extrema of alive over t >= 5000 (a sample extreme in its +-1500 s window)
arm	kind	t	alive	p3 share	depth m	inherit	jnt inh	shade %	det cv
r38-s1	trough	5000	1606	0.238	-21.8	26	47	6.5%	0.253
r38-s1	peak	6600	1703	0.241	-23.8	69	33	5.7%	0.129
r38-s1	trough	7900	1691	0.269	-26.2	135	22	4.6%	0.069
r38-s1	trough	9800	1692	0.268	-28.3	368	14	4.1%	0.098
r38-s1	peak	12000	1720	0.241	-29.1	601	9	3.5%	0.157
r38-s1	peak	15800	1654	0.232	-25.7	522	1	3%	0.131
r38-s1	trough	17400	1529	0.266	-22.4	231	1	3.1%	0.115
r38-s1	peak	21500	1683	0.259	-24.1	3	1	3.3%	0.13
r38-s1	trough	22900	1655	0.232	-24.6	1	0	3.1%	0.077
r38-s1	peak	25900	1699	0.246	-23.3	0	0	3%	0.113
r38-s1	trough	27800	1624	0.231	-24.3	0	0	3%	0.108
r38-s1	trough	29900	1595	0.270	-23.1	0	0	3.2%	0.136
r38-s2	trough	5000	1487	0.260	-21.2	13	61	7.5%	0.231
r38-s2	peak	10500	1623	0.247	-28.1	509	55	5.4%	0.442
r38-s2	trough	13300	1522	0.252	-25.6	418	23	4.6%	0.232
r38-s2	peak	15400	1583	0.243	-23	93	4	4.9%	0.171
r38-s2	peak	19400	1577	0.249	-26	3	2	5.1%	0.115
r38-s2	trough	19900	1525	0.252	-25.1	1	2	5.1%	0.107
r38-s2	peak	21400	1611	0.264	-25.7	1	2	5%	0.081
r38-s2	trough	23000	1559	0.214	-25.1	0	1	5.1%	0.08
r38-s2	peak	25200	1643	0.267	-23.5	0	0	5.5%	0.115
r38-s2	peak	25300	1643	0.246	-23	0	0	5.7%	0.114
r38-s2	trough	27900	1524	0.230	-25	13	0	5.1%	0.094
r38-s2	peak	28300	1590	0.245	-25.7	36	0	5.3%	0.097
r38-s2	peak	30000	1602	0.245	-27.8	300	0	5.4%	0.123
r38-s3	trough	5100	1333	0.275	-19	0	173	10.1%	0.333
r38-s3	trough	8500	1438	0.273	-22.1	0	102	7.5%	0.074
r38-s3	peak	10900	1593	0.246	-23.7	33	73	6.5%	0.102
r38-s3	peak	11000	1593	0.209	-23.7	33	72	6.6%	0.099
r38-s3	peak	16000	1485	0.265	-26.7	179	39	6.3%	0.247
r38-s3	trough	18700	1409	0.260	-23.4	136	9	5.5%	0.275
r38-s3	peak	20900	1607	0.240	-22.5	11	1	5.4%	0.236
r38-s3	trough	23300	1525	0.268	-24.5	4	1	5.1%	0.145
r38-s3	trough	25600	1483	0.252	-23.8	0	0	4.7%	0.087
r38-s3	peak	30000	1641	0.248	-24.1	11	0	4.9%	0.117
r38-s4	trough	5000	1610	0.245	-20.6	0	166	7.9%	0.298
r38-s4	peak	5900	1678	0.244	-22.5	0	152	7.7%	0.185
r38-s4	trough	9400	1540	0.277	-23.3	11	88	5.5%	0.081
r38-s4	peak	14600	1719	0.233	-27.6	646	34	4.4%	0.149
r38-s4	trough	18600	1423	0.228	-23.7	295	13	3.4%	0.106
r38-s4	trough	18700	1423	0.225	-24.2	255	13	3.6%	0.103
r38-s4	peak	25700	1700	0.258	-24.2	2	2	3.4%	0.085
r38-s4	trough	28500	1591	0.243	-24.3	2	2	3.4%	0.095
r38-s4	peak	30000	1642	0.229	-22.8	2	1	3.5%	0.098
r38-s5	trough	5000	1425	0.300	-16.1	43	115	7.9%	0.335
r38-s5	peak	10200	1734	0.253	-25.6	361	51	4.3%	0.07
r38-s5	trough	16000	1619	0.259	-26.3	597	25	3%	0.099
r38-s5	trough	16600	1619	0.235	-25	552	22	3%	0.096
r38-s5	peak	18600	1677	0.290	-24.6	402	11	3%	0.088
r38-s5	trough	19500	1525	0.268	-22.6	103	8	2.8%	0.096
r38-s5	peak	21100	1650	0.247	-22.9	7	12	3.2%	0.118
r38-s5	trough	23100	1617	0.238	-22.3	0	8	3.2%	0.114
r38-s5	peak	25400	1675	0.272	-22.9	1	16	3.1%	0.065
r38-s5	peak	28100	1697	0.252	-21.6	1	12	3.1%	0.121
r38-s5	trough	29900	1625	0.252	-23.4	4	15	2.9%	0.117

## peak-to-trough amplitude over t >= 5000 (37b s1-s5 read 1.79 to 2.35; s6-s10 1.12 to 1.47)
arm	min alive	at t	max alive	at t	max/min	in 1.1-2.4
r38-s1	1529	17400	1720	12000	1.12	yes
r38-s2	1487	5000	1643	25300	1.10	yes
r38-s3	1333	5100	1641	30000	1.23	yes
r38-s4	1423	18600	1719	14600	1.21	yes
r38-s5	1425	5000	1734	10200	1.22	yes
