## The depth band of round 37b's ten seeds at the three anchors, computed exactly as round 38's is in pos_analyse.py. IQR is |q75 - q25| in metres.
arm	t	n	median y all	IQR all	sd y all	n absorptive	median y abs	IQR abs	n leaf	median y leaf	IQR leaf	abs median - leaf median
r37b-s1	5000	987	-15.07	17.28	11.33	514	-18.85	17.60	473	-10.48	15.72	-8.37
r37b-s1	15000	1745	-19.59	17.06	11.19	35	-22.66	17.42	1708	-19.51	17.12	-3.15
r37b-s1	30000	1674	-17.99	16.65	12.28	77	-27.16	10.73	1597	-17.47	16.43	-9.69
r37b-s2	5000	1425	-15.33	14.95	9.51	0	-	-	1417	-15.50	15.00	-
r37b-s2	15000	1713	-22.94	18.98	11.51	292	-23.37	18.32	1421	-22.89	19.16	-0.48
r37b-s2	30000	1735	-20.92	19.57	13.35	152	-31.91	18.02	1583	-19.89	18.60	-12.02
r37b-s3	5000	1114	-13.34	13.41	11.26	307	-15.57	15.07	800	-12.47	12.80	-3.10
r37b-s3	15000	1764	-20.38	21.93	14.32	69	-38.92	15.77	1691	-19.68	21.27	-19.24
r37b-s3	30000	1840	-21.13	19.47	12.09	30	-22.34	18.26	1809	-21.13	19.45	-1.21
r37b-s4	5000	1005	-15.71	14.79	9.93	55	-30.78	5.85	947	-14.81	14.04	-15.97
r37b-s4	15000	1818	-20.57	21.87	13.19	173	-24.84	23.51	1645	-20.08	21.55	-4.76
r37b-s4	30000	1782	-22.87	20.71	14.35	76	-30.46	19.51	1706	-22.44	20.54	-8.02
r37b-s5	5000	771	-11.48	11.41	7.98	59	-14.60	8.59	711	-10.96	11.26	-3.64
r37b-s5	15000	1714	-18.23	17.45	12.31	142	-19.95	18.68	1570	-17.74	17.13	-2.21
r37b-s5	29200	1764	-20.41	20.31	12.92	80	-26.64	22.82	1683	-20.00	19.95	-6.64
r37b-s6	5000	1653	-11.57	14.75	10.63	6	-9.35	8.74	1645	-11.58	14.74	2.23
r37b-s6	15000	1617	-22.17	24.11	15.51	523	-26.94	23.94	1094	-19.91	23.92	-7.03
r37b-s6	30000	1810	-21.88	20.68	13.70	126	-30.56	19.54	1684	-21.11	20.29	-9.45
r37b-s7	5000	1091	-15.31	14.99	10.22	173	-18.74	19.18	918	-14.96	14.47	-3.78
r37b-s7	15000	1438	-18.11	17.52	11.59	107	-14.31	20.50	1331	-18.30	17.39	3.99
r37b-s7	30000	1585	-18.84	20.20	12.24	117	-24.26	16.80	1468	-18.36	20.33	-5.90
r37b-s8	5000	1469	-16.36	16.93	13.01	802	-21.93	17.62	663	-10.94	11.61	-10.99
r37b-s8	15000	1714	-19.80	21.57	13.49	141	-19.61	21.76	1573	-19.87	21.50	0.26
r37b-s8	30000	1831	-19.57	20.04	12.59	99	-20.84	21.31	1731	-19.48	19.91	-1.36
r37b-s9	5000	1349	-16.23	18.14	10.52	271	-25.12	10.56	1076	-13.76	17.62	-11.36
r37b-s9	15000	1745	-21.17	19.17	11.75	123	-22.98	21.03	1622	-21.03	18.95	-1.95
r37b-s9	30000	1722	-17.89	18.77	13.09	82	-22.42	15.91	1640	-17.74	18.75	-4.68
r37b-s10	5000	1734	-18.09	20.34	12.54	262	-26.66	18.15	1467	-16.05	20.46	-10.61
r37b-s10	15000	1820	-18.77	19.11	12.31	78	-19.11	22.07	1740	-18.77	19.10	-0.33
r37b-s10	30000	1759	-19.57	20.86	14.36	58	-21.74	20.20	1699	-19.57	20.98	-2.17
