## D3's two-sided reading: the depth band's shape. The median depth and the interquartile range of the living, and of the absorptive bodies alone (stomachs plus mixotrophs), at the three anchors and at the eaters' peak and trough.
arm	window	t	n	median y all	q25 all	q75 all	IQR all	mean y all	sd y all	n absorptive	median y abs	q25 abs	q75 abs	IQR abs	n leaf	median y leaf	IQR leaf	abs median - leaf median
r38-s1	t=5000	5000	1606	-21.54	-33.48	-9.29	-24.18	-21.84	14.30	31	-29.51	-45.45	-16.55	-28.89	1572	-21.50	-24.05	-8.01
r38-s1	t=15000	15000	1635	-27.24	-38.62	-13.21	-25.41	-26.88	16.02	619	-35.47	-47.20	-17.98	-29.21	1014	-23.39	-23.72	-12.07
r38-s1	t=30000	30000	1597	-19.35	-34.95	-9.64	-25.31	-22.98	15.93	6	-21.35	-29.14	-18.82	-10.32	1591	-19.34	-25.36	-2.01
r38-s1	eaters peak	13500	1690	-28.42	-43.41	-13.44	-29.97	-28.90	17.46	725	-39.01	-50.68	-21.78	-28.90	963	-22.44	-24.92	-16.57
r38-s1	eaters trough	23600	1668	-22.55	-34.59	-10.77	-23.82	-23.52	15.04	1	-10.79	-10.79	-10.79	0.00	1665	-22.53	-23.85	11.74
r38-s2	t=5000	5000	1487	-20.99	-31.56	-10.40	-21.16	-21.19	12.74	16	-25.93	-34.41	-20.28	-14.13	1470	-20.90	-21.27	-5.03
r38-s2	t=15000	15000	1569	-22.32	-33.74	-12.07	-21.67	-22.92	13.15	146	-24.10	-35.29	-11.67	-23.62	1423	-22.22	-21.19	-1.88
r38-s2	t=30000	30000	1602	-27.34	-42.22	-12.52	-29.69	-27.83	17.03	303	-45.25	-53.54	-33.00	-20.54	1299	-22.89	-27.20	-22.36
r38-s2	eaters peak	11800	1616	-27.68	-42.35	-12.93	-29.42	-27.94	16.98	599	-37.31	-49.53	-23.56	-25.97	1017	-21.48	-26.93	-15.83
r38-s2	eaters trough	22800	1564	-24.96	-35.66	-11.75	-23.92	-24.67	14.68	0	-	-	-	-	1564	-24.96	-23.92	-
r38-s3	t=5000	5000	1339	-14.94	-29.70	-5.45	-24.25	-18.89	15.34	0	-	-	-	-	1330	-15.04	-24.21	-
r38-s3	t=15000	15000	1462	-26.24	-39.54	-11.44	-28.10	-26.25	16.57	118	-42.62	-50.95	-29.41	-21.54	1344	-24.67	-27.88	-17.95
