## Radial drift: for every body present in two consecutive samples (100 s apart), the change in its distance from the axis, binned by the starting radius. Positive is outward. Averaged over the whole run.
 The fully-mixed bound is what a body starting in the bin would drift if its place 100 s later were drawn from the whole crowd (the sample's own mean r, less r0): a stationary disc CANNOT read zero in a bin away from the mean radius, so the bound, not zero, is what a well-mixed world looks like in this statistic. "all radii pooled" is the net flux and is zero at a stationary distribution.
arm	r bin (m)	body pairs	mean dr (m per 100 s)	median dr	share moving outward	fully-mixed bound	observed / bound
r38-s1	0.00-2.00	13747	4.9081	5.0422	0.964	6.1580	0.797
r38-s1	2.00-4.00	42344	3.3206	3.4793	0.874	4.3890	0.757
r38-s1	4.00-6.00	71637	1.5865	1.7226	0.718	2.4387	0.651
r38-s1	6.00-8.00	99944	-0.0116	0.2485	0.533	0.4567	-0.025
r38-s1	8.00-10.00	128601	-1.2119	-0.6048	0.392	-1.5334	0.790
r38-s1	10.00-11.28	94169	-1.7343	-0.9642	0.212	-3.1281	0.554
r38-s1	all radii pooled	450442	0.0031	0.0009	0.500	0.0000	-
r38-s2	0.00-2.00	12834	4.9929	5.2109	0.967	6.1199	0.816
r38-s2	2.00-4.00	40159	3.4170	3.5986	0.882	4.3546	0.785
r38-s2	4.00-6.00	67799	1.6104	1.7421	0.720	2.4002	0.671
r38-s2	6.00-8.00	94773	0.0399	0.3109	0.541	0.4221	0.094
r38-s2	8.00-10.00	121137	-1.2724	-0.6767	0.384	-1.5675	0.812
r38-s2	10.00-11.28	85498	-1.8620	-1.1362	0.194	-3.1416	0.593
r38-s2	all radii pooled	422200	0.0022	-0.0006	0.500	0.0000	-
r38-s3	0.00-2.00	12035	4.9405	5.1166	0.967	6.1835	0.799
r38-s3	2.00-4.00	37245	3.3441	3.5043	0.879	4.4087	0.759
r38-s3	4.00-6.00	63380	1.5642	1.7110	0.718	2.4537	0.637
r38-s3	6.00-8.00	89271	0.0031	0.2658	0.535	0.4732	0.007
r38-s3	8.00-10.00	116230	-1.1869	-0.5670	0.395	-1.5159	0.783
r38-s3	10.00-11.28	85295	-1.6946	-0.9237	0.215	-3.0935	0.548
r38-s3	all radii pooled	403456	0.0023	0.0017	0.500	0.0000	-
r38-s4	0.00-2.00	13651	4.8864	5.0145	0.964	6.1865	0.790
r38-s4	2.00-4.00	42557	3.2622	3.4002	0.867	4.4101	0.740
r38-s4	4.00-6.00	70806	1.5076	1.5922	0.703	2.4528	0.615
r38-s4	6.00-8.00	99364	0.0288	0.2931	0.539	0.4717	0.061
r38-s4	8.00-10.00	128634	-1.1584	-0.5592	0.397	-1.5186	0.763
r38-s4	10.00-11.28	96267	-1.7057	-0.9334	0.217	-3.1023	0.550
r38-s4	all radii pooled	451279	0.0043	-0.0017	0.499	0.0000	-
r38-s5	0.00-2.00	12913	5.0430	5.1846	0.969	6.2348	0.809
r38-s5	2.00-4.00	39664	3.3867	3.4821	0.885	4.4665	0.758
r38-s5	4.00-6.00	67327	1.4725	1.5830	0.704	2.5046	0.588
r38-s5	6.00-8.00	95865	-0.1042	0.1657	0.522	0.5264	-0.198
r38-s5	8.00-10.00	126660	-1.1170	-0.4896	0.399	-1.4666	0.762
r38-s5	10.00-11.28	95815	-1.5199	-0.6739	0.238	-3.0512	0.498
r38-s5	all radii pooled	438257	0.0034	-0.0038	0.498	0.0000	-

## Comparison, NOT recomputed (logbook/specs/r37b-read/drift.tsv and r37b-fresh-read/drift.tsv): 37b seeds 1 to 5 pooled net flux +0.0025 to +0.0032 m per 100 s, seeds 6 to 10 +0.0023 to +0.0027; round 37 (no acceleration force) +0.0202 to +0.0486. Note the bins here are 2 m wide on an 11.28 m disc where 37b's were 1 m wide on a 5.64 m disc, so the bins are the same fraction of the radius and the bounds are comparable in shape, not in metres.
