## D5  what the living eaters' books read across the boom and the bust (absorptive.jsonl, every living eater at the sample)
arm	t	n	mean netW	median netW	share netW < 0	mean foodW	mean lightW	mean upkeepW	mean densityHere	median y	mean share	mean tissue	mixotroph share	mean children
r38-s1	13500	725	-0.0027	-0.0016	0.606	0.0100	0.0000	0.0127	1.4381	-39.01	1.000	0.7	0.001	0.81
r38-s1	23600	1	-0.0030	-0.0030	1.000	0.0054	0.0000	0.0084	1.9358	-10.79	1.000	0.4	0.000	0.00
r38-s1	30000	6	0.0116	0.0112	0.167	0.0172	0.0000	0.0056	2.6941	-21.35	1.000	0.4	0.000	0.33
r38-s1	30000	6	0.0116	0.0112	0.167	0.0172	0.0000	0.0056	2.6941	-21.35	1.000	0.4	0.000	0.33
r38-s2	11800	599	-0.0054	-0.0019	0.584	0.0206	0.0003	0.0262	1.1425	-37.31	1.000	1.8	0.000	0.79
r38-s2	22700	1	-0.0071	-0.0071	1.000	0.0112	0.0000	0.0184	2.4726	-36.06	1.000	0.7	0.000	0.00
r38-s2	30000	303	0.0434	0.0413	0.003	0.0594	0.0000	0.0160	2.9096	-45.25	1.000	1.4	0.000	0.99
r38-s2	30000	303	0.0434	0.0413	0.003	0.0594	0.0000	0.0160	2.9096	-45.25	1.000	1.4	0.000	0.99
r38-s3	17200	294	-0.0527	-0.0188	0.663	0.0522	0.0009	0.1056	0.7255	-42.65	1.000	6.7	0.003	0.99
r38-s3	24700	3	0.0006	0.0001	0.333	0.0137	0.0000	0.0131	2.2189	-26.91	1.000	0.7	0.000	0.00
r38-s3	30000	15	0.0394	0.0277	0.000	0.0534	0.0000	0.0139	3.5348	-33.24	1.000	1.1	0.000	0.80
r38-s3	30000	15	0.0394	0.0277	0.000	0.0534	0.0000	0.0139	3.5348	-33.24	1.000	1.1	0.000	0.80
r38-s4	16400	703	-0.0134	-0.0083	0.893	0.0072	0.0023	0.0226	0.8749	-38.11	1.000	1.2	0.043	0.85
r38-s4	25400	2	0.0052	0.0052	0.000	0.0126	0.0014	0.0087	1.6615	-31.06	1.000	0.8	0.000	0.00
r38-s4	25500	2	0.0054	0.0054	0.000	0.0125	0.0020	0.0089	1.6893	-27.09	1.000	0.8	0.000	0.00
r38-s4	30000	2	-0.0065	-0.0065	1.000	0.0088	0.0031	0.0180	2.4987	-33.88	1.000	0.8	0.000	0.00
r38-s5	14900	683	-0.0024	-0.0011	0.565	0.0087	0.0000	0.0111	1.5219	-39.32	1.000	0.6	0.000	0.62
r38-s5	22800	1	-0.0070	-0.0070	1.000	0.0139	0.0000	0.0209	1.3756	-43.03	1.000	1.1	0.000	0.00
r38-s5	29900	7	0.0238	0.0169	0.286	0.0607	0.0009	0.0377	2.3822	-40.15	1.000	2.3	0.000	0.57
r38-s5	30000	7	0.0211	0.0160	0.286	0.0588	0.0007	0.0384	2.3960	-40.03	1.000	2.3	0.000	0.57

## the same books at every 1,000 s, mean netW and n, per seed
t	r38-s1 n	r38-s1 mean netW	r38-s1 mean foodW	r38-s1 mean densityHere	r38-s2 n	r38-s2 mean netW	r38-s2 mean foodW	r38-s2 mean densityHere	r38-s3 n	r38-s3 mean netW	r38-s3 mean foodW	r38-s3 mean densityHere	r38-s4 n	r38-s4 mean netW	r38-s4 mean foodW	r38-s4 mean densityHere	r38-s5 n	r38-s5 mean netW	r38-s5 mean foodW	r38-s5 mean densityHere
1000	2	0.0419	0.2366	1.6884	0	-	-	-	0	-	-	-	1	0.0800	0.3345	0.7122	1	0.0637	0.0704	4.2983
2000	5	0.0629	0.0695	3.9979	1	0.0383	0.0428	4.4979	0	-	-	-	1	0.0550	0.4945	1.3162	2	0.0376	0.0460	3.4717
3000	9	0.0470	0.0520	4.0605	2	0.0196	0.0240	3.7976	0	-	-	-	1	-0.2796	0.3461	1.1058	7	0.0447	0.0528	4.1325
4000	17	0.0404	0.0507	3.7041	5	0.0302	0.0357	4.2237	0	-	-	-	0	-	-	-	25	0.0635	0.0701	5.5416
5000	31	0.0473	0.0615	4.0086	16	0.0905	0.1089	4.1908	0	-	-	-	0	-	-	-	46	0.0487	0.0572	5.0806
6000	56	0.0414	0.0559	4.0559	25	0.0551	0.0721	4.3328	0	-	-	-	0	-	-	-	94	0.0427	0.0521	4.5902
7000	91	0.0356	0.0484	4.3670	58	0.0669	0.0900	3.9316	0	-	-	-	0	-	-	-	185	0.0394	0.0490	4.4064
8000	146	0.0323	0.0443	4.3852	171	0.0740	0.0990	3.3848	0	-	-	-	2	0.0493	0.0548	5.6546	249	0.0289	0.0389	4.3786
9000	269	0.0304	0.0415	3.9904	316	0.0432	0.0676	2.6919	10	0.5056	0.5963	3.8798	7	0.0686	0.0778	5.9103	304	0.0183	0.0287	4.0320
10000	406	0.0208	0.0317	3.4065	456	0.0177	0.0415	1.9927	35	0.3805	0.4887	3.5195	46	0.1304	0.1482	5.9078	353	0.0118	0.0227	3.6866
11000	521	0.0116	0.0229	2.7796	557	0.0017	0.0266	1.4624	37	0.2345	0.3663	3.4610	205	0.0961	0.1155	5.2376	409	0.0070	0.0185	3.2964
12000	606	0.0042	0.0161	2.1874	592	-0.0065	0.0198	1.1072	37	0.1291	0.2876	3.1613	361	0.0506	0.0670	4.2938	477	0.0030	0.0147	2.8277
13000	691	-0.0011	0.0115	1.6726	483	-0.0119	0.0136	0.8371	37	0.0577	0.2381	3.1391	498	0.0238	0.0402	3.1493	558	0.0007	0.0123	2.3500
14000	706	-0.0042	0.0088	1.2475	315	-0.0168	0.0094	0.7231	67	0.1246	0.2707	2.8276	600	0.0056	0.0245	2.1850	644	-0.0009	0.0103	1.9089
15000	619	-0.0060	0.0069	0.9622	146	-0.0139	0.0088	0.8396	118	0.0832	0.2170	2.0432	672	-0.0060	0.0148	1.4765	674	-0.0026	0.0085	1.4833
16000	499	-0.0071	0.0051	0.8202	56	-0.0107	0.0090	1.1016	186	0.0118	0.1317	1.4567	699	-0.0127	0.0088	0.9988	597	-0.0045	0.0066	1.2148
17000	300	-0.0078	0.0042	0.8088	24	-0.0093	0.0068	1.3177	274	-0.0534	0.0586	0.7716	663	-0.0155	0.0057	0.7266	511	-0.0061	0.0055	1.0711
18000	97	-0.0076	0.0041	0.9537	10	-0.0041	0.0109	1.6484	258	-0.0610	0.0310	0.5609	499	-0.0175	0.0041	0.5895	420	-0.0068	0.0048	1.0073
19000	17	-0.0050	0.0066	1.1758	5	-0.0031	0.0151	2.0342	104	-0.0668	0.0308	0.6518	207	-0.0158	0.0054	0.6287	321	-0.0069	0.0037	1.0020
20000	6	-0.0013	0.0096	1.4026	1	-0.0014	0.0118	1.8581	28	-0.0644	0.0282	0.8727	81	-0.0171	0.0066	0.8654	33	-0.0045	0.0074	1.1077
21000	5	-0.0029	0.0092	1.6058	1	-0.0024	0.0127	2.2903	13	-0.0049	0.0224	1.2790	39	-0.0134	0.0086	1.0522	9	-0.0028	0.0109	1.2637
22000	3	-0.0032	0.0082	1.8185	1	-0.0059	0.0111	2.2756	10	-0.0207	0.0124	1.3595	23	-0.0096	0.0098	1.2419	5	-0.0054	0.0123	1.4394
23000	2	-0.0028	0.0047	1.8159	0	-	-	-	9	-0.0021	0.0144	1.6590	13	-0.0098	0.0112	1.3816	0	-	-	-
24000	1	-0.0035	0.0053	2.0054	1	0.0349	0.0412	2.9885	7	-0.0135	0.0138	1.9017	8	-0.0084	0.0092	1.5069	0	-	-	-
25000	2	0.0029	0.0102	2.1115	1	0.0259	0.0341	3.2551	3	-0.0007	0.0130	2.1960	4	-0.0062	0.0102	1.5222	2	0.0455	0.0765	1.6842
26000	1	0.0076	0.0136	2.2725	1	0.0182	0.0284	3.3549	5	0.0072	0.0195	2.5421	2	0.0048	0.0119	1.8029	2	0.0346	0.0777	1.9294
27000	1	0.0043	0.0116	2.3462	2	0.0532	0.0673	3.6070	6	0.0075	0.0206	2.8062	2	0.0033	0.0107	1.9749	2	0.0148	0.0590	1.8126
28000	2	0.0073	0.0132	2.2697	22	0.1076	0.1253	3.7530	7	0.0112	0.0224	2.9933	2	0.0028	0.0095	2.0760	3	0.0046	0.0403	2.0428
