## D5  the eaters course, every 1,000 s: absorpt, inherit, inherit/alive, and the leaves beside them
t	r38-s1 absorpt	r38-s1 inherit	r38-s1 inh/alive	r38-s2 absorpt	r38-s2 inherit	r38-s2 inh/alive	r38-s3 absorpt	r38-s3 inherit	r38-s3 inh/alive	r38-s4 absorpt	r38-s4 inherit	r38-s4 inh/alive	r38-s5 absorpt	r38-s5 inherit	r38-s5 inh/alive
1000	2	0	0.000	0	0	0.000	0	0	0.000	1	0	0.000	1	0	0.000
2000	5	3	0.004	1	0	0.000	0	0	0.000	1	0	0.000	2	1	0.002
3000	9	5	0.005	2	1	0.001	0	0	0.000	1	0	0.000	7	6	0.008
4000	17	13	0.010	5	3	0.002	0	0	0.000	0	0	0.000	25	22	0.019
5000	31	26	0.016	16	13	0.009	0	0	0.000	0	0	0.000	46	43	0.030
6000	56	51	0.030	25	22	0.014	0	0	0.000	0	0	0.000	94	91	0.058
7000	91	85	0.050	58	54	0.034	0	0	0.000	0	0	0.000	185	182	0.110
8000	146	140	0.083	171	166	0.106	0	0	0.000	2	0	0.000	249	246	0.144
9000	269	263	0.155	316	311	0.195	10	8	0.006	7	5	0.003	304	301	0.174
10000	407	401	0.235	456	452	0.280	35	31	0.020	46	43	0.028	353	350	0.202
11000	522	516	0.301	557	553	0.343	37	33	0.021	205	202	0.124	409	406	0.235
12000	606	601	0.349	592	590	0.370	37	33	0.021	361	358	0.218	477	474	0.278
13000	691	686	0.404	483	479	0.313	37	33	0.021	498	495	0.296	558	557	0.327
14000	706	701	0.423	315	311	0.201	67	61	0.041	600	597	0.351	644	643	0.383
15000	619	616	0.377	146	141	0.090	118	111	0.076	672	670	0.390	674	673	0.405
16000	499	498	0.304	56	53	0.034	186	179	0.121	699	698	0.407	598	597	0.369
17000	300	300	0.196	24	22	0.014	274	267	0.184	663	662	0.393	511	510	0.313
18000	97	97	0.062	10	8	0.005	258	252	0.174	499	498	0.321	420	420	0.254
19000	17	16	0.010	5	4	0.003	104	100	0.068	207	207	0.143	321	320	0.197
20000	6	5	0.003	1	1	0.001	28	25	0.016	81	81	0.051	33	32	0.021
21000	5	4	0.002	1	1	0.001	13	10	0.006	39	39	0.024	9	8	0.005
22000	3	2	0.001	1	1	0.001	10	6	0.004	23	23	0.014	5	4	0.002
23000	2	1	0.001	0	0	0.000	9	5	0.003	13	13	0.008	0	0	0.000
24000	1	0	0.000	1	0	0.000	7	4	0.003	8	8	0.005	0	0	0.000
25000	2	0	0.000	1	0	0.000	3	0	0.000	4	4	0.002	2	1	0.001
26000	1	0	0.000	1	0	0.000	5	0	0.000	2	2	0.001	2	1	0.001
27000	1	0	0.000	2	0	0.000	6	1	0.001	2	2	0.001	2	1	0.001
28000	2	0	0.000	22	19	0.012	7	2	0.001	2	2	0.001	3	1	0.001
29000	4	0	0.000	139	136	0.087	10	5	0.003	2	2	0.001	4	1	0.001
30000	6	2	0.001	303	300	0.187	15	11	0.007	2	2	0.001	7	4	0.002

## the same at the three anchors with food %, photo inh and shade %
arm	t	alive	absorpt	inherit	inherit/alive	food %	photo inh	shade %
r38-s1	5000	1606	31	26	0.016	0.47%	1569	6.5%
r38-s1	15000	1635	619	616	0.377	19.91%	1015	2.9%
r38-s1	30000	1597	6	2	0.001	0.08%	1591	3.1%
r38-s2	5000	1487	16	13	0.009	0.2%	1469	7.5%
r38-s2	15000	1569	146	141	0.090	5.25%	1423	4.8%
r38-s2	30000	1602	303	300	0.187	8.29%	1299	5.4%
r38-s3	5000	1339	0	0	0.000	0%	1328	10.2%
r38-s3	15000	1463	118	111	0.076	15.62%	1347	6%
r38-s3	30000	1641	15	11	0.007	0.38%	1624	4.9%
r38-s4	5000	1610	0	0	0.000	0%	1605	7.9%
r38-s4	15000	1716	672	670	0.390	22.97%	1087	4.2%
r38-s4	30000	1642	2	2	0.001	0.06%	1637	3.5%
r38-s5	5000	1425	46	43	0.030	0.72%	1376	7.9%
r38-s5	15000	1663	674	673	0.405	15.76%	987	3.2%
r38-s5	30000	1633	7	4	0.002	0.37%	1622	2.9%
