## Recorded and not predicted: det cv and mat cv, the fields' coefficient of variation, the first reading on any round. Every 1,000 s.
t	r38-s1 det cv	r38-s1 mat cv	r38-s2 det cv	r38-s2 mat cv	r38-s3 det cv	r38-s3 mat cv	r38-s4 det cv	r38-s4 mat cv	r38-s5 det cv	r38-s5 mat cv
1000	1.221	0.388	1.311	0.373	1.089	0.39	1.536	0.406	0.966	0.413
2000	1.061	0.188	0.808	0.204	0.824	0.252	1.122	0.175	0.677	0.267
3000	0.59	0.094	0.48	0.184	0.58	0.149	0.679	0.061	0.574	0.264
4000	0.407	0.122	0.326	0.229	0.445	0.257	0.42	0.122	0.5	0.266
5000	0.253	0.098	0.231	0.124	0.34	0.178	0.298	0.102	0.335	0.158
6000	0.171	0.037	0.15	0.092	0.282	0.241	0.174	0.049	0.21	0.077
7000	0.103	0.063	0.093	0.1	0.176	0.152	0.086	0.037	0.146	0.027
8000	0.071	0.035	0.119	0.06	0.093	0.112	0.066	0.108	0.103	0.018
9000	0.084	0.018	0.248	0.069	0.075	0.198	0.073	0.134	0.082	0.01
10000	0.107	0.091	0.375	0.036	0.096	0.069	0.093	0.228	0.071	0.012
11000	0.14	0.083	0.469	0.031	0.099	0.083	0.087	0.047	0.063	0.022
12000	0.157	0.038	0.437	0.089	0.096	0.079	0.098	0.018	0.055	0.027
13000	0.153	0.014	0.305	0.217	0.077	0.076	0.118	0.05	0.06	0.053
14000	0.151	0.124	0.136	0.168	0.106	0.159	0.129	0.023	0.071	0.077
15000	0.148	0.17	0.147	0.096	0.163	0.094	0.17	0.024	0.086	0.055
16000	0.122	0.104	0.173	0.112	0.247	0.058	0.171	0.023	0.099	0.211
17000	0.097	0.279	0.164	0.088	0.397	0.056	0.134	0.132	0.085	0.162
18000	0.133	0.278	0.152	0.286	0.377	0.152	0.13	0.131	0.083	0.11
19000	0.174	0.188	0.126	0.198	0.243	0.299	0.125	0.358	0.09	0.164
20000	0.181	0.151	0.103	0.31	0.234	0.086	0.221	0.245	0.105	0.255
21000	0.162	0.188	0.087	0.239	0.227	0.055	0.222	0.146	0.119	0.211
22000	0.101	0.127	0.077	0.155	0.194	0.051	0.154	0.125	0.121	0.213
23000	0.073	0.188	0.08	0.199	0.153	0.145	0.112	0.055	0.114	0.221
24000	0.074	0.131	0.099	0.117	0.121	0.219	0.098	0.082	0.088	0.219
25000	0.092	0.076	0.113	0.062	0.095	0.205	0.085	0.052	0.076	0.179
26000	0.114	0.081	0.107	0.114	0.087	0.324	0.089	0.054	0.071	0.085
27000	0.11	0.097	0.095	0.086	0.086	0.148	0.101	0.047	0.092	0.122
28000	0.109	0.249	0.093	0.192	0.083	0.247	0.096	0.216	0.119	0.076
29000	0.118	0.19	0.094	0.082	0.092	0.111	0.093	0.285	0.119	0.061
30000	0.138	0.264	0.123	0.039	0.117	0.074	0.098	0.195	0.114	0.208

## the range after 5,000 s and the value at the end
arm	det cv min t>=5000	at t	det cv max t>=5000	at t	det cv at end	det cv mean t>=5000	samples det cv > 0.5 after 5000	mat cv min t>=5000	at t	mat cv max t>=5000	at t	mat cv at end	mat cv mean t>=5000	samples mat cv > 0.5 after 5000	either above 0.5 after 5000
r38-s1	0.068	23200	0.253	5000	0.138	0.126	0	0.011	11800	0.302	17100	0.264	0.123	0	no
r38-s2	0.076	21900	0.484	11300	0.123	0.169	0	0.023	15300	0.323	18500	0.039	0.123	0	no
r38-s3	0.068	8700	0.426	17700	0.117	0.165	0	0.024	11300	0.364	18800	0.074	0.143	0	no
r38-s4	0.061	7700	0.298	5000	0.098	0.124	0	0.008	13200	0.393	18600	0.195	0.115	0	no
r38-s5	0.052	11800	0.335	5000	0.114	0.102	0	0.008	10500	0.292	19500	0.208	0.113	0	no

## before 5,000 s: the first sample, and the maximum
arm	det cv at 100	det cv max t<5000	at t	mat cv at 100	mat cv max t<5000	at t
r38-s1	2.386	2.386	100	0.117	0.444	600
r38-s2	2.497	2.497	100	0.104	0.413	800
r38-s3	2.446	2.446	100	0.145	0.468	700
r38-s4	2.84	2.840	100	0.113	0.436	900
r38-s5	3.006	3.006	100	0.123	0.549	800

## no comparison exists: round 38 is the first round whose report carries these columns. The r38 smoke (600 s, dt 0.02, seed 3) read det cv 2.4 falling to 1.2 and mat cv 0.17 rising to 0.47 (0100 launch section).
