## Where the detritus, the matter and the corpses are (report columns plus matterStanding from stats.jsonl)
arm	t	det cv	mat cv	detritus J	matterStanding	corpseJoules	corpseMatter	corpses	det deep	J/m3 here	% on floor	refuge J	mat here	det patch sd	patch max share	shade %	depth m	depth sd	food %
r38-s1	5000	0.253	0.098	109226.5	6000.0	212.7	132.745	492	2.8677	5.4344	0.3%	316.9	0.025	0.0764	0.274	6.5%	-21.8	14.31	0.47%
r38-s1	15000	0.148	0.17	25445	6000.0	57.1	243.103	999	0.8714	1.1144	0.4%	101.8	0.025	0.0055	0.272	2.9%	-26.9	16.03	19.91%
r38-s1	30000	0.138	0.264	71227.9	6000.0	34.0	181.068	994	3.0498	2.9259	0.6%	393.6	0.029	0.2003	0.276	3.1%	-23	15.94	0.08%
r38-s2	5000	0.231	0.124	103950.9	6000.0	324.0	148.708	723	2.6136	4.6371	0.3%	312.2	0.025	0.0107	0.264	7.5%	-21.2	12.74	0.2%
r38-s2	15000	0.147	0.096	21574.4	6000.0	103.9	269.943	1547	0.8149	0.9843	0.5%	101.5	0.024	0.0051	0.263	4.8%	-22.9	13.16	5.25%
r38-s2	30000	0.123	0.039	85678.2	6000.0	58.8	199.866	1500	3.2763	3.4406	0.5%	418.7	0.024	0.1349	0.26	5.4%	-27.8	17.04	8.29%
r38-s3	5000	0.34	0.178	135250.5	6000.0	291.7	381.943	1191	3.9969	5.3655	0.3%	452.1	0.025	0.0547	0.294	10.2%	-18.9	15.35	0%
r38-s3	15000	0.163	0.094	101259	6000.0	123.3	462.589	2355	3.3056	4.1568	0.4%	436.1	0.025	0.277	0.262	6%	-26.3	16.59	15.62%
r38-s3	30000	0.117	0.074	91090.2	6000.0	43.7	153.912	1082	4.2889	3.5971	0.6%	568.6	0.024	0.0281	0.283	4.9%	-24.1	14.38	0.38%
r38-s4	5000	0.298	0.102	117922.6	6000.0	251.8	220.430	528	3.0687	6.3867	0.2%	281.6	0.025	0.2112	0.271	7.9%	-20.6	14.22	0%
r38-s4	15000	0.17	0.024	41898.6	6000.0	28.6	100.103	488	1.3964	1.7706	0.4%	160.6	0.025	0.0347	0.262	4.2%	-27.7	17.47	22.97%
r38-s4	30000	0.098	0.195	60684.4	6000.0	24.5	127.346	999	2.5167	2.5299	0.5%	275.1	0.025	0.1385	0.283	3.5%	-22.8	15.47	0.06%
r38-s5	5000	0.335	0.158	113483.3	6000.0	274.1	249.371	783	3.089	6.2993	0.3%	375	0.024	0.0125	0.3	7.9%	-16.1	13.89	0.72%
r38-s5	15000	0.086	0.055	38750.1	6000.0	54.5	238.061	1015	1.5199	1.769	0.4%	159.1	0.025	0.0538	0.261	3.2%	-27.5	18.04	15.76%
r38-s5	30000	0.114	0.208	69719.4	6000.0	59.4	254.857	939	3.4284	2.7705	0.6%	417.9	0.025	0.1487	0.273	2.9%	-23.9	15.62	0.37%

## run-wide, mean and extremes over every sample
arm	mean det patch sd	max det patch sd	at t	mean patch max share	max patch max share	mean corpses	max corpses	at t	mean det deep	max det deep	min detritus J	at t	max detritus J	at t	min matterStanding	max matterStanding
r38-s1	0.0604	0.3050	3500	0.273	0.368	691	1119	17700	2.084	4.785	1750.2	100	119801.9	7100	6000.0	6000.0
r38-s2	0.0895	0.7315	8300	0.275	0.399	1032	1707	29000	2.380	5.036	1162.3	100	123074.4	7300	6000.0	6000.0
r38-s3	0.1128	0.6661	10800	0.277	0.523	1405	2415	15500	3.327	8.757	1310.7	100	196049.6	9100	6000.0	6000.0
r38-s4	0.0765	0.4391	11000	0.272	0.426	826	1688	19600	2.409	7.634	969.4	100	159916.3	10000	6000.0	6000.0
r38-s5	0.0589	0.3125	2500	0.275	0.515	782	1204	17700	2.215	4.460	955.4	100	124825.7	6600	6000.0	6000.0

## comparison, round 37b: mean det patch sd 0.0340 to 0.0577 (s1-5) and 0.0356 to 0.0490 (s6-10); mean patch max share 0.278 to 0.286 (0.25 is even)
