## D6  the joint: seeds holding at least 10 inherited jointed bodies at 30,000 s (0100 predicts 0 to 2 of 5; 37b's rate is three of ten)
arm	jnt inh at end	>=10	jointed at end	peak jnt inh	at t	peak jointed	at t	last t with jnt inh >= 10	first t with jnt inh = 0	samples with jnt inh = 0
r38-s1	0	no	0	73	2700	84	2700	11600	22600	75
r38-s2	0	no	0	92	2100	102	2100	14600	24100	60
r38-s3	0	no	0	226	2300	229	2300	18600	23400	67
r38-s4	1	no	1	195	2300	199	2300	19300	(never)	0
r38-s5	15	yes	15	163	3200	170	3200	30000	(never)	0
count holding >= 10	1 of 5	(0100: 0 to 2 holds; 3 or more is the two-sided reading)

## jnt inh at every 5,000 s
t	r38-s1	r38-s2	r38-s3	r38-s4	r38-s5
5000	47	61	174	166	115
10000	14	61	81	80	52
15000	1	8	44	33	28
20000	1	2	5	6	14
25000	0	0	0	2	13
30000	0	0	0	1	15

## jnt inh at every 1,000 s
t	r38-s1	r38-s2	r38-s3	r38-s4	r38-s5
1000	60	67	149	169	131
2000	71	88	219	191	129
3000	71	81	205	179	137
4000	59	68	200	175	152
5000	47	61	174	166	115
6000	36	53	149	151	87
7000	26	60	136	136	74
8000	22	78	98	119	63
9000	16	72	89	102	60
10000	14	61	81	80	52
11000	10	48	72	66	49
12000	9	37	64	55	42
13000	6	28	52	41	37
14000	3	13	49	35	35
15000	1	8	44	33	28
16000	1	4	39	26	25
17000	1	2	33	22	20
18000	1	2	31	19	16
19000	1	2	9	11	10
20000	1	2	5	6	14
21000	1	2	1	6	12
22000	1	1	1	5	10
23000	0	1	1	4	9
24000	0	1	0	4	14
25000	0	0	0	2	13
26000	0	0	0	2	11
27000	0	0	0	2	12
28000	0	0	0	2	12
29000	0	0	0	1	12
30000	0	0	0	1	15

## comparison, round 37b: seeds 1-5 held 0 / 0 / 8 / 55 / 102 at the end (two seeds >= 10) and seeds 6-10 14 / 0 / 1 / 0 / 0 (one seed), so three of ten; every fresh seed peaked before 3,000 s (174, 110, 77, 121, 29)
