## D4  p3 (the rim ring, a quarter of the disc by area) over alive, 15 to 40% at the three times in 4 of 5
arm	t=5000 p3	alive	share	t=15000 p3	alive	share	t=30000 p3	alive	share	in band 15-40% at all three
r38-s1	382	1606	0.238	397	1635	0.243	414	1597	0.259	yes
r38-s2	386	1487	0.260	384	1569	0.245	393	1602	0.245	yes
r38-s3	357	1339	0.267	336	1463	0.230	407	1641	0.248	yes
r38-s4	394	1610	0.245	413	1716	0.241	376	1642	0.229	yes
r38-s5	428	1425	0.300	397	1663	0.239	445	1633	0.273	yes
count	5 of 5	(holds at 4)

## D4  all four ring counts and shares at the three times
arm	t	alive	p0	p1	p2	p3	s0	s1	s2	s3	sum(p)-alive
r38-s1	5000	1606	400	440	384	382	0.249	0.274	0.239	0.238	0
r38-s1	15000	1635	425	444	369	397	0.260	0.272	0.226	0.243	0
r38-s1	30000	1597	440	383	360	414	0.276	0.240	0.225	0.259	0
r38-s2	5000	1487	353	356	392	386	0.237	0.239	0.264	0.260	0
r38-s2	15000	1569	392	381	412	384	0.250	0.243	0.263	0.245	0
r38-s2	30000	1602	403	389	417	393	0.252	0.243	0.260	0.245	0
r38-s3	5000	1339	256	333	393	357	0.191	0.249	0.294	0.267	0
r38-s3	15000	1463	383	375	369	336	0.262	0.256	0.252	0.230	0
r38-s3	30000	1641	372	397	465	407	0.227	0.242	0.283	0.248	0
r38-s4	5000	1610	437	380	399	394	0.271	0.236	0.248	0.245	0
r38-s4	15000	1716	419	450	434	413	0.244	0.262	0.253	0.241	0
r38-s4	30000	1642	464	420	382	376	0.283	0.256	0.233	0.229	0
r38-s5	5000	1425	262	335	400	428	0.184	0.235	0.281	0.300	0
r38-s5	15000	1663	433	399	434	397	0.260	0.240	0.261	0.239	0
r38-s5	30000	1633	341	408	439	445	0.209	0.250	0.269	0.273	0

## D4  p3 share over the whole run: the extremes and how often outside the band
arm	samples	min share	at t	max share	at t	samples above 0.40	samples below 0.15	of those, samples below 0.15 at t<=4000
r38-s1	300	0.068	100	0.301	2500	0	2	2
r38-s2	300	0.148	2200	0.283	800	0	1	1
r38-s3	300	0.098	100	0.314	2400	0	2	2
r38-s4	300	0.115	200	0.320	1200	0	1	1
r38-s5	300	0.128	600	0.340	400	0	2	2

## D4  p3 share every 1000 s
t	r38-s1	r38-s2	r38-s3	r38-s4	r38-s5
1000	0.183	0.269	0.248	0.228	0.179
2000	0.213	0.279	0.309	0.203	0.254
3000	0.255	0.230	0.201	0.285	0.263
4000	0.258	0.209	0.223	0.254	0.253
5000	0.238	0.260	0.267	0.245	0.300
6000	0.237	0.233	0.236	0.284	0.251
7000	0.252	0.240	0.268	0.250	0.264
8000	0.232	0.240	0.239	0.239	0.266
9000	0.258	0.228	0.236	0.254	0.252
10000	0.255	0.225	0.257	0.244	0.287
11000	0.251	0.255	0.209	0.269	0.283
12000	0.241	0.213	0.248	0.248	0.245
13000	0.239	0.222	0.262	0.241	0.269
14000	0.235	0.246	0.249	0.232	0.237
15000	0.243	0.245	0.230	0.241	0.239
16000	0.230	0.219	0.265	0.249	0.259
17000	0.263	0.226	0.247	0.259	0.260
18000	0.243	0.260	0.232	0.225	0.251
19000	0.204	0.246	0.231	0.234	0.275
20000	0.245	0.218	0.243	0.297	0.270
21000	0.230	0.229	0.274	0.222	0.228
22000	0.219	0.250	0.257	0.242	0.258
23000	0.255	0.214	0.274	0.244	0.239
24000	0.247	0.222	0.275	0.254	0.284
25000	0.259	0.243	0.241	0.261	0.270
26000	0.247	0.231	0.255	0.243	0.246
27000	0.222	0.266	0.293	0.240	0.253
28000	0.248	0.219	0.233	0.267	0.238
29000	0.275	0.249	0.257	0.228	0.270
30000	0.259	0.245	0.248	0.229	0.273

## comparison: round 37b seeds 1 to 5 all fifteen readings 0.194 to 0.270; seeds 6 to 10 all fifteen 0.17 to 0.24; none of the ten above 0.40 at any sample
