arm r38-s3 | run 2026-09-15-020909-30637fb0 | tank r=11.3 m (400 m2), 60 m deep, 4 ring(s)
columns of 1 m: 402 | lineage.jsonl: 16089 births, 78 clades

        t      n      cols    x sd    z sd     nn h    nn 3d   leaf   leaf y   stom   stom y   mixo   mixo y    jnt    jnt y  plain  plain y  clade 1m  jointed  joint y  rigid y
    100.0     41    36/402    4.40    5.01     1.41     3.86     33   -16.53      5   -11.69      0        -      3   -21.49      0        -         0       27   -11.97   -24.64
    200.0     56    47/402    4.12    4.11     1.09     2.48     49    -9.44      5   -14.20      0        -      2    -4.39      0        -         0       38    -8.05   -13.13
    300.0     86    72/402    3.49    5.42     0.67     2.05     80   -11.05      4   -20.03      0        -      2    -3.32      0        -         2       59   -10.88   -12.18
    400.0    106    92/402    5.18    5.52     0.96     1.86    102    -8.58      2   -22.06      0        -      2    -3.55      0        -         8       70    -7.21   -11.71
    500.0    143   119/402    5.57    5.99     0.73     2.04    139    -9.70      1   -13.89      0        -      3    -4.33      0        -         9       94    -8.02   -12.69
    600.0    166   127/402    5.40    5.18     0.68     2.00    163    -9.15      0        -      0        -      3    -3.95      0        -         9      107    -7.31   -12.21
    700.0    223   152/402    4.78    4.30     0.55     1.87    219   -14.12      0        -      0        -      4    -8.97      0        -        15      140   -12.31   -16.91
    800.0    239   171/402    5.62    5.38     0.58     1.76    234   -12.85      0        -      0        -      4    -2.46      1    -0.74        28      143   -11.21   -14.73
    900.0    260   190/402    5.98    5.67     0.55     1.84    256   -11.86      0        -      0        -      3    -0.89      1    -0.86        31      148    -9.97   -13.97
   1000.0    286   205/402    5.70    5.11     0.56     1.68    279    -9.82      0        -      0        -      6    -1.97      1    -0.96        32      154    -8.51   -10.93
   1100.0    337   220/402    5.67    5.27     0.51     1.60    328    -9.46      0        -      0        -      7    -1.79      2    -1.50        48      165    -8.58    -9.90
   1200.0    386   240/402    5.97    5.74     0.47     1.49    377    -9.94      0        -      0        -      7    -2.17      2    -1.09        50      178    -9.65    -9.84
   1300.0    433   256/402    5.48    5.55     0.43     1.54    424   -11.10      0        -      0        -      7    -1.97      2    -1.22        69      192   -11.42   -10.49
   1400.0    492   271/402    5.13    5.39     0.41     1.43    482   -12.55      0        -      0        -      7    -2.34      3    -2.46        92      198   -11.89   -12.65
   1500.0    517   274/402    5.89    5.11     0.40     1.33    507   -12.07      0        -      0        -      7    -2.52      3    -2.48       103      205   -11.72   -12.00
   1600.0    560   276/402    5.89    5.22     0.34     1.37    550   -12.58      0        -      0        -      7    -2.96      3    -3.43       108      210   -12.48   -12.37
   1700.0    575   288/402    5.94    5.41     0.38     1.38    565   -12.17      0        -      0        -      7    -3.44      3    -4.19        95      207   -12.21   -11.92
   1800.0    615   306/402    5.41    5.20     0.36     1.45    605   -13.24      0        -      0        -      7    -5.29      3    -3.53        99      219   -13.46   -12.91
   1900.0    624   301/402    5.74    5.41     0.35     1.39    615   -13.87      0        -      0        -      6    -2.41      3    -3.83       116      218   -14.36   -13.36
   2000.0    648   306/402    6.14    5.88     0.35     1.41    639   -14.27      0        -      0        -      6    -2.65      3    -4.04       149      222   -15.62   -13.33
   2100.0    674   316/402    6.14    5.53     0.33     1.38    665   -14.30      0        -      0        -      6    -2.98      3    -4.42       123      222   -15.82   -13.34
   2200.0    707   320/402    5.67    5.33     0.36     1.35    698   -14.48      0        -      0        -      6    -3.57      3    -3.74       143      212   -15.17   -13.99
   2300.0    743   323/402    5.84    5.52     0.33     1.40    734   -14.48      0        -      0        -      6    -4.08      3    -3.54       157      229   -16.40   -13.44
   2400.0    761   330/402    5.92    5.88     0.33     1.36    751   -15.01      0        -      0        -      7    -8.12      3    -5.26       172      221   -16.12   -14.41
   2500.0    786   331/402    5.60    5.47     0.33     1.38    774   -15.00      0        -      0        -      9   -10.21      3    -7.41       166      224   -16.65   -14.23
   2600.0    822   338/402    5.37    5.66     0.33     1.41    808   -15.91      0        -      0        -      9    -8.42      5   -17.39       163      217   -15.80   -15.85
   2700.0    851   340/402    5.90    5.74     0.31     1.36    836   -16.07      0        -      0        -      9    -8.83      6   -19.89       182      219   -16.20   -15.96
   2800.0    874   345/402    5.68    5.82     0.29     1.38    860   -16.39      0        -      0        -      9    -8.15      5   -17.71       192      221   -16.17   -16.36
