## Radial histogram (eight shells of EQUAL AREA, so a uniform disc reads 0.125 in every one; r/R bounds sqrt(k/8)); R = 11.2838 m
arm	t	n	f0	f1	f2	f3	f4	f5	f6	f7	mean r	median r	n within 0.5 m of glass	share	n within 1 m	share
r38-s1	5000	1606	0.131	0.118	0.134	0.139	0.112	0.129	0.131	0.105	7.431	7.749	115	0.072	246	0.153
r38-s1	15000	1635	0.121	0.138	0.117	0.155	0.115	0.111	0.120	0.122	7.455	7.771	128	0.078	282	0.172
r38-s1	30000	1597	0.133	0.143	0.127	0.113	0.118	0.107	0.132	0.127	7.405	7.854	126	0.079	280	0.175
r38-s2	5000	1487	0.109	0.128	0.127	0.113	0.138	0.127	0.147	0.111	7.614	8.132	107	0.072	247	0.166
r38-s2	15000	1569	0.124	0.125	0.126	0.118	0.127	0.135	0.126	0.119	7.527	8.017	117	0.075	260	0.166
r38-s2	30000	1602	0.130	0.122	0.124	0.119	0.140	0.120	0.131	0.114	7.488	8.030	121	0.076	260	0.162
r38-s3	5000	1339	0.080	0.111	0.117	0.132	0.138	0.155	0.147	0.120	7.896	8.324	103	0.077	230	0.172
r38-s3	15000	1462	0.124	0.138	0.131	0.124	0.122	0.130	0.119	0.111	7.411	7.811	106	0.073	217	0.148
r38-s3	30000	1641	0.107	0.119	0.122	0.120	0.147	0.137	0.123	0.124	7.663	8.183	132	0.080	269	0.164
r38-s4	5000	1609	0.149	0.121	0.129	0.109	0.120	0.127	0.122	0.124	7.403	7.938	131	0.081	270	0.168
r38-s4	15000	1716	0.129	0.115	0.133	0.129	0.134	0.120	0.113	0.126	7.488	7.927	149	0.087	287	0.167
r38-s4	30000	1642	0.134	0.149	0.135	0.122	0.109	0.122	0.115	0.114	7.333	7.578	126	0.077	266	0.162
r38-s5	5000	1425	0.095	0.089	0.109	0.126	0.126	0.154	0.161	0.140	7.947	8.647	129	0.091	261	0.183
r38-s5	15000	1663	0.121	0.140	0.106	0.133	0.134	0.127	0.121	0.117	7.503	7.966	134	0.081	265	0.159
r38-s5	30000	1632	0.095	0.113	0.129	0.121	0.134	0.135	0.147	0.126	7.777	8.247	139	0.085	288	0.176
