## Recorded and not predicted: stillbirths against births (cumulative counts)
arm	t=5000 stillb	births	per 1000 births	t=15000 stillb	births	per 1000 births	t=30000 stillb	births	per 1000 births	end stillb	end births	per 1000 births	crowded at end	max crowded
r38-s1	30	2106	14.25	550	4678	117.57	1146	8838	129.67	1146	8838	129.67	0	0
r38-s2	7	2231	3.14	172	6093	28.23	317	12393	25.58	317	12393	25.58	0	1
r38-s3	10	2731	3.66	98	8972	10.92	214	16011	13.37	214	16011	13.37	0	3
r38-s4	51	2165	23.56	638	5417	117.78	1294	10217	126.65	1294	10217	126.65	0	0
r38-s5	12	2399	5.00	437	5138	85.05	904	9850	91.78	904	9850	91.78	0	1

## comparison: round 37b seeds 1 to 5 stillbirths 12 / 196 / 449 / 201 / 181; seeds 6 to 10 439 / 0 / 130 / 104 / 709; crowded 0 in all ten

## Stillbirths per 1,000 s window against the eaters and the jointed, per seed
t	r38-s1 dStillb	r38-s1 dBirths	r38-s1 per1000	r38-s1 inherit	r38-s1 jnt inh	r38-s2 dStillb	r38-s2 dBirths	r38-s2 per1000	r38-s2 inherit	r38-s2 jnt inh	r38-s3 dStillb	r38-s3 dBirths	r38-s3 per1000	r38-s3 inherit	r38-s3 jnt inh	r38-s4 dStillb	r38-s4 dBirths	r38-s4 per1000	r38-s4 inherit	r38-s4 jnt inh	r38-s5 dStillb	r38-s5 dBirths	r38-s5 per1000	r38-s5 inherit	r38-s5 jnt inh
1000	0	319	0.0	0	60	0	293	0.0	0	67	0	363	0.0	0	149	0	589	0.0	0	169	0	271	0.0	0	131
2000	0	449	0.0	3	71	0	425	0.0	0	88	0	514	0.0	0	219	1	414	2.4	0	191	0	398	0.0	1	129
3000	1	408	2.5	5	71	2	473	4.2	1	81	1	573	1.7	0	205	7	325	21.5	0	179	2	554	3.6	6	137
4000	12	456	26.3	13	59	2	523	3.8	3	68	4	618	6.5	0	200	11	386	28.5	0	175	1	595	1.7	22	152
5000	17	474	35.9	26	47	3	517	5.8	13	61	5	663	7.5	0	174	32	451	71.0	0	166	9	581	15.5	43	115
6000	46	234	196.6	51	36	10	305	32.8	22	53	7	623	11.2	0	149	47	335	140.3	0	151	21	397	52.9	91	87
7000	51	185	275.7	85	26	14	350	40.0	54	60	4	646	6.2	0	136	63	319	197.5	0	136	26	332	78.3	182	74
8000	58	253	229.2	140	22	20	419	47.7	166	78	7	775	9.0	0	98	69	357	193.3	0	119	43	217	198.2	246	63
9000	51	283	180.2	263	16	22	342	64.3	311	72	8	792	10.1	8	89	56	535	104.7	5	102	43	148	290.5	301	60
10000	66	272	242.6	401	14	23	307	74.9	452	61	12	451	26.6	31	81	45	548	82.1	43	80	52	179	290.5	350	52
11000	64	235	272.3	516	10	25	288	86.8	553	48	9	333	27.0	33	72	65	349	186.2	202	66	47	204	230.4	406	49
12000	64	195	328.2	601	9	12	330	36.4	590	37	10	375	26.7	33	64	66	249	265.1	358	55	60	289	207.6	474	42
13000	37	248	149.2	686	6	9	490	18.4	479	28	11	618	17.8	33	52	42	223	188.3	495	41	39	314	124.2	557	37
14000	42	317	132.5	701	3	16	597	26.8	311	13	8	902	8.9	61	49	68	176	386.4	597	35	50	322	155.3	643	35
15000	41	350	117.1	616	1	14	434	32.3	141	8	12	726	16.5	111	44	66	161	409.9	670	33	44	337	130.6	673	28
16000	25	328	76.2	498	1	11	404	27.2	53	4	8	588	13.6	179	39	43	214	200.9	698	26	39	404	96.5	597	25
17000	32	302	106.0	300	1	11	475	23.2	22	2	5	485	10.3	267	33	47	272	172.8	662	22	27	384	70.3	510	20
18000	24	376	63.8	97	1	16	483	33.1	8	2	4	592	6.8	252	31	37	546	67.8	498	19	21	374	56.1	420	16
19000	37	290	127.6	16	1	9	443	20.3	4	2	4	680	5.9	100	9	20	532	37.6	207	11	28	243	115.2	320	10
20000	49	179	273.7	5	1	9	358	25.1	1	2	6	461	13.0	25	5	22	435	50.6	81	6	22	451	48.8	32	14
21000	34	164	207.3	4	1	6	332	18.1	1	2	9	301	29.9	10	1	45	259	173.7	39	6	37	295	125.4	8	12
22000	28	229	122.3	2	1	16	355	45.1	1	1	10	441	22.7	6	1	48	236	203.4	23	5	28	248	112.9	4	10
