== r38-s1  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	absorpt	inherit	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	mat blk	mat short	audit	mat resid	det cv	mat cv	det deep	corpses
  1000	322	208/402	2/402	5.31	83	80	100	59	2	0	60	0.072	0	0	0	0	319	26429	0	0.0000%	0	1.221	0.388	0.4315	98
  2000	748	323/402	5/402	5.41	247	181	161	159	5	3	71	0.0875	0	0	0	0	768	82515	0	0.0000%	0	1.061	0.188	0.5476	121
  3000	1061	344/402	9/402	5.66	244	279	267	271	9	5	71	0.0681	0	0	0	1	1176	103903	0	0.0000%	0	0.59	0.094	1.2052	216
  4000	1332	382/402	16/402	5.83	256	352	381	343	17	13	59	0.0904	0	0	0	13	1632	104086	0	0.0000%	0	0.407	0.122	2.0806	307
  5000	1606	395/402	29/402	5.62	400	440	384	382	31	26	47	0.0686	0	0	0	30	2106	118065	0	0.0000%	0	0.253	0.098	2.8677	492
  6000	1686	398/402	53/402	5.73	408	434	444	400	56	51	36	0.0544	0	0	0	76	2340	124565	0	0.0000%	0	0.171	0.037	3.3845	545
  7000	1699	393/402	83/402	5.73	440	401	430	428	91	85	26	0.0921	0	0	0	127	2525	130039	0	0.0000%	0	0.103	0.063	4.1287	538
  8000	1693	390/402	123/402	5.52	440	431	429	393	146	140	22	0.0793	0	0	0	185	2778	126905	0	0.0000%	0	0.071	0.035	4.4475	599
  9000	1701	389/402	192/402	5.80	410	413	439	439	269	263	16	0.0748	0	0	0	236	3061	123344	0	0.0000%	0	0.084	0.018	4.1498	724
  10000	1704	392/402	243/402	5.67	419	426	425	434	407	401	14	0.0716	0	0	0	302	3333	121838	0	0.0000%	0	0.107	0.091	3.4557	815
  11000	1715	397/402	295/402	5.64	432	427	426	430	522	516	10	0.0798	0	0	0	366	3568	115407	0	0.0000%	0	0.14	0.083	2.742	771
  12000	1720	394/402	308/402	5.56	442	430	434	414	606	601	9	0.0894	0	0	0	430	3763	109173	0	0.0000%	0	0.157	0.038	1.9293	681
  13000	1698	398/402	330/402	5.54	414	446	432	406	691	686	6	0.0682	0	0	0	467	4011	93199	0	0.0000%	0	0.153	0.014	1.5672	679
