## Bodies below the configured depth of 45 m, which the positions reader's plot clips away. The floor reaches about -60 m on the deep arc, so this water exists.
arm	t	living	below -45 m	share	deepest body m	leaves below -45	stomachs below -45
r39-s1	5000	1692	6	0.0035	-48.01	6	0
r39-s1	15000	1915	44	0.0230	-56.27	4	40
r39-s1	30000	1920	68	0.0354	-54.84	24	44
r39-s2	5000	1567	1	0.0006	-46.63	1	0
r39-s2	15000	2106	8	0.0038	-49.01	3	5
r39-s2	30000	2276	111	0.0488	-55.99	20	91
r39-s3	5000	2285	8	0.0035	-53.02	8	0
r39-s3	15000	2652	120	0.0452	-54.08	73	47
r39-s3	30000	2523	23	0.0091	-51.98	23	0
r39-s4	5000	2502	12	0.0048	-50.70	12	0
r39-s4	15000	2598	44	0.0169	-55.52	37	7
r39-s4	30000	2549	69	0.0271	-54.32	68	1
r39-s5	5000	2414	34	0.0141	-52.10	34	0
r39-s5	15000	2656	121	0.0456	-56.50	102	19
r39-s5	30000	2714	95	0.0350	-55.43	95	0
