## Recorded, not predicted: the crowd's depth band, its height above its own floor, and its centre along the tilt (s > 0 toward the shallow arc), per guild.
arm	t	guild	n	median y m	q1 y	q3 y	median above floor m	q1 above	q3 above	median s m	q1 s	q3 s
r39-s1	5000	all	1692	-16.71	-25.09	-8.62	28.314	19.977	36.820	-3.484	-12.282	7.305
r39-s1	5000	leaf	1691	-16.71	-25.09	-8.62	28.307	19.963	36.821	-3.483	-12.284	7.309
r39-s1	5000	stomach	1	-19.06	-19.06	-19.06	30.495	30.495	30.495	-7.199	-7.199	-7.199
r39-s1	5000	jointed	59	-15.37	-22.77	-8.45	30.840	22.726	40.885	-7.305	-14.431	1.911
r39-s1	15000	all	1915	-21.41	-30.81	-11.54	25.158	15.783	34.509	-4.377	-13.733	7.084
r39-s1	15000	leaf	1314	-18.66	-27.66	-9.72	27.513	18.474	35.904	-4.734	-14.196	7.116
r39-s1	15000	stomach	601	-27.06	-35.37	-16.49	18.246	8.695	28.947	-3.646	-12.446	6.727
r39-s1	15000	jointed	0	-	-	-	-	-	-	-	-	-
r39-s1	30000	all	1920	-20.74	-30.73	-10.64	24.204	14.491	34.209	-2.165	-11.930	8.543
r39-s1	30000	leaf	1492	-18.45	-28.30	-8.79	26.232	16.955	35.892	-1.744	-11.438	8.770
r39-s1	30000	stomach	428	-28.31	-37.82	-18.95	17.183	9.506	26.443	-3.864	-14.349	7.481
r39-s1	30000	jointed	0	-	-	-	-	-	-	-	-	-
r39-s2	5000	all	1567	-11.11	-22.91	-2.95	32.709	23.244	44.622	-5.535	-15.788	7.595
r39-s2	5000	leaf	1559	-11.03	-22.86	-2.92	32.760	23.342	44.708	-5.535	-15.791	7.595
r39-s2	5000	stomach	6	-32.86	-34.53	-28.99	18.286	10.096	19.405	-13.729	-14.129	9.565
r39-s2	5000	jointed	80	-9.93	-22.86	-2.19	36.482	24.231	45.690	-5.617	-15.427	4.516
r39-s2	15000	all	2106	-16.34	-28.65	-3.84	28.254	16.692	43.868	-5.072	-15.269	6.119
r39-s2	15000	leaf	1921	-15.94	-28.49	-3.22	28.779	16.624	44.808	-5.241	-15.507	5.980
r39-s2	15000	stomach	184	-19.55	-29.84	-11.34	25.019	17.132	33.094	-3.561	-13.315	8.885
r39-s2	15000	jointed	1	-0.04	-0.04	-0.04	54.089	54.089	54.089	-15.990	-15.990	-15.990
r39-s2	30000	all	2276	-19.88	-32.38	-5.42	25.476	12.687	39.416	-5.058	-15.133	6.400
r39-s2	30000	leaf	1302	-9.88	-26.36	-1.59	34.525	19.830	47.252	-6.989	-16.389	4.876
r39-s2	30000	stomach	973	-28.32	-38.04	-18.65	16.724	8.060	27.171	-3.045	-12.871	7.980
r39-s2	30000	jointed	0	-	-	-	-	-	-	-	-	-
r39-s3	5000	all	2285	-6.04	-18.65	-2.15	38.377	26.214	48.871	-6.593	-15.696	5.595
r39-s3	5000	leaf	2271	-6.00	-18.68	-2.13	38.279	26.198	48.893	-6.468	-15.685	5.618
r39-s3	5000	stomach	10	-7.02	-11.93	-6.10	44.766	31.042	47.319	-13.918	-15.724	-11.354
r39-s3	5000	jointed	201	-5.60	-15.67	-1.41	38.396	26.937	48.093	-3.225	-12.941	7.713
r39-s3	15000	all	2652	-18.40	-31.06	-5.56	27.021	13.889	39.842	-4.122	-13.807	7.186
r39-s3	15000	leaf	2299	-16.08	-28.59	-3.89	28.950	15.808	41.631	-4.505	-13.941	6.610
r39-s3	15000	stomach	353	-32.25	-39.72	-21.10	12.506	4.966	23.920	-2.535	-11.910	9.370
r39-s3	15000	jointed	68	-3.27	-11.63	-0.98	40.053	30.301	48.699	-1.976	-14.209	7.465
r39-s3	30000	all	2523	-19.25	-29.18	-8.93	26.166	16.491	36.336	-4.069	-14.476	7.499
r39-s3	30000	leaf	2522	-19.26	-29.19	-8.92	26.164	16.488	36.337	-4.066	-14.481	7.509
r39-s3	30000	stomach	0	-	-	-	-	-	-	-	-	-
r39-s3	30000	jointed	1	-2.30	-2.30	-2.30	37.344	37.344	37.344	10.147	10.147	10.147
r39-s4	5000	all	2502	-9.98	-19.37	-2.28	34.687	25.611	43.816	-3.331	-13.270	6.683
r39-s4	5000	leaf	2497	-9.98	-19.39	-2.30	34.662	25.607	43.810	-3.323	-13.259	6.687
r39-s4	5000	stomach	2	-16.12	-16.19	-16.04	30.756	27.130	34.381	-2.781	-9.260	3.698
r39-s4	5000	jointed	290	-10.23	-22.90	-2.17	33.822	21.341	45.398	-5.934	-14.402	6.422
r39-s4	15000	all	2598	-16.95	-26.89	-5.84	29.235	17.823	40.392	-4.482	-14.162	6.166
r39-s4	15000	leaf	2539	-16.54	-26.53	-5.48	29.568	18.402	40.560	-4.648	-14.213	5.967
r39-s4	15000	stomach	55	-32.23	-41.84	-25.89	8.620	5.562	12.134	6.039	-6.352	13.326
r39-s4	15000	jointed	71	-3.09	-14.75	-0.89	38.366	30.658	52.202	-7.514	-17.589	2.119
r39-s4	30000	all	2549	-16.87	-27.73	-7.37	27.632	16.778	38.490	-2.946	-12.964	8.570
r39-s4	30000	leaf	2544	-16.88	-27.73	-7.36	27.626	16.777	38.494	-2.940	-12.962	8.594
r39-s4	30000	stomach	4	-12.52	-23.14	-10.10	30.141	22.370	35.853	-5.494	-15.755	4.158
r39-s4	30000	jointed	0	-	-	-	-	-	-	-	-	-
r39-s5	5000	all	2414	-14.24	-25.13	-5.94	31.207	20.476	40.077	-4.488	-14.058	8.162
r39-s5	5000	leaf	2411	-14.25	-25.12	-5.95	31.204	20.463	40.074	-4.442	-14.062	8.171
r39-s5	5000	stomach	2	-20.82	-24.15	-17.49	29.994	27.060	32.928	-10.853	-11.379	-10.327
r39-s5	5000	jointed	204	-13.74	-24.92	-5.88	31.720	21.199	40.460	-5.410	-15.166	6.380
r39-s5	15000	all	2656	-20.73	-32.18	-8.96	24.766	13.391	35.618	-3.266	-12.989	7.334
r39-s5	15000	leaf	2534	-20.08	-31.56	-8.57	25.455	14.101	36.241	-3.213	-13.076	7.322
r39-s5	15000	stomach	118	-32.84	-41.10	-26.09	11.621	6.458	18.336	-4.622	-12.704	8.884
r39-s5	15000	jointed	10	-11.38	-21.08	-0.52	31.242	20.493	35.794	9.616	-0.158	15.932
r39-s5	30000	all	2714	-20.71	-31.54	-10.45	24.447	14.489	34.881	-3.253	-13.422	7.568
r39-s5	30000	leaf	2710	-20.75	-31.56	-10.46	24.437	14.478	34.860	-3.275	-13.430	7.590
r39-s5	30000	stomach	0	-	-	-	-	-	-	-	-	-
r39-s5	30000	jointed	0	-	-	-	-	-	-	-	-	-
