## E1  the matter decides the crowd, not the water: alive at 30,000 s between 2,080 and 4,460 in 4 of 5, and births by 1,000 s at least 40 in every seed. Round 38 read 1,597 to 1,642, mean 1,623.
arm	alive at 30000	in 2080-4460	births by 1000 s	>= 40	alive at 5000	ratio to r38 mean	peak alive	at	min alive after 5000	max alive after 5000
r39-s1	1920	NO	380	yes	1693	1.183	2035	27500	1693	2035
r39-s2	2276	yes	313	yes	1567	1.402	2281	29900	1567	2281
r39-s3	2523	yes	654	yes	2286	1.555	2679	19000	2262	2679
r39-s4	2550	yes	745	yes	2502	1.571	2703	8600	2349	2703
r39-s5	2714	yes	491	yes	2416	1.672	2732	27200	2416	2732
count	alive in band 4 of 5 (bar 4)	births >= 40 5 of 5 (bar 5)

## E1's companion reading: the matter against the births over the first 3,000 s. mat blk is a per-window count of blocked conceptions and scales with the population, so it is read against births in the same window (CLAUDE.md).
arm	t	births in window	mat blk in window	blocked per birth	mat short	mat here	mat cv	mat resid
r39-s1	100	7	736	105.1	0	0.093	0.054	0
r39-s1	200	12	954	79.5	0	0.091	0.105	0
r39-s1	300	21	2316	110.3	0	0.085	0.113	0
r39-s1	400	31	3774	121.7	0	0.072	0.153	0
r39-s1	500	40	7955	198.9	0	0.068	0.173	0
r39-s1	600	46	13519	293.9	0	0.061	0.18	0
r39-s1	700	44	21093	479.4	0	0.054	0.181	0
r39-s1	800	50	28831	576.6	0	0.049	0.173	0
r39-s1	900	61	34959	573.1	0	0.039	0.183	0
r39-s1	1000	68	40759	599.4	0	0.034	0.184	0
r39-s1	1100	71	48781	687.1	0	0.028	0.193	0
r39-s1	1200	55	61000	1109.1	0	0.03	0.173	0
r39-s1	1300	51	74456	1459.9	0	0.028	0.153	0
r39-s1	1400	51	84083	1648.7	0	0.024	0.138	0
r39-s1	1500	40	92246	2306.2	0	0.028	0.123	0
r39-s1	1600	43	99724	2319.2	0	0.027	0.106	0
r39-s1	1700	34	105269	3096.1	0	0.026	0.081	0
r39-s1	1800	35	110449	3155.7	0	0.026	0.066	0
r39-s1	1900	28	116652	4166.1	0	0.026	0.058	0
r39-s1	2000	29	120509	4155.5	0	0.026	0.052	0
r39-s1	2100	32	125434	3919.8	0	0.026	0.048	0
r39-s1	2200	32	128855	4026.7	0	0.026	0.053	0
r39-s1	2300	24	130535	5439.0	0	0.025	0.05	0
r39-s1	2400	24	131530	5480.4	0	0.025	0.044	0
r39-s1	2500	32	132992	4156.0	0	0.026	0.043	0
r39-s1	2600	36	135801	3772.2	0	0.026	0.052	0
r39-s1	2700	26	139028	5347.2	0	0.025	0.037	0
r39-s1	2800	27	141640	5245.9	0	0.025	0.048	0
r39-s1	2900	29	143895	4961.9	0	0.026	0.044	0
r39-s1	3000	37	147005	3973.1	0	0.026	0.054	0
r39-s2	100	5	717	143.4	0	0.095	0.063	0
