## E3  the sediment gathers where the floor is low: floor low % above the lowest quarter's own share of the disc at 15,000 and 30,000 s in 4 of 5, and the floor stock's lowest decile at least twice the highest decile's. The disc share is computed from the rebuilt map (bed-map.tsv): the fraction of the 2,211 live 1 m columns whose floor is in the lowest quarter of the floor's own range, which is the same rule EvolutionRun uses on the stock.
arm	disc lowest-quarter share	floor low % 15000	above share	floor low % 30000	above share	E3a both times	floor J 15000	floor J 30000	% on floor 15000	% on floor 30000	lowest decile 30000	highest decile 30000	ratio low/high	E3b ratio >= 2	lowest decile 15000	highest decile 15000	ratio 15000
r39-s1	17.91%	24.6%	yes	23.9%	yes	yes	2482.7	3015.7	0.5%	0.5%	0.1464	0.0922	1.59	NO	0.1530	0.0870	1.76
r39-s2	20.13%	22.4%	yes	27.2%	yes	yes	3367.5	2463.2	0.5%	0.4%	0.1518	0.0754	2.01	yes	0.1181	0.0991	1.19
r39-s3	18.72%	24.5%	yes	21.9%	yes	yes	13644.9	4780.2	0.7%	0.7%	0.1231	0.0884	1.39	NO	0.1435	0.0939	1.53
r39-s4	19.72%	24.5%	yes	23.1%	yes	yes	13161.3	3339.1	0.8%	0.6%	0.1263	0.0999	1.26	NO	0.1335	0.0872	1.53
r39-s5	18.54%	23.4%	yes	23.1%	yes	yes	11063.6	4706.9	0.6%	0.8%	0.1349	0.0874	1.54	NO	0.1383	0.0910	1.52
count	E3a 5 of 5 (bar 4)	E3b 1 of 5

## the whole decile profile, lowest tenth of the columns first (a tenth each if the sediment ignored the floor's shape)
arm	t	d1	d2	d3	d4	d5	d6	d7	d8	d9	d10
r39-s1	15000	0.1530	0.1160	0.1027	0.0973	0.0946	0.0930	0.0880	0.0861	0.0824	0.0870
r39-s1	30000	0.1464	0.1166	0.1011	0.0917	0.0922	0.0928	0.0921	0.0901	0.0848	0.0922
r39-s2	15000	0.1181	0.1053	0.1012	0.0992	0.0980	0.0968	0.0934	0.0935	0.0955	0.0991
r39-s2	30000	0.1518	0.1195	0.1068	0.0977	0.0935	0.0947	0.0906	0.0899	0.0802	0.0754
r39-s3	15000	0.1435	0.1158	0.1044	0.0975	0.0920	0.0906	0.0887	0.0866	0.0870	0.0939
r39-s3	30000	0.1231	0.1100	0.1049	0.1014	0.0989	0.0972	0.0948	0.0922	0.0890	0.0884
r39-s4	15000	0.1335	0.1150	0.1065	0.1023	0.0978	0.0934	0.0894	0.0877	0.0871	0.0872
r39-s4	30000	0.1263	0.1078	0.1000	0.0970	0.0944	0.0929	0.0925	0.0937	0.0956	0.0999
r39-s5	15000	0.1383	0.1119	0.1021	0.0986	0.0952	0.0929	0.0902	0.0898	0.0899	0.0910
r39-s5	30000	0.1349	0.1117	0.1043	0.1015	0.0985	0.0944	0.0906	0.0889	0.0879	0.0874

## floor low % at every 1,000 s, against each seed's own disc share
arm	disc share %	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000	25000	26000	27000	28000	29000	30000
r39-s1	17.91	5.6	11.9	8.4	18.1	17.7	17.2	18.4	19.1	20.4	21.0	21.5	24.0	27.1	28.3	24.6	20.8	20.3	20.2	20.0	20.1	20.3	20.4	20.5	21.3	20.2	22.5	24.2	23.5	27.0	23.9
r39-s2	20.13	10.0	10.7	11.7	16.7	15.7	17.0	18.4	22.4	21.7	21.8	23.9	25.0	25.6	25.6	22.4	23.0	23.0	22.7	22.3	22.7	22.5	23.7	24.6	24.6	27.1	28.6	28.8	28.1	27.6	27.2
r39-s3	18.72	3.0	12.1	18.9	18.1	17.8	18.2	18.9	19.5	20.4	20.7	22.1	23.2	23.2	24.5	24.5	24.6	26.1	26.5	29.3	28.3	26.2	25.8	25.3	23.5	22.0	20.3	20.5	21.1	20.8	21.9
r39-s4	19.72	8.9	14.2	13.3	12.0	16.5	17.8	19.3	21.0	23.4	23.3	23.1	23.9	23.7	23.5	24.5	25.6	27.8	25.9	24.3	25.9	27.2	28.6	28.0	28.5	29.3	27.0	24.1	23.3	22.9	23.1
r39-s5	18.54	6.6	5.8	10.3	16.4	15.3	18.4	19.5	19.9	20.6	21.6	22.0	22.1	23.2	22.3	23.4	24.7	27.2	28.2	27.3	27.5	28.0	23.1	21.8	21.6	21.9	22.3	22.4	22.8	22.7	23.1
