## Recorded and not predicted, from the table. Round 38's figures (0101) are in the note on each block and are not recomputed.

## the jointed count's course: jnt inh at every 1,000 s (r38 peaked 73 to 226 by 3,200 s and ended 0/0/0/1/15)
arm	1000	2000	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000	15000	16000	17000	18000	19000	20000	21000	22000	23000	24000	25000	26000	27000	28000	29000	30000
r39-s1	88	90	87	76	51	32	22	9	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
r39-s2	71	73	73	69	68	62	47	36	27	24	15	7	2	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
r39-s3	213	218	213	192	185	174	166	160	146	140	128	116	104	82	67	57	47	38	32	26	14	6	2	1	1	1	1	1	1	1
r39-s4	355	350	318	299	282	262	243	219	190	171	150	128	106	86	71	58	49	39	33	26	18	6	1	1	1	0	0	0	0	0
r39-s5	170	208	207	200	187	165	144	115	86	71	49	31	19	12	8	6	5	4	4	3	3	2	1	1	1	0	0	0	0	0

arm	jnt inh peak	at	jointed peak	at	jnt inh at end	jointed at end	jointed % at end	seeds holding >= 10 inherited jointed at the end
r39-s1	90	1100	102	1200	0	0	0%	no
r39-s2	73	1500	90	1500	0	0	0%	no
r39-s3	222	1200	245	1200	1	1	0%	no
r39-s4	371	1300	386	1300	0	0	0%	no
r39-s5	212	1800	236	1800	0	0	0%	no

## stillbirths and corpses (r38: stillbirths 214 to 1,294 per seed, 13 to 130 per 1,000 births; corpses 488 to 2,355 standing)
arm	stillb 5000	stillb 15000	stillb at end	births at end	per 1000 births	crowded at end	corpses 5000	corpses 15000	corpses 30000	max corpses	at
r39-s1	3	108	208	17182	12.1	0	418	1744	1802	2399	10700
r39-s2	0	1	2	13792	0.1	0	289	1562	1208	2201	20200
r39-s3	1	33	58	10997	5.3	0	561	777	933	2394	25900
r39-s4	62	636	1170	11477	101.9	0	224	1068	919	1896	27000
r39-s5	81	1247	2556	9919	257.7	0	273	895	750	1543	22900

## the water and the larder (r38: mean m/s 0.075 to 0.080, still the water's; refuge J fell from 450-1,049 to 83-185)
arm	mean m/s 5000	mean m/s 15000	mean m/s 30000	detritus J 5000	detritus J 15000	detritus J 30000	max detritus J	at	refuge J 15000	refuge J 30000	det deep 15000	det deep 30000	depth m 15000	depth m 30000	floor con 15000	floor con 30000
r39-s1	0.0796	0.098	0.0956	210261.6	99930.2	124459.9	350313.7	10000	539.4	623.8	0.8741	1.1783	-21.4	-21.1	2.068	2.064
r39-s2	0.0749	0.0897	0.0644	301418.1	147737.2	138975.9	469833.1	8500	785.5	565.7	1.4064	0.9792	-17.2	-20.3	5.079	4.916
r39-s3	0.0635	0.0582	0.1062	282595.5	446803.7	167749.2	482750.1	12400	2906.7	1162.2	4.6739	1.7544	-19.5	-19.5	5.256	2.608
r39-s4	0.0944	0.0875	0.0763	215034.8	370532.5	124245.2	370911.9	15300	2835.2	717.7	4.8529	1.2118	-17.5	-18.3	6.552	4.335
r39-s5	0.0677	0.0765	0.0746	235689.3	358485.5	138719.2	378397	13400	2198.7	1083.2	3.6697	1.797	-21.2	-21.3	3.835	2.367

## the cycle: local extrema of alive over t >= 5,000 (a sample extreme in its +-1500 s window). r38 read a peak-to-trough amplitude of 1.10 to 1.23.
arm	kind	t	alive	p3 share	depth m	inherit	jnt inh	shade %	det cv
r39-s1	trough	5000	1693	0.225	-17.6	0	51	3.4%	0.211
r39-s1	peak	7500	1937	0.216	-20.1	1	15	3.3%	0.074
r39-s1	trough	11000	1868	0.236	-21.7	244	0	2.5%	0.133
r39-s1	peak	14200	2006	0.237	-22.3	792	0	2.6%	0.246
r39-s1	trough	17000	1744	0.236	-19.5	20	0	2.3%	0.082
r39-s1	peak	20300	1902	0.279	-20.9	0	0	2.5%	0.093
r39-s1	trough	21200	1774	0.219	-18.3	2	0	2.4%	0.111
r39-s1	peak	22600	1890	0.225	-20	10	0	2.5%	0.123
r39-s1	peak	27500	2035	0.224	-21.5	398	0	2.7%	0.155
r39-s1	trough	30000	1920	0.232	-21.1	425	0	2.5%	0.189
r39-s2	trough	5000	1567	0.339	-13.4	3	68	4.3%	0.387
r39-s2	peak	13300	2200	0.303	-17.1	577	1	3.9%	0.456
r39-s2	trough	16200	2054	0.297	-16.4	39	1	3.3%	0.321
r39-s2	peak	17200	2105	0.300	-17.4	13	1	3.5%	0.253
r39-s2	peak	17500	2105	0.324	-17.2	9	0	3.5%	0.235
r39-s2	peak	17900	2105	0.333	-16.9	7	0	3.3%	0.212
r39-s2	trough	20700	1999	0.313	-16.6	4	0	3%	0.132
r39-s2	peak	21600	2069	0.277	-16.7	15	0	3.2%	0.112
r39-s2	peak	29900	2281	0.267	-20.2	987	0	3.1%	0.549
r39-s3	trough	5000	2286	0.281	-11.2	6	185	4.1%	0.463
r39-s3	peak	11900	2671	0.277	-18.2	113	117	3%	0.141
r39-s3	trough	13900	2647	0.252	-19.1	246	84	2.7%	0.146
r39-s3	peak	16400	2666	0.272	-19.8	533	55	2.5%	0.146
r39-s3	trough	17400	2648	0.251	-20.2	668	44	2.5%	0.137
r39-s3	peak	19000	2679	0.275	-21.3	930	32	2.3%	0.137
r39-s3	trough	20000	2664	0.255	-21.7	1067	26	2.2%	0.122
r39-s3	trough	25200	2262	0.260	-20.5	140	1	1.7%	0.094
r39-s3	peak	30000	2523	0.270	-19.5	0	1	2.1%	0.106
r39-s4	trough	5000	2502	0.271	-12.3	0	282	2.4%	0.292
r39-s4	peak	8600	2703	0.259	-17.4	0	204	2.1%	0.096
r39-s4	trough	12600	2601	0.276	-17	7	113	1.5%	0.179
r39-s4	trough	14800	2592	0.274	-17.1	42	72	1.4%	0.226
r39-s4	peak	17200	2636	0.303	-18.8	197	49	1.2%	0.198
r39-s4	trough	20900	2592	0.276	-19.9	692	19	1.2%	0.147
r39-s4	peak	23300	2620	0.268	-20.4	965	1	1.2%	0.146
r39-s4	trough	26500	2349	0.289	-17.9	75	0	1%	0.11
r39-s4	peak	30000	2550	0.255	-18.3	0	0	1.2%	0.098
r39-s5	trough	5000	2416	0.275	-16.5	0	187	3.2%	0.294
r39-s5	peak	10600	2725	0.261	-20	4	61	2%	0.14
r39-s5	trough	18100	2573	0.248	-21	445	4	1.2%	0.159
r39-s5	peak	20400	2613	0.231	-21.6	569	3	1.3%	0.143
r39-s5	trough	21800	2535	0.241	-21.3	170	2	1%	0.105
r39-s5	peak	27200	2732	0.255	-21.4	0	0	0.9%	0.187
r39-s5	peak	29200	2729	0.264	-21	0	0	0.9%	0.209
r39-s5	trough	30000	2714	0.255	-21.3	0	0	0.9%	0.207

arm	max alive after 5000	min alive after 5000	peak-to-trough
r39-s1	2035	1693	1.202
r39-s2	2281	1567	1.456
r39-s3	2679	2262	1.184
r39-s4	2703	2349	1.151
r39-s5	2732	2416	1.131
