## The growth dials at 5,000, 15,000 and 30,000 s, with the inherited eater count beside them.
arm	t	adult scale	invest	brood	body frac	age s	gen max	inherit	alive
r39-s1	5000	0.685	0.36	2.477	0.923	2237.6	17	0	1693
r39-s1	15000	0.605	0.279	2.526	0.896	3549.8	21	598	1915
r39-s1	30000	0.607	0.271	2.618	0.912	3570.2	26	425	1920
r39-s2	5000	0.761	0.27	3.601	0.946	2178.7	18	3	1567
r39-s2	15000	0.722	0.226	3.847	0.877	5162.9	23	184	2106
r39-s2	30000	0.771	0.266	3.44	0.95	4735.9	26	973	2276
r39-s3	5000	0.417	0.481	2.1	0.988	2371.9	20	6	2286
r39-s3	15000	0.35	0.464	2.093	0.986	8209.4	21	351	2653
r39-s3	30000	0.324	0.44	2.178	0.981	5334.3	24	0	2523
r39-s4	5000	0.362	0.61	1.287	0.999	2645.5	16	0	2502
r39-s4	15000	0.302	0.578	1.312	0.993	7007.8	20	52	2599
r39-s4	30000	0.296	0.524	1.371	0.989	5653.8	23	0	2550
r39-s5	5000	0.388	0.681	1.505	0.993	2348.6	18	0	2416
r39-s5	15000	0.306	0.706	1.303	0.998	7188.3	19	118	2657
r39-s5	30000	0.285	0.731	1.041	0.998	6856.9	22	0	2714

## round 38 at 30,000 s, for the comparison
arm	adult scale	invest	brood	body frac	age s	gen max	inherit	alive
r38-s1	0.269	0.883	1.111	1	5490.6	22	2	1597
r38-s2	0.258	0.583	1.528	0.991	4941.5	20	300	1602
r38-s3	0.258	0.502	1.334	0.973	4784.6	21	11	1641
r38-s4	0.262	0.859	1.143	1	5396.8	24	2	1642
r38-s5	0.243	0.778	1.078	0.996	5831	20	4	1633
