## Round 38's bodies within 2 m of its flat floor, at 5,000, 15,000 and 30,000 s, recomputed from runs/r38-s*/.../positions.jsonl by this read's own rule.
arm	depth m	t	living	within 2 m of the floor	share
r38-s1	60	5000	1606	2	0.0012
r38-s1	60	15000	1635	39	0.0239
r38-s1	60	30000	1597	9	0.0056
r38-s2	60	5000	1487	0	0.0000
r38-s2	60	15000	1569	4	0.0025
r38-s2	60	30000	1602	21	0.0131
r38-s3	60	5000	1339	3	0.0022
r38-s3	60	15000	1462	14	0.0096
r38-s3	60	30000	1641	2	0.0012
r38-s4	60	5000	1609	2	0.0012
r38-s4	60	15000	1716	49	0.0286
r38-s4	60	30000	1642	23	0.0140
r38-s5	60	5000	1425	3	0.0021
r38-s5	60	15000	1663	60	0.0361
r38-s5	60	30000	1632	8	0.0049
## t=5000: 0.00% to 0.22%, mean 0.14%, median 0.12%
## t=15000: 0.25% to 3.61%, mean 2.01%, median 2.39%
## t=30000: 0.12% to 1.40%, mean 0.78%, median 0.56%
## 0102 quotes 0.3 to 3.6 per cent, mean 1.4, at 15,000 s and sets E10 at four times that mean, 5.6. The range reproduces; the mean does not. Four times the recomputed mean would be 8.05 per cent.
