## The exact three-dimensional and horizontal nearest-neighbour medians at the three times, both rounds, computed here rather than sampled.
round	arm	t	living	nn 3d m	nn horizontal m	water m3	bodies per 1000 m3
r39	r39-s1	5000	1692	1.8152	0.4974	99000	17.09
r39	r39-s1	15000	1915	1.9637	0.5016	99000	19.34
r39	r39-s1	30000	1920	1.9627	0.4795	99000	19.39
r39	r39-s2	5000	1567	1.7849	0.5284	99000	15.83
r39	r39-s2	15000	2106	1.7298	0.4707	99000	21.27
r39	r39-s2	30000	2276	1.8477	0.4519	99000	22.99
r39	r39-s3	5000	2285	1.4428	0.4305	99000	23.08
r39	r39-s3	15000	2652	1.8040	0.4225	99000	26.79
r39	r39-s3	30000	2523	1.7469	0.4238	99000	25.48
r39	r39-s4	5000	2502	1.5513	0.4220	99000	25.27
r39	r39-s4	15000	2598	1.7131	0.4253	99000	26.24
r39	r39-s4	30000	2549	1.7388	0.4272	99000	25.75
r39	r39-s5	5000	2414	1.6368	0.4174	99000	24.38
r39	r39-s5	15000	2656	1.7965	0.4329	99000	26.83
r39	r39-s5	30000	2714	1.7421	0.4139	99000	27.41
r38	r38-s1	5000	1606	1.2257	0.2236	24000	66.92
r38	r38-s1	15000	1635	1.3109	0.2280	24000	68.12
r38	r38-s1	30000	1597	1.3111	0.2247	24000	66.54
r38	r38-s2	5000	1487	1.2227	0.2417	24000	61.96
r38	r38-s2	15000	1569	1.2575	0.2341	24000	65.38
r38	r38-s2	30000	1602	1.3425	0.2402	24000	66.75
r38	r38-s3	5000	1339	1.2774	0.2441	24000	55.79
r38	r38-s3	15000	1462	1.3782	0.2521	24000	60.92
r38	r38-s3	30000	1641	1.2735	0.2309	24000	68.38
r38	r38-s4	5000	1609	1.2330	0.2343	24000	67.04
r38	r38-s4	15000	1716	1.3515	0.2247	24000	71.50
r38	r38-s4	30000	1642	1.2743	0.2343	24000	68.42
r38	r38-s5	5000	1425	1.0939	0.2470	24000	59.38
r38	r38-s5	15000	1663	1.3595	0.2419	24000	69.29
r38	r38-s5	30000	1632	1.2931	0.2293	24000	68.00

## matched abundance: for each round 39 anchor, the round 38 anchor whose living count is nearest. The water is 99,000 m3 against 24,000, so at equal counts the spacing would go as the cube root of 4.125, 1.60.
arm	t	r39 n	control	control t	control n	abundance gap	within 15%	r39 nn 3d	control nn 3d	ratio
r39-s1	5000	1692	r38-s4	15000	1716	0.014	yes	1.8152	1.3515	1.343
r39-s1	15000	1915	r38-s4	15000	1716	0.104	yes	1.9637	1.3515	1.453
r39-s1	30000	1920	r38-s4	15000	1716	0.106	yes	1.9627	1.3515	1.452
r39-s2	5000	1567	r38-s2	15000	1569	0.001	yes	1.7849	1.2575	1.419
r39-s2	15000	2106	r38-s4	15000	1716	0.185	no	1.7298	1.3515	1.280
r39-s2	30000	2276	r38-s4	15000	1716	0.246	no	1.8477	1.3515	1.367
r39-s3	5000	2285	r38-s4	15000	1716	0.249	no	1.4428	1.3515	1.068
r39-s3	15000	2652	r38-s4	15000	1716	0.353	no	1.8040	1.3515	1.335
r39-s3	30000	2523	r38-s4	15000	1716	0.320	no	1.7469	1.3515	1.293
r39-s4	5000	2502	r38-s4	15000	1716	0.314	no	1.5513	1.3515	1.148
r39-s4	15000	2598	r38-s4	15000	1716	0.339	no	1.7131	1.3515	1.268
r39-s4	30000	2549	r38-s4	15000	1716	0.327	no	1.7388	1.3515	1.287
r39-s5	5000	2414	r38-s4	15000	1716	0.289	no	1.6368	1.3515	1.211
r39-s5	15000	2656	r38-s4	15000	1716	0.354	no	1.7965	1.3515	1.329
r39-s5	30000	2714	r38-s4	15000	1716	0.368	no	1.7421	1.3515	1.289
## the ratio over the fifteen anchors: 1.068 to 1.453, mean 1.303
