## E8  the pace is the grid's: wall seconds per 1,000 simulated seconds per 1,000 living bodies between 1,340 and 3,120 (1.5 to 3.5 of round 38's five-seed mean of 889.7). Round 38 read 774.4 / 856.1 / 872.2 / 993.1 / 952.9 (r38-read/pace.tsv).
round	arm	startedAt (UTC)	endedAt (UTC)	status	wall s	simulated s	s per 1000 sim s	mean alive	s per 1000 sim s per 1000 bodies	ratio to r38 mean	in 1340-3120	footer wall minutes	footer timesRealTime	wall split line in the footer	worker
r39	r39-s1	2026-09-15T21:34:27	2026-09-16T13:17:02	ended	56555	30000	1885.2	1730	1089.4	1.224	NO	942.566853655	0.530466351602696	absent	unity-w2
r39	r39-s2	2026-09-15T21:35:03	2026-09-16T16:11:56	ended	67013	30000	2233.8	1855	1204.1	1.353	NO	1116.882118175	0.4476748189119605	absent	unity-w5
r39	r39-s3	2026-09-17T08:57:58	2026-09-18T02:40:18	ended	63740	30000	2124.7	2351	903.9	1.016	NO	1062.3329769583333	0.470662222528004	absent	unity-w3
r39	r39-s4	2026-09-17T08:58:33	2026-09-18T03:05:23	ended	65210	30000	2173.7	2406	903.3	1.015	NO	1086.8428595083333	0.4600481068865745	absent	unity-w4
r39	r39-s5	2026-09-17T08:53:03	2026-09-18T02:16:29	ended	62606	30000	2086.9	2426	860.1	0.967	NO	1043.440388985	0.47918405811986237	absent	unity-w2
count	0 of 5

## how many r39 arms shared the machine over each arm's own life (UTC manifest windows of the five runs this read uses; the earlier censored runs of seeds 3 to 5 are listed under them and are NOT counted, since they had ended)
arm	start	end	hours	mean concurrent r39 arms	min	max
r39-s1	09-15 21:34	09-16 13:17	15.71	2.00	2	2
r39-s2	09-15 21:35	09-16 16:11	18.61	1.84	1	2
r39-s3	09-17 08:57	09-18 02:40	17.71	2.98	2	3
r39-s4	09-17 08:58	09-18 03:05	18.11	2.93	1	3
r39-s5	09-17 08:53	09-18 02:16	17.39	2.99	1	3

## the earlier, censored runs of seeds 3 to 5 (not used by this read)
arm	run directory	status	reason	simulated s	startedAt	endedAt/stoppedAt
r39-s3	2026-09-15-213641-8eab1085	ended	wall	25175	2026-09-15T21:36:41	2026-09-16T17:36:41
r39-s4	2026-09-16-020054-8eab1085	ended	wall	27516.5	2026-09-16T02:00:54	2026-09-16T22:00:54
r39-s5	2026-09-16-131747-8eab1085	stopped	windows-update-restart	None	2026-09-16T13:17:47	2026-09-17T04:53:16
