== r39-s1  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	absorpt	inherit	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	mat blk	mat short	audit	mat resid	det cv	mat cv	det deep	corpses	floor low %	floor J	% on floor	floor con	refuge J	depth m
  1000	392	323/2211	1/2211	10.97	126	136	97	33	1	0	88	0.0645	0	0	0	0	380	40759	0	0.0000%	0	1.674	0.184	0.0545	69	5.6%	152.4	0.1%	0.767	39.8	-6.3
  2000	814	593/2211	1/2211	12.58	356	151	112	195	1	0	90	0.0962	0	0	0	0	817	120509	0	0.0000%	0	1.055	0.052	0.1652	84	11.9%	377.3	0.1%	2.404	72.6	-10.5
  3000	1084	807/2211	0/2211	13.19	228	290	307	259	0	0	87	0.0685	0	0	0	1	1116	147005	0	0.0000%	0	0.482	0.054	0.646	113	8.4%	1200.7	0.3%	0.783	383.8	-16.6
  4000	1394	986/2211	1/2211	13.25	288	391	367	348	1	0	76	0.0932	0	0	0	2	1543	170829	0	0.0000%	0	0.345	0.064	1.1558	165	18.1%	2359.9	0.4%	3.034	627.1	-16.6
  5000	1693	1146/2211	1/2211	13.79	414	459	439	381	1	0	51	0.0796	0	0	0	3	2109	187874	0	0.0000%	0	0.211	0.055	1.547	418	17.7%	3768.1	0.4%	3.06	935.2	-17.6
  6000	1828	1217/2211	1/2211	13.69	425	486	487	430	1	0	32	0.0505	0	0	0	9	2548	202402	0	0.0000%	0	0.132	0.054	2.2208	698	17.2%	5372.9	0.6%	2.639	1379.5	-18.4
  7000	1917	1250/2211	3/2211	13.24	487	502	472	456	3	1	22	0.0966	0	0	0	22	3071	195557	0	0.0000%	0	0.078	0.034	2.5219	1028	18.4%	6994.8	0.6%	1.15	1646.6	-19.5
  8000	1907	1232/2211	4/2211	13.31	476	461	484	486	4	1	9	0.08	0	0	0	28	3750	180474	0	0.0000%	0	0.074	0.06	3.1027	1488	19.1%	8452	0.6%	4.517	2013.1	-20.2
  9000	1905	1228/2211	36/2211	13.27	415	520	520	450	39	36	3	0.0773	0	0	0	37	4623	148097	0	0.0000%	0	0.099	0.046	3.6562	2063	20.4%	9644.1	0.7%	1.693	2328.8	-20.7
  10000	1896	1243/2211	98/2211	13.18	513	414	461	508	113	110	2	0.0766	0	0	0	53	5376	145923	0	0.0000%	0	0.136	0.048	3.6103	2373	21%	10507.5	0.7%	3.463	2296.2	-20.5
  11000	1868	1232/2211	227/2211	12.98	421	482	525	440	246	244	0	0.0948	0	0	0	64	5982	151355	0	0.0000%	0	0.133	0.055	3.2013	2350	21.5%	10022.1	0.7%	2.512	2392.4	-21.7
  12000	1904	1244/2211	435/2211	12.66	557	465	462	420	482	479	0	0.0944	0	0	0	79	6578	170648	0	0.0000%	0	0.151	0.019	2.5109	2040	24%	7955.5	0.7%	3.298	1819	-21.9
  13000	1962	1275/2211	566/2211	12.68	508	565	446	443	669	665	0	0.0719	0	0	0	89	7061	180460	0	0.0000%	0	0.201	0.053	1.3975	1680	27.1%	5126.6	0.5%	3.231	1021.5	-22.7
  14000	1994	1287/2211	661/2211	12.98	519	525	465	485	783	779	0	0.0851	0	0	0	102	7578	158175	0	0.0000%	0	0.25	0.048	1.075	1532	28.3%	3330.8	0.4%	2.639	583.4	-22.5
  15000	1915	1269/2211	516/2211	13.09	494	450	510	461	601	598	0	0.098	0	0	0	108	8278	104107	0	0.0000%	0	0.175	0.071	0.8741	1744	24.6%	2482.7	0.5%	2.068	539.4	-21.4
  16000	1783	1182/2211	127/2211	13.27	434	432	488	429	132	130	0	0.0751	0	0	0	116	9044	84414	0	0.0000%	0	0.097	0.074	1.0694	2197	20.8%	2623.8	0.6%	3.05	648.5	-19.3
  17000	1744	1152/2211	20/2211	13.37	408	429	495	412	20	20	0	0.0784	0	0	0	123	9638	94534	0	0.0000%	0	0.082	0.081	1.2518	2359	20.3%	3124.9	0.6%	1.946	768.7	-19.5
  18000	1790	1195/2211	6/2211	13.04	472	429	447	442	6	6	0	0.0913	0	0	0	129	10231	97570	0	0.0000%	0	0.084	0.099	1.4175	2173	20.2%	3819.8	0.6%	3.947	883.2	-18.8
  19000	1841	1220/2211	4/2211	13.16	489	491	448	413	4	2	0	0.0826	0	0	0	135	10864	113618	0	0.0000%	0	0.078	0.071	1.65	1810	20%	4483.7	0.6%	2.96	1017.6	-18.3
  20000	1866	1226/2211	2/2211	13.82	327	469	551	519	2	0	0	0.0775	0	0	0	147	11458	114305	0	0.0000%	0	0.086	0.079	2.1296	1750	20.1%	5375.3	0.7%	2.536	1324	-20.9
  21000	1789	1212/2211	4/2211	12.62	543	428	441	377	4	1	0	0.0878	0	0	0	151	12160	106585	0	0.0000%	0	0.111	0.161	2.3539	1978	20.3%	6580.2	0.7%	3.461	1602.1	-18.6
  22000	1841	1217/2211	6/2211	12.74	493	465	462	421	6	3	0	0.0919	0	0	0	153	12787	116691	0	0.0000%	0	0.113	0.114	2.5578	1965	20.4%	7222	0.7%	2.66	1729.2	-19.9
  23000	1874	1227/2211	15/2211	13.11	367	525	531	451	16	13	0	0.0905	0	0	0	155	13383	119447	0	0.0000%	0	0.128	0.083	3.2217	1984	20.5%	8181.4	0.7%	1.417	1992.8	-19.5
  24000	1884	1251/2211	51/2211	12.94	470	467	475	472	55	51	0	0.0641	0	0	0	162	13936	128254	0	0.0000%	0	0.144	0.054	3.1944	1723	21.3%	9146.8	0.7%	5.806	2133.9	-19
  25000	1880	1252/2211	129/2211	13.48	418	477	516	469	140	138	0	0.0774	0	0	0	174	14496	149276	0	0.0000%	0	0.153	0.027	2.9886	1725	20.2%	9651.5	0.8%	2.902	2277.8	-20
  26000	1924	1263/2211	241/2211	12.98	541	457	496	430	269	267	0	0.0992	0	0	0	183	15008	160679	0	0.0000%	0	0.162	0.043	1.1129	1617	22.5%	8627.9	0.6%	3.574	1721.7	-19.4
  27000	1981	1310/2211	331/2211	13.20	536	481	479	485	360	358	0	0.0827	0	0	0	189	15482	187067	0	0.0000%	0	0.148	0.02	1.9011	1492	24.2%	6763.8	0.5%	4.37	1287.3	-21.2
  28000	2008	1283/2211	406/2211	13.28	481	538	509	480	465	462	0	0.0783	0	0	0	195	16013	172084	0	0.0000%	0	0.154	0.029	1.8317	1427	23.5%	5742.8	0.7%	4.172	1322.7	-21.4
  29000	2027	1326/2211	494/2211	13.05	553	500	512	462	549	546	0	0.0799	0	0	0	199	16527	146695	0	0.0000%	0	0.176	0.04	1.2629	1457	27%	3773.5	0.5%	3.202	804	-21.8
  30000	1920	1266/2211	379/2211	12.97	520	493	462	445	428	425	0	0.0956	0	0	0	208	17182	103522	0	0.0000%	0	0.189	0.066	1.1783	1802	23.9%	3015.7	0.5%	2.064	623.8	-21.1
== r39-s2  (**Ended:** budget reached.)
  t	alive	cols	cols abs	x sd	p0	p1	p2	p3	absorpt	inherit	jnt inh	mean m/s	diverged	wraps	crowded	stillb	births	mat blk	mat short	audit	mat resid	det cv	mat cv	det deep	corpses	floor low %	floor J	% on floor	floor con	refuge J	depth m
  1000	321	277/2211	1/2211	9.55	42	109	108	62	1	0	71	0.0325	0	0	0	0	313	49004	0	0.0000%	0	2.387	0.181	0.0487	63	10%	115.9	0.1%	0.195	30.5	-3
  2000	613	497/2211	0/2211	13.33	76	155	185	197	0	0	73	0.0756	0	0	0	0	621	99553	0	0.0000%	0	1.255	0.067	0.158	79	10.7%	319.1	0.1%	1.473	90.3	-8.5
  3000	874	671/2211	0/2211	13.42	267	175	191	241	0	0	73	0.0786	0	0	0	0	918	132375	0	0.0000%	0	0.834	0.046	0.7556	115	11.7%	1302.5	0.2%	0.978	333.9	-11.4
