## Recorded, not predicted: the share of the living above 3 m, the surface film.
arm	t	living	above 3 m	share	leaves above 3 m	leaf share	stomachs above 3 m
r40-s1	1000	288	137	0.4757	137	0.4757	0
r40-s1	5000	2249	822	0.3655	821	0.3654	1
r40-s1	10000	2405	572	0.2378	570	0.2375	2
r40-s1	15000	2493	468	0.1877	466	0.2126	1
r40-s1	16400	2490	470	0.1888	464	0.2307	5
r40-s2	1000	310	260	0.8387	247	0.8316	0
r40-s2	5000	2358	1197	0.5076	1194	0.5077	1
r40-s2	10000	2507	1213	0.4838	1207	0.4830	5
r40-s2	12200	2502	1127	0.4504	1121	0.4502	5
r40-s3	1000	430	262	0.6093	262	0.6093	0
r40-s3	5000	2208	1174	0.5317	1169	0.5311	1
r40-s3	10000	2575	693	0.2691	686	0.2928	5
r40-s3	14300	2599	672	0.2586	657	0.3922	14
