## Depth by guild (positions.jsonl, one row per living body at every 100 s). Depth is positive metres below the waterline. q1 is the shallow quartile and q3 the deep one, so L1's "third quartile shallower than 15 m" is the q3 depth column. A guild is the flag the harness wrote: leaf = photosynthetic, stomach = absorptive, mixo = both.
arm	t	guild	n	median depth m	q1 depth	q3 depth	mean depth m	min depth	max depth
r40-s1	1000	all	288	3.18	1.72	4.95	3.54	0.29	10.42
r40-s1	1000	leaf	288	3.18	1.72	4.95	3.54	0.29	10.42
r40-s1	1000	stomach	0	-	-	-	-	-	-
r40-s1	1000	mixo	0	-	-	-	-	-	-
r40-s1	1000	jointed	86	4.58	3.39	5.75	4.68	0.37	10.42
r40-s1	5000	all	2249	5.95	1.54	15.96	9.78	0.00	47.60
r40-s1	5000	leaf	2247	5.95	1.53	15.87	9.77	0.00	47.60
r40-s1	5000	stomach	1	2.23	2.23	2.23	2.23	2.23	2.23
r40-s1	5000	mixo	0	-	-	-	-	-	-
r40-s1	5000	jointed	25	6.32	1.94	12.69	9.30	0.50	28.11
r40-s1	10000	all	2405	10.09	3.21	20.56	13.49	0.00	52.82
r40-s1	10000	leaf	2400	10.09	3.21	20.56	13.49	0.00	52.82
r40-s1	10000	stomach	5	6.72	2.95	15.52	12.41	0.93	35.91
r40-s1	10000	mixo	0	-	-	-	-	-	-
r40-s1	10000	jointed	1	4.73	4.73	4.73	4.73	4.73	4.73
r40-s1	15000	all	2493	13.92	5.02	26.00	16.64	0.00	53.57
r40-s1	15000	leaf	2192	12.37	3.93	22.99	14.68	0.00	53.57
r40-s1	15000	stomach	299	33.55	22.66	40.55	31.09	0.99	52.76
r40-s1	15000	mixo	0	-	-	-	-	-	-
r40-s1	15000	jointed	0	-	-	-	-	-	-
r40-s1	16400	all	2490	16.18	5.75	28.90	18.15	0.00	53.61
r40-s1	16400	leaf	2011	13.07	3.71	25.07	15.49	0.00	53.61
r40-s1	16400	stomach	477	31.43	21.76	38.71	29.40	0.60	53.42
r40-s1	16400	mixo	0	-	-	-	-	-	-
r40-s1	16400	jointed	0	-	-	-	-	-	-
r40-s2	1000	all	310	0.46	0.21	1.09	1.60	0.01	13.57
r40-s2	1000	leaf	297	0.41	0.21	1.03	1.60	0.01	13.57
r40-s2	1000	stomach	0	-	-	-	-	-	-
r40-s2	1000	mixo	0	-	-	-	-	-	-
r40-s2	1000	jointed	225	0.57	0.26	1.27	1.71	0.01	13.57
r40-s2	5000	all	2358	2.89	1.02	14.20	8.21	0.00	51.70
r40-s2	5000	leaf	2352	2.89	1.02	14.20	8.20	0.00	51.70
r40-s2	5000	stomach	1	1.58	1.58	1.58	1.58	1.58	1.58
r40-s2	5000	mixo	0	-	-	-	-	-	-
r40-s2	5000	jointed	544	5.55	1.29	17.30	10.32	0.02	51.70
r40-s2	10000	all	2507	3.29	1.14	14.12	8.82	0.01	54.98
r40-s2	10000	leaf	2499	3.30	1.14	14.12	8.84	0.01	54.98
r40-s2	10000	stomach	5	0.93	0.54	1.07	0.79	0.32	1.09
r40-s2	10000	mixo	0	-	-	-	-	-	-
r40-s2	10000	jointed	368	4.84	0.92	21.49	12.12	0.02	54.98
r40-s2	12200	all	2502	4.13	1.06	16.21	9.81	0.00	52.38
r40-s2	12200	leaf	2490	4.13	1.06	16.15	9.80	0.00	52.38
r40-s2	12200	stomach	10	1.39	1.02	20.37	10.95	0.13	22.37
r40-s2	12200	mixo	0	-	-	-	-	-	-
r40-s2	12200	jointed	273	2.87	0.79	16.86	9.18	0.03	52.38
r40-s3	1000	all	430	2.12	0.86	4.35	4.01	0.01	39.13
r40-s3	1000	leaf	430	2.12	0.86	4.35	4.01	0.01	39.13
r40-s3	1000	stomach	0	-	-	-	-	-	-
r40-s3	1000	mixo	0	-	-	-	-	-	-
r40-s3	1000	jointed	197	1.60	0.64	3.66	3.88	0.01	35.93
r40-s3	5000	all	2208	2.77	1.16	7.31	6.74	0.00	47.56
r40-s3	5000	leaf	2201	2.77	1.16	7.32	6.75	0.00	47.56
r40-s3	5000	stomach	3	5.94	2.28	5.94	5.45	2.28	8.13
r40-s3	5000	mixo	0	-	-	-	-	-	-
r40-s3	5000	jointed	240	5.20	1.80	17.33	10.50	0.01	46.50
r40-s3	10000	all	2575	9.62	2.72	21.95	13.52	0.00	51.64
r40-s3	10000	leaf	2343	8.23	2.48	19.78	12.12	0.00	51.64
r40-s3	10000	stomach	228	28.71	20.65	36.60	28.06	1.30	51.64
r40-s3	10000	mixo	0	-	-	-	-	-	-
r40-s3	10000	jointed	154	11.37	2.87	21.72	13.88	0.02	51.54
r40-s3	14300	all	2599	15.67	2.81	29.70	17.65	0.00	54.79
r40-s3	14300	leaf	1675	6.93	1.30	22.78	12.95	0.00	53.93
r40-s3	14300	stomach	921	26.41	16.53	35.84	26.19	0.88	54.79
r40-s3	14300	mixo	0	-	-	-	-	-	-
r40-s3	14300	jointed	83	7.45	1.56	20.79	12.97	0.03	48.77
