## Recorded and not predicted.
item	r40-s1	r40-s2	r40-s3
last sample s	16400	12200	14300
alive at the last sample	2490	2503	2599
alive, run maximum (at)	2520 (14400 s)	2558 (6500 s)	2603 (13300 s)
births total	12759	8021	8306
photo inh at the last sample	2011	2491	1675
inherit (absorptive) at the last sample	470	7	913
inherit, run maximum (at)	470 (16400 s)	7 (12200 s)	913 (14300 s)
jnt inh at the last sample	0	267	83
jnt inh, run maximum (at)	83 (1300 s)	580 (2300 s)	297 (2000 s)
stillb at the last sample	274	160	100
crowded at the last sample	0	0	0
corpses at the last sample	2251	2176	1449
floor J at the last sample	7969.5	13786.4	5980.4
det cv at the last sample	0.164	0.141	0.169
mat cv at the last sample	0.048	0.07	0.029
depth m (report mean) at the last sample	-18.2	-9.8	-17.6
mean m/s at the last sample	0.0663	0.0689	0.0724
adult scale / invest / brood / body frac at the last sample	0.324 / 0.687 / 2.041 / 0.992	0.349 / 0.514 / 1.535 / 0.986	0.358 / 0.538 / 2.592 / 0.992
wall split at the last sample (physics/world/harness/writers)	22% / 13% / 65% / 0.0%	25% / 11% / 63% / 0.0%	24% / 14% / 62% / 0.0%
