## L5  more of the matter is free: matterLocked over matterStanding. The bar names 30,000 s, which no seed reached; the last sample is the reading.
arm	t	matterStanding	matterLocked	locked share	corpseMatter	free in the water	mat short	matterResidual
r40-s1	5000	11000.0	8121.4	0.7383	211.3	2667.3	0	-2.43e-05
r40-s1	10000	11000.0	7520.9	0.6837	832.1	2646.9	0	-2.44e-05
r40-s1	15000	11000.0	7976.9	0.7252	480.5	2542.6	0	-2.44e-05
r40-s1	16400	11000.0	7935.4	0.7214	516.8	2547.9	0	-2.45e-05
r40-s2	5000	11000.0	8233.5	0.7485	233.0	2533.5	0	-3.27e-05
r40-s2	10000	11000.0	7806.9	0.7097	504.4	2688.6	0	-3.28e-05
r40-s2	12200	11000.0	7826.1	0.7115	522.8	2651.2	0	-3.28e-05
r40-s3	5000	11000.0	8119.4	0.7381	272.8	2607.8	0	-1.49e-05
r40-s3	10000	11000.0	8077.1	0.7343	394.0	2528.9	0	-1.50e-05
r40-s3	14300	11000.0	8214.1	0.7467	263.2	2522.7	0	-1.50e-05
