## The run report at every 1,000 s, by column NAME. The last row of each seed is its own last sample (16,400 / 12,200 / 14,300 s).
arm	t	alive	births	cols	cols abs	x sd	p0	p1	p2	p3	absorpt	inherit	jnt inh	photo	photo inh	shade %	depth m	mean m/s	diverged	wraps	crowded	stillb	mat blk	mat short	audit	mat resid	det cv	mat cv	det deep	corpses	floor J	floor low %	mat locked	adult scale	invest	brood	body frac	jointed
r40-s1	1000	288	283	262/2211	0/2211	10.37	86	83	78	41	0	0	78	288	278	1.5%	-3.5	0.0591	0	0	0	0	28780	0	0.0000%	0	1.573	0.205	0.0631	148	266.3	5.9%	5452.712	0.863	0.525	2.337	0.947	86
r40-s1	2000	753	754	579/2211	0/2211	11.39	213	192	206	142	0	0	81	751	741	3%	-5.3	0.0748	0	0	0	0	102769	0	0.0000%	0	1.309	0.072	0.138	154	388.6	16.9%	7759.674	0.657	0.599	2.154	0.997	94
r40-s1	3000	1255	1355	863/2211	0/2211	14.74	105	247	476	427	0	0	62	1254	1246	2.5%	-8.1	0.0464	0	0	0	1	147235	0	0.0000%	0	0.718	0.082	0.4942	253	917.1	10.9%	7924.339	0.508	0.643	2.033	0.996	74
r40-s1	4000	1808	2077	1177/2211	1/2211	13.73	449	486	406	467	1	0	39	1805	1800	2.8%	-7.8	0.0995	0	0	0	7	205859	0	0.0000%	0	0.493	0.075	0.9657	283	1877	18.3%	8074.052	0.424	0.666	1.973	0.986	48
r40-s1	5000	2249	2859	1329/2211	1/2211	13.76	676	492	452	629	1	0	18	2247	2244	2.6%	-9.8	0.0636	0	0	0	15	247280	0	0.0000%	0	0.337	0.056	1.3258	612	3169.1	17%	8121.358	0.383	0.677	1.933	0.989	25
r40-s1	6000	2460	3526	1425/2211	2/2211	14.56	382	536	782	760	2	0	10	2457	2455	2.6%	-11.2	0.0353	0	0	0	39	265773	0	0.0000%	0	0.231	0.035	2.1033	995	4646.8	16.5%	8089.559	0.36	0.681	1.914	0.995	14
r40-s1	7000	2490	4243	1450/2211	3/2211	13.63	539	707	659	585	3	0	8	2486	2485	2.4%	-12.5	0.0818	0	0	0	67	251869	0	0.0000%	0	0.146	0.058	2.1301	1515	6165.9	18.1%	7930.18	0.345	0.682	1.895	0.989	10
r40-s1	8000	2464	5084	1366/2211	3/2211	13.83	464	641	705	654	3	0	5	2460	2459	2.3%	-14	0.0638	0	0	0	92	231694	0	0.0000%	0	0.087	0.056	2.6304	2023	7415.2	18.9%	7706.96	0.335	0.683	1.887	0.989	7
r40-s1	9000	2449	6180	1381/2211	3/2211	14.50	324	479	840	806	3	0	4	2445	2444	2.1%	-14	0.0653	0	0	0	118	208339	0	0.0000%	0	0.08	0.101	3.1741	2690	8306.8	20.7%	7647.37	0.328	0.681	1.882	0.984	5
r40-s1	10000	2405	7207	1412/2211	5/2211	13.75	517	542	561	785	5	0	1	2400	2399	2%	-13.5	0.0686	0	0	0	131	189468	0	0.0000%	0	0.101	0.058	3.1197	3067	9188.5	21.6%	7520.924	0.321	0.683	1.878	0.991	1
r40-s1	11000	2436	8240	1399/2211	24/2211	13.57	460	613	656	707	24	19	0	2412	2412	1.9%	-13.1	0.0779	0	0	0	157	186839	0	0.0000%	0	0.127	0.102	3.4117	3184	10142.1	20.7%	7697.45	0.317	0.683	1.875	0.981	0
r40-s1	12000	2381	9363	1401/2211	50/2211	13.83	391	602	692	696	51	44	0	2329	2329	1.6%	-15	0.0802	0	0	0	178	176323	0	0.0000%	0	0.147	0.08	3.8527	3266	10804.6	21.4%	7533.265	0.313	0.684	1.891	0.974	0
r40-s1	13000	2466	10193	1435/2211	114/2211	13.14	532	622	635	677	117	110	0	2348	2348	1.6%	-14.9	0.0693	0	0	0	201	156254	0	0.0000%	0	0.161	0.067	3.3605	2922	10273.4	23.9%	7903.105	0.314	0.686	1.899	0.984	0
r40-s1	14000	2485	10886	1414/2211	194/2211	13.97	470	592	663	760	215	208	0	2268	2268	1.6%	-15.6	0.0728	0	0	0	215	156224	0	0.0000%	0	0.176	0.066	3.2464	2601	10175.6	24.4%	7985.159	0.315	0.686	1.924	0.986	0
r40-s1	15000	2493	11546	1442/2211	282/2211	13.34	553	618	638	684	299	294	0	2192	2192	1.6%	-16.6	0.0882	0	0	0	237	171117	0	0.0000%	0	0.166	0.027	3.2951	2069	9834.1	23.6%	7976.928	0.317	0.686	1.953	0.989	0
r40-s1	16000	2487	12423	1457/2211	378/2211	13.56	588	566	622	711	416	409	0	2069	2069	1.5%	-17.7	0.0671	0	0	0	263	160312	0	0.0000%	0	0.17	0.041	3.1568	2214	8770.5	23.9%	7924.707	0.321	0.687	2.006	0.99	0
