clause	seed	t	alive	at16	ge8	ge8_pct	pairs	pairs_per_body	bodies_overlapping	median_parts	max_parts	hist	births_win	self_stillb_win	stillb_win	share_pct	self_stillb_cum	births_cum	share_cum_pct	interval	last_floor_t	floor_spawns_total	abs_inh_max_after5k	at_t	abs_inh_at30k	exceeded_150	abs_inh_max_whole_run	mean_reserve_margin_30k
F10/F12	1	5000	548	0	0	0.0	0	0.0	0	2.0	7	1->148;2->340;3->51;4->8;7->1																
F10/F12	1	15000	906	0	0	0.0	8	0.008830022075055188	7	2.0	6	1->183;2->367;3->294;4->42;5->18;6->2																
F10/F12	1	30000	934	0	16	1.7130620985010707	6	0.006423982869379015	5	4.0	15	1->56;2->76;3->332;4->317;5->27;6->22;7->88;9->13;15->3																
F11	1	5000											32	1	1	3.125	17	1058	1.606805293005671									
F11	1	15000											30	1	1	3.3333333333333335	134	4044	3.3135509396636995									
F11	1	30000											36	2	2	5.555555555555555	594	8823	6.732403944236654									
F11-interval	1	5000											1058	17		1.606805293005671				0-5000								
F11-interval	1	15000											2986	117		3.9182853315472204				5000-15000								
F11-interval	1	30000											4779	460		9.625444653693242				15000-30000								
F11-floor	1																				500	217						
F5/F6	1																						6	14800	0	False	6	
F2	1																											224.69696
F10/F12	2	5000	404	0	0	0.0	0	0.0	0	1.0	4	1->242;2->116;3->44;4->2																
F10/F12	2	15000	893	0	0	0.0	3	0.0033594624860022394	3	2.0	5	1->311;2->338;3->194;4->45;5->5																
F10/F12	2	30000	1162	0	0	0.0	0	0.0	0	2.0	4	1->541;2->414;3->174;4->33																
F11	2	5000											17	0	0	0.0	13	939	1.384451544195953									
F11	2	15000											28	1	1	3.5714285714285716	117	3621	3.2311516155758078									
F11	2	30000											30	0	0	0.0	316	8226	3.8414782397276928									
F11-interval	2	5000											939	13		1.384451544195953				0-5000								
F11-interval	2	15000											2682	104		3.8777032065622667				5000-15000								
F11-interval	2	30000											4605	199		4.321389793702497				15000-30000								
F11-floor	2																				500	161						
F5/F6	2																						4	19000	0	False	4	
F2	2																											233.99202
F10/F12	3	5000	476	0	0	0.0	4	0.008403361344537815	4	2.0	4	1->74;2->284;3->103;4->15																
F10/F12	3	15000	731	0	0	0.0	7	0.009575923392612859	6	2.0	7	1->99;2->323;3->175;4->110;5->11;6->10;7->3																
F10/F12	3	30000	843	0	0	0.0	4	0.004744958481613286	4	2.0	6	1->76;2->376;3->339;4->45;6->7																
F11	3	5000											7	0	0	0.0	20	833	2.4009603841536613									
F11	3	15000											25	0	0	0.0	145	3011	4.815675855197608									
F11	3	30000											45	0	0	0.0	382	7478	5.108317732013908									
F11-interval	3	5000											833	20		2.4009603841536613				0-5000								
F11-interval	3	15000											2178	125		5.73921028466483				5000-15000								
F11-interval	3	30000											4467	237		5.305574210879785				15000-30000								
F11-floor	3																				700	223						
F5/F6	3																						1	6200	0	False	1	
F2	3																											225.375275
F10/F12	4	5000	385	0	0	0.0	0	0.0	0	2.0	4	1->48;2->212;3->101;4->24																
F10/F12	4	15000	619	0	0	0.0	2	0.0032310177705977385	1	3.0	7	1->73;2->88;3->396;4->32;5->29;7->1																
F10/F12	4	30000	914	0	5	0.5470459518599562	3	0.0032822757111597373	2	3.0	10	1->32;2->16;3->619;4->6;5->150;6->1;7->85;9->4;10->1																
F11	4	5000											29	0	0	0.0	17	891	1.9079685746352413									
F11	4	15000											39	3	3	7.6923076923076925	214	3614	5.9214167127836195									
F11	4	30000											42	4	4	9.523809523809524	833	10120	8.231225296442688									
F11-interval	4	5000											891	17		1.9079685746352413				0-5000								
F11-interval	4	15000											2723	197		7.2346676459787				5000-15000								
F11-interval	4	30000											6506	619		9.514294497387027				15000-30000								
F11-floor	4																				500	150						
F5/F6	4																						21	18400	0	False	21	
F2	4																											37.51839
F10/F12	5	5000	413	0	0	0.0	4	0.009685230024213076	2	2.0	7	1->66;2->199;3->129;5->18;7->1																
F10/F12	5	15000	802	0	12	1.4962593516209477	15	0.018703241895261846	7	3.0	15	1->76;2->91;3->506;4->48;5->52;7->17;9->11;15->1																
F10/F12	5	30000	1076	1	23	2.137546468401487	39	0.0362453531598513	20	4.0	16	1->91;2->39;3->355;4->54;5->378;6->39;7->97;8->8;9->10;10->3;12->1;16->1																
F11	5	5000											17	1	1	5.882352941176471	15	939	1.597444089456869									
F11	5	15000											49	4	4	8.16326530612245	258	3912	6.595092024539877									
F11	5	30000											49	8	8	16.3265306122449	1286	10021	12.833050593753118									
F11-interval	5	5000											939	15		1.597444089456869				0-5000								
F11-interval	5	15000											2973	243		8.173562058526741				5000-15000								
F11-interval	5	30000											6109	1028		16.82763136356196				15000-30000								
F11-floor	5																				500	173						
F5/F6	5																						16	24900	2	False	16	
F2	5																											29.7132473
