clause	seed	audit_absmax	audit_absmax_t	matter_resid_30k	matter_resid_absmax	diverged_total	wall_minutes	x_real_time	t	upt_lim_pct	detritus_joules	snow_share_of_budget	jnt_inh_peak	jnt_inh_peak_t	jnt_inh_peak_in_5k_20k	jnt_inh_peak_in_5k_20k_t	jnt_inh_30k	end_over_peak	jointed_peak	jointed_30k	interval	births_win	self_stillb_win	stillb_win	self_stillb_share_pct	last_floor_t	floor_spawns_total	alive	at16	ge8	ge8_pct	median_parts	max_parts	pairs	pairs_per_body	bodies_overlapping	hist	overlaps_per_step	ovl_per_body	ovl_jnt_pct	ovl_held_pct	ovl_pairs_cum	ovl_jnt_cum_pct
G2	1	0.025485317470156588	18110	0.00010033367607320542	0.0002544630190186581	0																																					
G3	1						86.1	5.8																																			
G4	1								15000	77.96843277228372	27567.498264559465	0.18378332176372977																															
G4	1								30000	85.80891026222666	28259.367397769405	0.18839578265179605																															
G6	1												675	19510	675	19510	476	0.7051851851851851	686	483																							
G8	1								5000												0-5000	951	12	12	1.2618296529968454																		
G8	1								15000												5000-15000	2768	99	99	3.5765895953757227																		
G8	1								30000												15000-30000	5555	663	663	11.935193519351936																		
G8-floor	1																									470	229																
G9	1								5000																			447	0	0	0.0	2.0	6	0	0.0	0	1->128;2->299;3->19;6->1						
G9	1								15000																			765	0	0	0.0	2.0	5	0	0.0	0	1->154;2->429;3->160;4->15;5->7						
G9	1								30000																			1104	0	10	0.9057971014492754	3.0	9	8	0.007246376811594203	6	1->85;2->261;3->419;4->88;5->132;6->64;7->45;8->4;9->6						
G10	1								5000																			447										0.044	9.843400447427292e-05	100.0	93.18181818181819	116369	99.38729386692332
G10	1								15000																			765										1.552	0.0020287581699346404	100.0	99.0979381443299	959392	90.84659867916346
G10	1								30000																			1104										26.309	0.023830615942028986	68.89277433577863	98.6088410809989	15015260	80.94898789631348
G2	2	0.013904373525292613	5160	8.676593824930023e-05	0.0001390619004268956	0																																					
G3	2						75.3	6.6																																			
G4	2								15000	84.97552502763304	26765.503497242804	0.17843668998161868																															
G4	2								30000	82.58712078493289	32748.72407143363	0.21832482714289086																															
G6	2												183	17120	183	17120	1	0.00546448087431694	187	2																							
G8	2								5000												0-5000	964	11	11	1.1410788381742738																		
G8	2								15000												5000-15000	2596	61	61	2.349768875192604																		
G8	2								30000												15000-30000	6632	316	316	4.764776839565742																		
G8-floor	2																									400	163																
G9	2								5000																			401	0	0	0.0	1.0	4	0	0.0	0	1->255;2->109;3->35;4->2						
G9	2								15000																			636	0	1	0.15723270440251572	2.0	8	1	0.0015723270440251573	1	1->258;2->238;3->69;4->56;5->13;7->1;8->1						
G9	2								30000																			1334	0	0	0.0	3.0	7	2	0.0014992503748125937	2	1->96;2->152;3->936;4->128;5->9;7->13						
G10	2								5000																			401										0.033	8.229426433915212e-05	45.45454545454545	93.93939393939394	135975	34.96157381871667
G10	2								15000																			636										0.972	0.0015283018867924528	91.35802469135803	97.53086419753086	859056	21.148679480732337
G10	2								30000																			1334										61.126	0.0458215892053973	0.0	99.0854955338154	25753348	2.0150933385437884
G2	3	0.026233466822304763	28030	0.00019074334386459668	0.0002620904449486261	0																																					
G3	3						74.2	6.7																																			
G4	3								15000	86.16637222520932	22567.434945686364	0.15044956630457576																															
G4	3								30000	84.81291706387036	23984.6794094925	0.15989786272995																															
G6	3												730	26080	602	19910	687	0.9410958904109589	732	693																							
G8	3								5000												0-5000	840	37	37	4.404761904761905																		
G8	3								15000												5000-15000	2023	155	155	7.661888284725655																		
G8	3								30000												15000-30000	3998	436	436	10.905452726363182																		
G8-floor	3																									580	218																
G9	3								5000																			447	0	0	0.0	2.0	5	1	0.0022371364653243847	1	1->92;2->217;3->119;4->17;5->2						
G9	3								15000																			651	0	0	0.0	2.0	5	9	0.013824884792626729	9	1->110;2->238;3->263;4->23;5->17						
G9	3								30000																			838	0	11	1.3126491646778042	3.0	9	18	0.021479713603818614	13	1->49;2->147;3->368;4->202;5->29;6->31;7->1;8->2;9->9						
G10	3								5000																			447										5.315	0.011890380313199106	100.0	99.86829727187207	341681	96.7156499776107
G10	3								15000																			651										1.244	0.0019109062980030723	100.0	98.39228295819936	1602365	97.70595338764888
G10	3								30000																			838										4.572	0.005455847255369928	100.0	97.52843394575677	6130615	97.9828124910796
