clause	seed	indet_pct_max_by_15000	at_t	held	t	photo_n	jnt_n	photo_indet_pct	jnt_indet_pct	note	windows	alive_5000	alive_30000	g1_hold	g4	g7	audit_absmax	matter_resid_at	matter_resid	matter_resid_short	diverged_total	manifest_status	censored	provisional
H1	r44-s1	9.634	7710	False																				
H2	r44-s1			True	22370	983	64	60.2238	56.25															
H3	r44-s1			False						no window where margin s fell by a third														
H4	r44-s1			False							[{'window': '0-5000', 'at': 5000, 'short': False, 'mod_refused_pct': None, 'self_stillb_pct': 0.9554140127388535, 'held': False}, {'window': '5000-15000', 'at': 15000, 'short': False, 'mod_refused_pct': 119071.42857142857, 'self_stillb_pct': 4.665784248841827, 'held': True}, {'window': '15000-30000', 'at': 22370, 'short': True, 'mod_refused_pct': 1577.3169151004536, 'self_stillb_pct': 5.372370665150654, 'held': True}]													
H5	r44-s1			False								436	984	True	{15000: {'at': 15000, 'upt_lim_pct': 65.9696348733234, 'snow_share': 0.17629569252314378, 'held': True}, 30000: {'at': 22370, 'upt_lim_pct': 23.143175600364778, 'snow_share': 0.20460482486561837, 'held': False}}	{5000: {'at': 5000, 'rim_quarter': 0.2798165137614679, 'cols_ratio': 1.0055989502914109, 'held': True}, 15000: {'at': 15000, 'rim_quarter': 0.28305400372439476, 'cols_ratio': 0.9695984343293839, 'held': True}, 30000: {'at': 22370, 'rim_quarter': 0.47865853658536583, 'cols_ratio': 0.8459774244652072, 'held': False}}								
H6	r44-s1			True													9.55432e-06	22370	-5.68119e-07	True	0	error	True	False
H1	r44-s2	95.327	14990	True																				
H2	r44-s2			True	30000	1152	463	97.8299	96.9762															
H3	r44-s2			False						no window where margin s fell by a third														
H4	r44-s2			False							[{'window': '0-5000', 'at': 5000, 'short': False, 'mod_refused_pct': None, 'self_stillb_pct': 0.9249743062692704, 'held': False}, {'window': '5000-15000', 'at': 15000, 'short': False, 'mod_refused_pct': 172762.99212598425, 'self_stillb_pct': 2.8739867354458366, 'held': True}, {'window': '15000-30000', 'at': 30000, 'short': False, 'mod_refused_pct': 59719.61259079903, 'self_stillb_pct': 4.837461300309598, 'held': True}]													
H5	r44-s2			True								428	1152	True	{15000: {'at': 15000, 'upt_lim_pct': 85.05478353821486, 'snow_share': 0.17779248907838122, 'held': True}, 30000: {'at': 30000, 'upt_lim_pct': 89.50475281045183, 'snow_share': 0.18159366181509015, 'held': True}}	{5000: {'at': 5000, 'rim_quarter': 0.3014018691588785, 'cols_ratio': 0.9429533967968495, 'held': True}, 15000: {'at': 15000, 'rim_quarter': 0.27636849132176233, 'cols_ratio': 0.9379252462813711, 'held': True}, 30000: {'at': 30000, 'rim_quarter': 0.2204861111111111, 'cols_ratio': 1.0122216731454308, 'held': True}}								
H6	r44-s2			True													4.62518e-06	30000	-1.24083e-06	False	0	ended	False	False
H1	r44-s3	25.301	11850	True																				
H2	r44-s3			True	30000	783	702	13.6654	11.396															
H3	r44-s3			False						no window where margin s fell by a third														
H4	r44-s3			True							[{'window': '0-5000', 'at': 5000, 'short': False, 'mod_refused_pct': 9000.0, 'self_stillb_pct': 1.5439429928741093, 'held': True}, {'window': '5000-15000', 'at': 15000, 'short': False, 'mod_refused_pct': 115843.75, 'self_stillb_pct': 3.762935089369708, 'held': True}, {'window': '15000-30000', 'at': 30000, 'short': False, 'mod_refused_pct': 130036.66666666667, 'self_stillb_pct': 12.414605418138986, 'held': True}]													
H5	r44-s3			True								436	793	True	{15000: {'at': 15000, 'upt_lim_pct': 81.8746724563899, 'snow_share': 0.15848347611381147, 'held': True}, 30000: {'at': 30000, 'upt_lim_pct': 81.13815997470756, 'snow_share': 0.17627667590393725, 'held': True}}	{5000: {'at': 5000, 'rim_quarter': 0.30504587155963303, 'cols_ratio': 1.0182321029332626, 'held': True}, 15000: {'at': 15000, 'rim_quarter': 0.1981981981981982, 'cols_ratio': 0.9910262207436541, 'held': True}, 30000: {'at': 30000, 'rim_quarter': 0.27994955863808324, 'cols_ratio': 0.9767493838393035, 'held': True}}								
H6	r44-s3			True													6.73566e-06	30000	5.99851e-07	False	0	ended	False	False
