seed	second	alive	spent col-cv	in-islands	in-footprint	snow col-cv
r45-s1	1000	202	1.70	0.72	0.74	-
r45-s1	5000	1815	0.27	0.36	0.47	-
r45-s1	8000	2111	0.14	0.35	0.23	-
r45-s1	30000	5251	0.39	0.28	0.22	0.31
r45-s2	1000	582	1.31	0.88	0.75	-
r45-s2	5000	1928	0.21	0.29	0.34	-
r45-s2	8000	2186	0.13	0.33	0.32	-
r45-s2	30000	6145	0.40	0.33	0.17	0.21
r45-s3	1000	354	1.17	0.96	0.74	-
r45-s3	5000	986	0.22	0.49	0.36	-
r45-s3	8000	1208	0.14	0.29	0.19	-
r45-s3	14000	1962	0.17	0.27	0.15	0.75
r45-s3	30000	4380	0.26	0.35	0.19	0.41
