s1 in-situ active & alone active 5; in-situ active, alone quiet 59; in-situ quiet, alone active 3; both quiet 172
s2 in-situ active & alone active 40; in-situ active, alone quiet 11; in-situ quiet, alone active 0; both quiet 23
s3 in-situ active & alone active 238; in-situ active, alone quiet 317; in-situ quiet, alone active 15; both quiet 778

s1: | grp | id | parts/joints | types | len m | in-situ amp rad | brain Hz | brain amp | S | run: brain / passive m/s | clean: brain | sineIn | sineLag90 | asym | openIn | openLag90 | clean brain mm/stroke |
| top | 12965 | 3/2 | Hinge+Hinge | 0.701 | 0.244 0.277 | 2.08 | 0.304 | 0.089 | 0.0035 / 0.00134 | 0.00322 | 0.00386 | 0.0036 | 0.00218 | 0.00262 | 0.00387 | 1.55 |
| top | 12964 | 3/2 | Hinge+Hinge | 0.891 | 0.178 0.218 | 2.28 | 0.238 | 0.095 | 0.0086 / 0.00159 | 0.00822 | 0.01035 | 0.00313 | 0.00915 | 0.01052 | 0.01158 | 3.60 |
| top | 14857 | 2/1 | Spherical | 0.997 | 0.079 | 0.05 | 0 | 1 | 0.00459 / 0.00882 | 0.00026 | 0 | 0 | 0 | 0 | 0 | 5.17 |
| top | 14359 | 2/1 | Hinge | 0.891 | 0.172 | 2.08 | 0.258 | 0.174 | 0.00486 / 0.00093 | 0.00191 | 0.00571 | 0.00571 | 0.00535 | 0.00396 | 0.00396 | 0.92 |
| top | 15564 | 2/1 | Hinge | 0.891 | 0.17 | 2.08 | 0.252 | 0.167 | 0.00486 / 0.00094 | 0.00254 | 0.00565 | 0.00565 | 0.00554 | 0.00395 | 0.00395 | 1.22 |
| top | 14767 | 5/4 | Hinge+Hinge+Hinge+Hinge | 1.108 | 0.139 0.137 0.127 0.135 | 0.05 | 0 | -1 | 0.00011 / 0.00104 | 0.00046 | 0.00024 | 0.00076 | 0.0041 | 0.00195 | 0.00568 | 9.18 |
| top | 16776 | 2/1 | HingeTwist | 1.001 | 0.827 | 0.11 | 0.827 | 0.019 | 0.00525 / 0 | 0.00525 | 0.01019 | 0.01019 | 0.00048 | 0.00278 | 0.00278 | 47.70 |
| top | 16298 | 2/1 | Hinge | 0.875 | 0.218 | 0.05 | 0 | -1 | 0.00091 / 0.0013 | 0.00036 | 0.00911 | 0.00911 | 0.00903 | 0.00279 | 0.00279 | 7.13 |
| top | 16291 | 2/1 | Universal | 1.054 | 0.018 | 2.39 | 0.028 | 0.002 | 0.00023 / 0 | 0.00023 | 0 | 0 | 0.00002 | 0.00029 | 0.00029 | 0.10 |
| top | 15086 | 6/3 | HingeTwist+HingeTwist+HingeTwist | 2.813 | 0 0 0.163 | 0.05 | 0 | -1 | 0.00407 / 0.00491 | 0.00226 | 0.00004 | 0.00004 | 0.00298 | 0.00178 | 0.00235 | 45.24 |
| top | 16100 | 3/2 | Spherical+Spherical | 1.161 | 0.281 0.184 | 0 | 0 | 0 | 0.00133 / 0.00133 | 0 | 0.00272 | 0.00206 | 0.00283 | 0.01305 | 0.01058 | nan |
| top | 16429 | 2/1 | Hinge | 1.018 | 0.223 | 0.05 | 0 | -1 | 0.00785 / 0.0092 | 0.00043 | 0.00126 | 0.00126 | 0.00117 | 0.00041 | 0.00041 | 8.64 |
| top | 15734 | 2/1 | Hinge | 0.819 | 0.086 | 0.05 | 0 | 1 | 0.00121 / 0.00153 | 0.00035 | 0.00008 | 0.00008 | 0.00109 | 0.00253 | 0.00253 | 7.05 |
| top | 14750 | 2/1 | Spherical | 0.744 | 0.094 | 0.05 | 0 | -1 | 0.00133 / 0.00056 | 0.0005 | 0 | 0 | 0 | 0 | 0 | 10.09 |
| top | 15308 | 2/1 | Hinge | 1.019 | 0.111 | 0.05 | 0 | -0.98 | 0.00269 / 0.00098 | 0.00221 | 0.00939 | 0.00939 | 0.00336 | 0.06958 | 0.06958 | 44.24 |
| top | 15419 | 2/1 | HingeTwist | 1.404 | 0.101 | 0.05 | 0 | 1 | 0.00395 / 0.00392 | 0.00057 | 0.00018 | 0.00018 | 0.00074 | 0.00114 | 0.00114 | 11.49 |
| top | 16778 | 2/1 | Hinge | 1.357 | 0.385 | 0 | 0 | 0 | 0.00487 / 0.00487 | 0 | 0.00309 | 0.00309 | 0.00305 | 0.0005 | 0.0005 | nan |
| top | 15634 | 2/1 | Universal | 0.929 | 0.154 | 0 | 0 | 0 | 0.00385 / 0.00385 | 0 | 0 | 0 | 0 | 0 | 0 | nan |
| top | 14919 | 2/1 | Spherical | 0.746 | 0.1 | 0.05 | 0 | 1 | 0.0015 / 0.00314 | 0.00092 | 0.00025 | 0.00025 | 0.01179 | 0.00012 | 0.00012 | 18.46 |
| top | 16774 | 2/1 | Universal | 0.957 | 0.322 | 0 | 0 | 0 | 0.00173 / 0.00173 | 0 | 0.00683 | 0.00683 | 0.0029 | 0.00256 | 0.00256 | nan |
| random | 12541 | 3/2 | Hinge+Hinge | 0.999 | 0.008 0.008 | 0 | 0 | 0 | 0.00163 / 0.00163 | 0 | 0.01188 | 0.01139 | 0.00089 | 0.00573 | 0.00308 | nan |
| random | 14992 | 2/1 | Hinge | 0.819 | 0.015 | 0.05 | 0 | 1 | 0.00164 / 0.00182 | 0.00028 | 0.00007 | 0.00007 | 0.00111 | 0.0008 | 0.0008 | 5.68 |
| random | 14629 | 2/1 | Hinge | 0.771 | 0.017 | 0.06 | 0 | -1 | 0.0018 / 0.00103 | 0.00016 | 0.00003 | 0.00003 | 0.00634 | 0.00073 | 0.00073 | 2.59 |
| random | 14254 | 2/1 | Hinge | 1.087 | 0.008 | 0 | 0 | 0 | 0.00434 / 0.00434 | 0 | 0.00258 | 0.00258 | 0.00273 | 0.00042 | 0.00042 | nan |
| random | 16530 | 2/1 | TwistHinge | 1.547 | 0.301 | 0.05 | 0 | 1 | 0.00417 / 0.00398 | 0.00003 | 0.01171 | 0.01171 | 0.00722 | 0.04703 | 0.04703 | 0.67 |
