clause	seed	last_t	alive	births	gestation_births	upt_lim	trickle_spawns	pool_spawns	founders_by_src	pool	build_markers	manifest_status	baseline	header_tokens	bud_rows	children	per_child	by_cell	first_at	held	expressed	share	budx	stillbirths	self_overlap_stillbirths	absorptive_bud_rows	bud_roots	roots_with_living	living	living_from	short	best_root	best_root_born	best_living	best_stomachs	best_mixotrophs	at	gestated_J	held_in_accounts_J	gm1_child_rows	early_window	late_window	early_share	early_children	late_share	late_children	early_share_all_rows	late_share_all_rows	gestation_births_per_death	lump_births_per_death	gestation_deaths	lump_births	lump_deaths	mean_birth_investment	baseline_at	baseline_value	max_alive	max_at	ceiling	manifest_reason	samples	mean_age_s	stomach_children	dead	still_alive	median_age_at_death_s	quartiles	pool_founders	bred	bred_by_pool_index	rooted_in_pool	of_them_stomachs	by_pool_index	depth_rule	read	no_absorptive_row	no_column	first_row_is_death_row	at_or_over_mean	median_first_J_m3	median_column_mean_J_m3	r47_median_first_J_m3	samples_first_vs_mean	placed	in_top_12m	median_depth_m	median_above_floor_m	median_row_lag_s	l4_breeders	l4_placed	l4_at_or_over_1	note	endowed_founders	endow_median_J	endow_min_J	endow_max_J	share_bred	pool_endowed	pool_endow_median_J	pool_median_age_at_death_s	pool_share_bred	audit_absmax_J	matter_resid_at	matter_resid	diverged	diverged_dump_files	censored	provisional	table_columns	open_columns	dumps	dumps_held_J_m3	dumps_held_J_m2	min_ratio_J_m3	last_at	table_J_m3	open_J_m3	table_J_m2	open_J_m2	as_r47	base_table_J_m3	base_open_J_m3	base_min_ratio_J_m3	base_dumps_held_J_m3	base_last_at	base_dumps	base_as_r47	band	volume_under_m3	volume_beside_m3	samples_fewer_under	ties	under	beside	under_per_m3	beside_per_m3	mean_under_per_m3	mean_beside_per_m3	base_under_per_m3	base_beside_per_m3	base_mean_under_per_m3	base_mean_beside_per_m3	base_samples_fewer_under	base_samples	pace_x_real	source	last_window_pace_x_real
ctx	r48-s1	30000	8618	74681	7234	0.723663	919	99	floor:54 pool:99 trickle:820	on	floorsWeighRigidGroups gestationModeChance senescenceWearsIntake founderEndowmentSeconds foundersFollowFoodDepth	ended	r47-s1	floors rigid groups; founders in their food at its depth; endowment 600 s; senescence 3000 s on upkeep; overhead 50 J; overhead scale x2 floor 50 J; gestation mut=0.08 share=0.5-0.5 at 0.08; minkg=0.05; invest=0.05-1; trickle 1/30 s; pool 0.1 of 4; cellType mut 0.005; ceiling 25000																																																																																																																																					
M1	r48-s1														987	74681	0.0132162	absorptive:161 buoyancy:100 consumer:174 link:168 neural:181 photosynthetic:58 structural:151	523	True																																																																																																																															
M2	r48-s1														987					True	986	0.998987	0:1 1:981 2:5	2299	2299																																																																																																																										
M3	r48-s1																			True						161	161	31	8614	positions row at 30000 s	False	48048	23300.5	38	0	29																																																																																																															
G1	r48-s1			74681	7234															True											False						30000	675234	23173.5	12115																																																																																																											
G2	r48-s1				1236															False																					3000 to 8000 s	25000 to 30000 s	0.268714	6479	0.132465	20647	0.261765	0.131434	0.473926	1.13091	2608	19411	17164																																																																																														
O1	r48-s1												r47-s1							True											False						30000																	0.0774735	30000	0.823325																																																																																											
O2a	r48-s1		8618										r47-s1							True											False						30000																		30000	2619																																																																																											
O2b	r48-s1																			True																																					8634	29950	25000	budget	3000																																																																																						
S1	r48-s1												r47-s1							True											False						30000																		30000	1458.98						1997.8																																																																																					
S2	r48-s1																			True																																											140	140	0	1117.5	105 to 1824																																																																																
F1	r48-s1																			True																																												97	2	312	210 to 446	99																																																																															
F2	r48-s1															36				True																																																99	30	0:28 3:2																																																																													
F3	r48-s1																			False									8614		False						30000																																		2	2	3:2																																																																										
